sessionIndex,trialIndex,mapId,distanceCondition,firstDetectedSharedGoal,newGoalPresentedTime,posteriorEvidenceSteps,two_goal_shared_posterior,three_goal_shared_raw_posterior,three_goal_old_alternative_raw_posterior,three_goal_new_raw_posterior,three_goal_shared_scaled_posterior
0,1,298,closer_to_player1,1,5.0,5,0.9999999996726529,0.6666666664484353,2.1823140867966018e-10,0.3333333333333333,0.6666666665939229
0,3,300,equal_to_both,0,3.0,3,0.9999999230415428,0.6666666153610286,5.130563816457792e-08,0.33333333333333326,0.6666666495647865
0,4,301,closer_to_player2,1,5.0,5,0.9999999230415427,0.6666666153610286,5.1305638164577906e-08,0.3333333333333333,0.6666666495647865
0,5,302,closer_to_player1,0,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966018e-10,0.3333333333333333,0.6666666665939229
0,6,303,closer_to_player1,0,5.0,5,0.9999999999986077,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
0,7,304,closer_to_player2,1,5.0,5,0.9999999230415427,0.6666666153610286,5.1305638164577615e-08,0.3333333333333333,0.6666666495647865
0,10,307,closer_to_player2,0,3.0,3,0.9999999999986077,0.6666666666657385,9.282594623910357e-13,0.3333333333333333,0.6666666666663572
0,11,308,equal_to_both,1,3.0,3,0.9999819075908669,0.666654605060578,1.2061606088706094e-05,0.3333333333333333,0.6666626460828091
1,0,297,closer_to_player1,1,4.0,4,0.9999999230415427,0.6666666153610286,5.130563816457765e-08,0.3333333333333333,0.6666666495647865
1,2,299,equal_to_both,1,3.0,3,0.9999999230415427,0.6666666153610286,5.130563816457762e-08,0.3333333333333333,0.6666666495647865
1,3,300,closer_to_player2,1,5.0,5,0.9999999999986076,0.6666666666657385,9.282594623910357e-13,0.3333333333333333,0.6666666666663572
1,5,302,closer_to_player2,1,8.0,8,0.9999819075908669,0.666654605060578,1.2061606088706157e-05,0.3333333333333333,0.6666626460828091
1,6,303,closer_to_player1,0,7.0,7,0.9999999999986076,0.6666666666657385,9.282594623910353e-13,0.3333333333333333,0.6666666666663572
1,7,304,closer_to_player2,1,5.0,5,0.9999999999986076,0.6666666666657385,9.28259462391043e-13,0.3333333333333333,0.6666666666663572
1,8,305,closer_to_player1,1,2.0,2,0.9999999230415427,0.6666666153610286,5.130563816457799e-08,0.3333333333333333,0.6666666495647865
1,10,307,equal_to_both,0,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
2,0,297,closer_to_player1,1,4.0,4,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
2,2,299,closer_to_player1,0,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937892e-15,0.33333333333333326,0.6666666666666654
2,3,300,equal_to_both,1,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088706108e-05,0.3333333333333333,0.6666626460828091
2,5,302,closer_to_player2,1,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966018e-10,0.3333333333333333,0.6666666665939229
2,7,304,equal_to_both,1,8.0,8,0.999999999999994,0.6666666666666627,3.9484033689378905e-15,0.33333333333333326,0.6666666666666654
2,8,305,equal_to_both,0,1.0,1,0.9999819075908669,0.666654605060578,1.206160608870613e-05,0.3333333333333333,0.6666626460828091
2,9,306,closer_to_player2,1,3.0,3,0.9999819075908669,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
2,10,307,closer_to_player1,1,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577635e-08,0.3333333333333333,0.6666666495647865
2,11,308,closer_to_player2,0,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577635e-08,0.3333333333333333,0.6666666495647865
3,0,297,closer_to_player1,0,4.0,4,0.9999999999999941,0.6666666666666627,3.948403368937876e-15,0.33333333333333326,0.6666666666666654
3,2,299,closer_to_player1,1,7.0,7,0.9999999999999941,0.6666666666666627,3.948403368937883e-15,0.33333333333333326,0.6666666666666654
3,4,301,closer_to_player2,1,5.0,5,0.999981907590867,0.666654605060578,1.206160608870611e-05,0.3333333333333333,0.6666626460828091
3,5,302,equal_to_both,0,1.0,1,0.999981907590867,0.666654605060578,1.2061606088706065e-05,0.3333333333333333,0.6666626460828091
3,6,303,equal_to_both,0,7.0,7,0.9999999999986076,0.6666666666657385,9.282594623910309e-13,0.3333333333333333,0.6666666666663572
3,8,305,equal_to_both,0,3.0,3,0.9999999230415427,0.6666666153610286,5.130563816457746e-08,0.3333333333333333,0.6666666495647865
3,9,306,closer_to_player2,1,5.0,5,0.9999999999999941,0.6666666666666627,3.948403368937862e-15,0.33333333333333326,0.6666666666666654
3,10,307,closer_to_player1,0,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577886e-08,0.3333333333333333,0.6666666495647865
4,1,298,closer_to_player1,0,3.0,3,0.9999999999986076,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
4,2,299,equal_to_both,0,5.0,5,0.9999999230415427,0.6666666153610286,5.130563816457772e-08,0.3333333333333333,0.6666666495647865
4,3,300,closer_to_player1,1,6.0,6,0.9999999999986076,0.6666666666657385,9.28259462391043e-13,0.3333333333333333,0.6666666666663572
4,4,301,closer_to_player2,0,5.0,5,0.9999999996726529,0.6666666664484353,2.1823140867966176e-10,0.3333333333333333,0.6666666665939229
4,7,304,closer_to_player2,0,5.0,5,0.9999999999986076,0.6666666666657385,9.282594623910398e-13,0.3333333333333333,0.6666666666663572
4,8,305,closer_to_player1,1,2.0,2,0.9999999996726529,0.6666666664484353,2.1823140867966132e-10,0.3333333333333333,0.6666666665939229
4,9,306,equal_to_both,1,3.0,3,0.9999999996726529,0.6666666664484353,2.182314086796602e-10,0.3333333333333333,0.6666666665939229
4,10,307,equal_to_both,0,2.0,2,0.9999819075908669,0.666654605060578,1.2061606088706128e-05,0.3333333333333333,0.6666626460828091
4,11,308,closer_to_player2,0,5.0,5,0.9999819075908669,0.666654605060578,1.2061606088706137e-05,0.3333333333333333,0.6666626460828091
5,0,297,closer_to_player1,0,4.0,4,0.9999999230415427,0.6666666153610286,5.13056381645779e-08,0.3333333333333333,0.6666666495647865
5,1,298,closer_to_player2,1,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577635e-08,0.3333333333333333,0.6666666495647865
5,2,299,closer_to_player1,0,5.0,5,0.9999999999986076,0.6666666666657385,9.28259462391044e-13,0.3333333333333333,0.6666666666663572
5,3,300,equal_to_both,0,5.0,5,0.9999999230415428,0.6666666153610286,5.130563816457769e-08,0.33333333333333326,0.6666666495647865
5,4,301,closer_to_player2,0,5.0,5,0.9999999996726529,0.6666666664484353,2.1823140867966062e-10,0.3333333333333333,0.6666666665939229
5,5,302,closer_to_player1,0,4.0,4,0.9999999999986076,0.6666666666657385,9.282594623910404e-13,0.3333333333333333,0.6666666666663572
5,6,303,closer_to_player2,0,3.0,3,0.9999999999986076,0.6666666666657385,9.282594623910361e-13,0.3333333333333333,0.6666666666663572
5,7,304,equal_to_both,1,2.0,2,0.9999819075908669,0.666654605060578,1.206160608870611e-05,0.3333333333333333,0.6666626460828091
5,11,308,equal_to_both,1,4.0,4,0.9999999996726529,0.6666666664484353,2.1823140867966015e-10,0.3333333333333333,0.6666666665939229
6,0,297,closer_to_player1,0,4.0,4,0.9999999230415427,0.6666666153610286,5.1305638164577615e-08,0.3333333333333333,0.6666666495647865
6,1,298,closer_to_player1,0,3.0,3,0.9999999230415427,0.6666666153610286,5.1305638164577615e-08,0.3333333333333333,0.6666666495647865
6,2,299,equal_to_both,0,2.0,2,0.9999999230415427,0.6666666153610286,5.1305638164577886e-08,0.3333333333333333,0.6666666495647865
6,4,301,closer_to_player2,1,7.0,7,0.9999999999999941,0.6666666666666627,3.948403368937889e-15,0.33333333333333326,0.6666666666666654
