lambda,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_to_both_success_percent,equal_to_both_efficiency_percent,equal_to_both_commitment_percent,equal_to_both_signaling_percent,loss
0.0,95.0,88.71808289080114,60.507275132275126,36.27447089947089,100.0,97.91350316350318,43.88888888888889,39.72222222222222,1698.8818190455427
0.01,95.0,88.70495781861912,59.773148148148145,37.322751322751316,100.0,98.08250083250083,42.77777777777778,40.55555555555556,1791.710818257521
0.02,95.0,88.6010951175342,62.92129629629629,37.51455026455026,100.0,98.0754862421529,51.11111111111111,40.55555555555556,1155.678509352872
0.03,94.72222222222223,88.69330001619917,64.62764550264549,37.8287037037037,100.0,98.13175404842072,52.77777777777778,40.0,1045.1387142386084
0.04,94.72222222222223,88.9008378827444,66.14550264550265,37.38888888888889,100.0,98.23592071508737,55.55555555555555,40.0,873.2514013938492
0.05,94.44444444444446,88.7552545474289,69.58465608465609,37.38888888888889,100.0,97.96961063627731,65.55555555555554,40.27777777777778,382.2348529304924
0.06,94.44444444444446,88.9238660285404,69.4920634920635,37.18055555555556,100.0,98.21431192264527,67.77777777777777,39.722222222222214,300.28055821024
0.07,94.16666666666667,89.06775818136113,70.50396825396824,37.789021164021165,100.0,98.3959358542692,72.22222222222221,40.833333333333336,166.00159839936526
0.08,94.16666666666667,88.81501092861389,70.50396825396824,37.58068783068783,100.0,98.0834358542692,73.88888888888889,40.0,125.83217365547232
0.09,94.44444444444444,89.03687698418528,71.67460317460316,38.10317460317461,100.0,97.75945081153414,78.33333333333333,39.44444444444444,45.87420149891861
0.1,94.44444444444444,89.01123595854425,72.09126984126983,38.311507936507944,100.0,97.8235533756367,79.44444444444444,39.44444444444444,32.05754796595298
0.11,94.44444444444444,89.29083213397375,74.31349206349206,39.098544973544975,100.0,98.36397360355694,80.0,40.55555555555556,26.075147125396093
0.12,94.44444444444444,88.92642055089972,74.43915343915344,38.17592592592593,100.0,98.01675138133471,81.11111111111111,37.222222222222214,15.962197296134184
0.13,94.16666666666667,89.31789715632651,74.83597883597885,37.89484126984127,100.0,98.5144365665199,80.55555555555554,38.611111111111114,20.710030235456625
0.14,94.16666666666667,89.33847328801374,76.24338624338624,37.56150793650794,100.0,98.57616496158161,84.44444444444444,37.777777777777786,0.43816262316337773
0.15,93.88888888888889,89.034775993245,78.53505291005291,36.132936507936506,100.0,98.62667001208668,85.55555555555556,36.94444444444445,0.20175600377803765
0.16,93.88888888888889,89.31006626183884,79.2228835978836,36.883597883597886,100.0,99.23831531123197,86.66666666666667,37.77777777777778,2.4344851868618473
0.17,93.05555555555556,89.36944258326874,78.95436507936506,36.19378306878307,100.0,99.23054530346197,87.77777777777777,38.05555555555556,7.136350172414731
0.18,93.05555555555556,89.36944258326874,79.880291005291,36.19378306878307,100.0,99.23054530346197,92.22222222222221,38.05555555555556,50.63516813931774
0.19,92.77777777777779,89.34761294685578,81.3419312169312,36.501322751322746,100.0,99.16881690840025,92.22222222222221,38.888888888888886,50.63516813931774
0.2,92.50000000000001,89.38091644890928,81.38822751322749,36.17724867724868,100.0,99.18004025295691,91.66666666666666,38.611111111111114,43.03732206629435
