condition_scope,condition_label,group,metric,mean_percent,ci95_percent,n
average,Average all 2P3G,"AlwaysCommitted
(lambda=0.150)",Success Rate (%),93.88888888888889,2.3406526326434545,30
average,Average all 2P3G,Human-Human,Success Rate (%),100.0,0.0,189
average,Average all 2P3G,"AlwaysCommitted
(lambda=0.150)",Coordination Efficiency (%),89.034775993245,1.2617873862209024,60
average,Average all 2P3G,Human-Human,Coordination Efficiency (%),81.58244905371342,3.024980091677602,261
average,Average all 2P3G,"AlwaysCommitted
(lambda=0.150)",Commitment (%),78.53505291005291,4.111466339657326,30
average,Average all 2P3G,Human-Human,Commitment (%),66.19718309859155,5.511363487211303,284
average,Average all 2P3G,"AlwaysCommitted
(lambda=0.150)",Signaling Move (%),36.132936507936506,4.887580838715266,60
average,Average all 2P3G,Human-Human,Signaling Move (%),51.72413793103448,6.0740875419824745,261
equal_to_both,Equal-to-Both only,"AlwaysCommitted
(lambda=0.150)",Success Rate (%),100.0,0.0,30
equal_to_both,Equal-to-Both only,Human-Human,Success Rate (%),100.0,0.0,47
equal_to_both,Equal-to-Both only,"AlwaysCommitted
(lambda=0.150)",Coordination Efficiency (%),98.62667001208668,1.024713108046953,60
equal_to_both,Equal-to-Both only,Human-Human,Coordination Efficiency (%),96.5682662491173,2.174964720607726,94
equal_to_both,Equal-to-Both only,"AlwaysCommitted
(lambda=0.150)",Commitment (%),85.55555555555556,8.540474342848384,30
equal_to_both,Equal-to-Both only,Human-Human,Commitment (%),85.1063829787234,7.235953291737513,94
equal_to_both,Equal-to-Both only,"AlwaysCommitted
(lambda=0.150)",Signaling Move (%),36.94444444444445,8.57948459839244,60
equal_to_both,Equal-to-Both only,Human-Human,Signaling Move (%),58.51063829787234,10.01383409099649,94
