participant_id,file_name,game_type,human_percentage,total_trials,successful_trials,success_rate,multiplayer_trials
5a5bd24be0cf3d000126849e,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,human,1.0,19,19.0,1.0,20
652c5f38cf13042034313b91,experiment_data_652c5f38cf13042034313b91_room_b2209a3e-c750-4a3e-a4a4-093f62e7ef08_2025-09-13T18-19-19-226Z.xlsx,gpt-4.1-mini,0.0,18,14.0,0.7777777777777778,19
5b985404a15058000124e508,experiment_data_5b985404a15058000124e508_room_fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d_2025-09-12T16-55-36-623Z.xlsx,human,1.0,20,20.0,1.0,20
65b537602cf1fbd4f77c7909,experiment_data_65b537602cf1fbd4f77c7909_room_8048bfb7-aa2a-4c5f-b0c8-e2b4f0a19dc6_2025-09-13T18-12-18-752Z.xlsx,human,1.0,20,18.0,0.9,20
65c10fc4bfa12f9fbcfda656,experiment_data_65c10fc4bfa12f9fbcfda656_room_5de6a11a-219d-4804-b614-ef42656f3066_2025-09-13T18-20-41-665Z.xlsx,mixed,0.95,15,14.0,0.9333333333333333,20
66bce38cdb7f3309e448dc8d,experiment_data_66bce38cdb7f3309e448dc8d_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-58-749Z.xlsx,human,1.0,20,20.0,1.0,20
66b5172c8f0bd3b23ce66c22,experiment_data_66b5172c8f0bd3b23ce66c22_room_5de6a11a-219d-4804-b614-ef42656f3066_2025-09-13T18-18-27-057Z.xlsx,human,1.0,11,11.0,1.0,20
5efaf5d5540ce9953f995009,experiment_data_5efaf5d5540ce9953f995009_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-58-25-097Z.xlsx,human,1.0,20,20.0,1.0,20
675c64b95d8683943d557b71,experiment_data_675c64b95d8683943d557b71_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-42-53-414Z.xlsx,human,1.0,20,20.0,1.0,20
6646cdbd7a8e4d39556e459b,experiment_data_6646cdbd7a8e4d39556e459b_room_3f333c71-69b9-47d2-afa2-a8cdd8a7a34f_2025-09-12T16-48-15-511Z.xlsx,gpt-4.1-mini,0.0,18,17.0,0.9444444444444444,18
6527f153bea7b2d7c0d556e4,experiment_data_6527f153bea7b2d7c0d556e4_room_752d4cef-6dc3-4d68-9d9d-0815e9d70bae_2025-09-13T18-32-16-415Z.xlsx,mixed,0.95,20,10.0,0.5,20
66ba819cd72c840e39108978,experiment_data_66ba819cd72c840e39108978_room_c9290c73-b52a-47dd-bac3-a52128ddbebf_2025-09-13T18-14-06-968Z.xlsx,human,1.0,20,20.0,1.0,20
651b249337102ada9fee4951,experiment_data_651b249337102ada9fee4951_room_9a6ddc72-01b2-432c-848d-7629f2ff5bd7_2025-09-12T16-43-42-103Z.xlsx,human,1.0,20,20.0,1.0,20
66338ea47f6b47399eb188ca,experiment_data_66338ea47f6b47399eb188ca_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-13-214Z.xlsx,human,1.0,20,20.0,1.0,20
5f850c99d40bfe1f29078e69,experiment_data_5f850c99d40bfe1f29078e69_room_49124e6f-79b4-4627-ab53-ba0f80c28c33_2025-09-12T16-48-48-296Z.xlsx,mixed,0.4,8,8.0,1.0,20
67364113bdafe2840fa05b69,experiment_data_67364113bdafe2840fa05b69_room_fc2813a7-4ebd-43fe-a958-ab321b8830f1_2025-09-12T16-43-28-192Z.xlsx,human,1.0,20,20.0,1.0,20
597519f8262c480001bbaf8b,experiment_data_597519f8262c480001bbaf8b_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-15-33-024Z.xlsx,human,1.0,14,14.0,1.0,20
5b2fef03530770000105a8b2,experiment_data_5b2fef03530770000105a8b2_room_c9290c73-b52a-47dd-bac3-a52128ddbebf_2025-09-13T18-15-43-492Z.xlsx,human,1.0,20,20.0,1.0,20
66d0217be06f8783cc04f0a7,experiment_data_66d0217be06f8783cc04f0a7_room_3058f602-8cd4-402d-96ff-5aa79525a18e_2025-09-12T16-47-43-178Z.xlsx,human,1.0,19,18.0,0.9473684210526315,20
60bac4eb11e08e852fd030ab,experiment_data_60bac4eb11e08e852fd030ab_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-00-018Z.xlsx,human,1.0,20,20.0,1.0,20
572f526c3c27e7000e0b8aaa,experiment_data_572f526c3c27e7000e0b8aaa_room_752d4cef-6dc3-4d68-9d9d-0815e9d70bae_2025-09-13T18-31-40-555Z.xlsx,gpt-4.1-mini,0.0,2,0.0,0.0,20
