trialIndex,experimentType,partnerAgentType,currentPlayer,participantId,roomId,humanPlayerIndex,aiPlayerIndex,partnerFallbackOccurred,partnerFallbackReason,partnerFallbackStage,partnerFallbackTime,partnerFallbackAIType,collaborationSucceeded,player1GoalReachedStep,player2GoalReachedStep,newGoalPresented,newGoalPosition,distanceCondition,isNewGoalCloserToPlayer2,trialStartTime,gptErrorEvents,currentPlayerIndex,player1Trajectory,player2Trajectory,player1Actions,player2Actions,player1RT,player2RT,player1CurrentGoal,player2CurrentGoal,player1FirstDetectedGoal,player2FirstDetectedGoal,player1FinalReachedGoal,player2FinalReachedGoal,firstDetectedSharedGoal,_finalized,completed,endTime,newGoalPresentedTime,totalSteps,source_file,file_index
0,1P1G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,10,-1,False,,,,1757786781021,[],"[0,0,0,0,0,0,0,0,0,0]","[[7,10],[7,9],[7,8],[7,7],[7,6],[7,5],[6,5],[5,5],[4,5],[3,5]]",[],"[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]",[],"[1322,1822,2433,2866,3298,3690,3954,4193,4458,4786]",[],"[0,0,0,0,0,0,0,0,0,0]",[],0.0,,0,-1,,False,True,1757786785807,,10,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
1,1P1G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,13,-1,False,,,,1757786787829,[],"[0,0,0,0,0,0,0,0,0,0,0,0,0]","[[7,13],[6,13],[5,13],[4,13],[3,13],[2,13],[1,13],[0,13],[0,12],[0,11],[0,10],[0,9],[0,8]]",[],"[[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]",[],"[1594,1938,2202,2490,2778,3098,3418,3890,4130,4402,4626,4914,5227]",[],"[0,0,0,0,0,0,0,0,0,0,0,0,0]",[],0.0,,0,-1,,False,True,1757786793056,,13,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
2,1P1G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,14,-1,False,,,,1757786795080,[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[[7,0],[6,0],[5,0],[4,0],[3,0],[2,0],[1,0],[0,0],[0,1],[0,2],[0,3],[0,4],[0,5],[0,6]]",[],"[[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]]",[],"[1040,1272,1472,1704,2024,2344,2648,3056,3320,3520,3752,3984,4216,4464]",[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[],0.0,,0,-1,,False,True,1757786799544,,14,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
0,1P2G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,12,-1,True,"[2,12]",farther_to_player1,,1757786845747,[],"[0,0,0,0,0,0,0,0,0,0,0,0]","[[7,12],[7,11],[7,10],[7,9],[7,8],[7,7],[7,6],[6,6],[5,6],[4,6],[3,6],[2,6]]",[],"[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]",[],"[1451,1690,1955,2234,2570,2970,3354,3603,3786,4082,4371,4706]",[],"[null,null,null,null,null,null,0,0,0,0,0,0]",[],0.0,,0,-1,,False,True,1757786850454,7.0,12,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
1,1P2G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,12,-1,True,"[14,12]",equal_to_player1,,1757786852478,[],"[0,0,0,0,0,0,0,0,0,0,0,0]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8]]",[],"[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]",[],"[1256,1584,1880,2168,2488,2848,3329,3560,3817,4080,4352,4657]",[],"[null,null,null,null,null,null,0,0,0,0,0,0]",[],0.0,,0,-1,,False,True,1757786857135,7.0,12,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
2,1P2G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,12,-1,True,"[6,7]",closer_to_player1,,1757786859156,[],"[0,0,0,0,0,0,0,0,0,0,0,0]","[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[6,8],[6,9],[6,10],[6,9],[6,8]]",[],"[[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1],[0,-1],[0,-1],[0,-1]]",[],"[1243,1523,1827,2107,2419,2771,3219,3499,3843,4275,4491,4747]",[],"[null,null,null,null,null,null,1,1,1,2,2,2]",[],1.0,,2,-1,,False,True,1757786863904,7.0,12,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
3,1P2G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,10,-1,True,"[9,10]",closer_to_player1,,1757786865925,[],"[0,0,0,0,0,0,0,0,0,0]","[[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[8,7],[8,8],[8,9],[8,10]]",[],"[[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1],[1,0]]",[],"[874,1282,1619,1906,2242,2563,3163,4195,4571,4883]",[],"[null,null,null,null,null,null,1,2,2,2]",[],1.0,,2,-1,,False,True,1757786870808,7.0,10,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
4,1P2G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,10,-1,True,"[4,1]",farther_to_player1,,1757786872830,[],"[0,0,0,0,0,0,0,0,0,0]","[[7,3],[7,4],[7,5],[7,6],[7,7],[7,8],[6,8],[5,8],[4,8],[3,8]]",[],"[[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]",[],"[1067,1394,1666,2026,2370,4027,5443,5691,5859,6027]",[],"[null,null,null,null,null,0,0,0,0,0]",[],0.0,,0,-1,,False,True,1757786878857,6.0,10,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
5,1P2G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,15,-1,True,"[13,9]",farther_to_player1,,1757786880884,[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[7,8],[6,8],[5,8],[6,8],[5,8],[4,8],[3,8],[2,8]]",[],"[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1]]",[],"[997,1309,1629,1949,2285,2741,3597,4742,5013,5533,5934,6142,6334,6566,6830]",[],"[null,null,null,null,null,null,null,0,0,0,0,0,0,0,0]",[],0.0,,0,-1,,False,True,1757786887714,8.0,15,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
6,1P2G,none,1,5a5bd24be0cf3d000126849e,9922acb2-7db1-47ea-b369-ff389b4e47a5,0.0,,False,,,,,,13,-1,True,"[7,0]",equal_to_player1,,1757786889742,[],"[0,0,0,0,0,0,0,0,0,0,0,0,0]","[[7,0],[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[8,7],[9,7],[10,7],[11,7],[12,7]]",[],"[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0]]",[],"[916,1148,1356,1572,1852,2092,2612,4028,4293,4500,4708,5005,5340]",[],"[null,null,null,null,null,null,null,1,1,1,1,1,1]",[],1.0,,1,-1,,False,True,1757786895083,8.0,13,experiment_data_5a5bd24be0cf3d000126849e_room_9922acb2-7db1-47ea-b369-ff389b4e47a5_2025-09-13T18-17-31-453Z.xlsx,0
