trialIndex,experimentType,partnerAgentType,currentPlayer,participantID,roomId,humanPlayerIndex,aiPlayerIndex,partnerFallbackOccurred,partnerFallbackReason,partnerFallbackStage,partnerFallbackTime,partnerFallbackAIType,collaborationSucceeded,player1GoalReachedStep,player2GoalReachedStep,newGoalPresented,newGoalPosition,distanceCondition,isNewGoalCloserToPlayer2,trialStartTime,gptErrorEvents,currentPlayerIndex,player1Trajectory,player2Trajectory,player1Actions,player2Actions,player1RT,player2RT,player1CurrentGoal,player2CurrentGoal,player1FirstDetectedGoal,player2FirstDetectedGoal,player1FinalReachedGoal,player2FinalReachedGoal,firstDetectedSharedGoal,_finalized,completed,endTime,newGoalPresentedTime,totalSteps,source_file,file_id
0,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,25,26,True,"[7,2]",closer_to_player1,,1757695963479,[],"[0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1]","[[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8],[1,8]]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8],[1,8]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[675,872,1035,1194,1370,1677,1931,2065,2231,2425,2834,3006,3182]","[903,1080,1273,1437,1613,2097,2265,2424,2579,2744,2912,3073,3323]","[null,null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,null,0,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695966802,19.0,26,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
1,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,24,23,True,"[13,5]",equal_to_both,,1757695968808,[],"[1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0]","[[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7]]","[[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[773,942,1085,1243,1418,1634,1964,2158,2372,2548,2886,3320]","[622,810,1006,1213,1419,2245,2414,2596,2745,2911,3083,3302]","[null,null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695972128,18.0,24,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
2,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,28,27,True,"[5,0]",closer_to_player1,,1757695974134,[],"[1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0]","[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[7,6],[7,5],[7,4],[7,3],[7,2],[7,1]]","[[14,7],[13,7],[12,7],[11,7],[10,7],[9,7],[8,7],[7,7],[7,6],[7,5],[7,4],[7,3],[7,2],[7,1]]","[[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[877,1062,1214,1364,1508,1683,1848,2034,2285,2491,2805,3092,3412,3661]","[752,939,1112,1309,1698,1899,2412,2613,2759,2932,3098,3272,3439,3630]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695977796,20.0,28,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
3,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,28,27,True,"[4,3]",equal_to_both,,1757695979802,[],"[0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[7,0],[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[914,1040,1205,1391,1559,1725,1992,2083,2273,2438,2612,2787,3394,3819]","[1173,1359,1541,1710,2096,2325,2547,2710,2860,3013,3170,3323,3489,3731]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695983622,21.0,28,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
4,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,29,28,True,"[9,5]",closer_to_player1,,1757695985629,[],"[1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0]","[[7,0],[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,10],[7,9],[7,8],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[1133,1134,1146,1284,1657,1657,2180,2180,2181,2245,2705,2705,3815,4309]","[929,1125,1323,1554,1750,2272,2580,2775,2926,3096,3246,3414,3573,3745,3910]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,null,null,null,0,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695989939,23.0,29,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
5,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,26,25,False,,no_new_goal,,1757695991944,[],"[0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0]","[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[7,6],[7,5],[7,4],[7,3],[7,2]]","[[14,7],[13,7],[12,7],[11,7],[10,7],[9,7],[8,7],[7,7],[7,6],[7,5],[7,4],[7,3],[7,2]]","[[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[668,911,1003,1163,1436,1474,1664,1825,2011,2187,2362,3206,3434]","[1054,1406,1582,1813,1994,2170,2330,2437,2571,2744,2929,3105,3268]","[null,null,null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695995379,,26,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
6,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,0.0,23,22,True,"[4,8]",closer_to_player2,,1757695997384,[],"[0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0]","[[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[7,8],[6,8],[5,8],[4,8],[3,8]]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[1,0]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[714,744,888,1073,1238,1376,1500,1763,1899,2288,3549]","[1023,1185,1350,1685,1860,2032,2191,2355,2517,2692,2864,3055]","[null,null,null,null,null,null,0,0,0,0,2]","[null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,2,0,0.0,False,False,1757696000934,20.0,23,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
7,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,25,28,False,,no_new_goal,,1757696002941,[],"[0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1]","[[7,0],[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[611,786,928,1062,1233,1449,1669,1780,1991,2161,2330,2747,4147,4157]","[1090,1275,1469,1682,2047,2228,2398,2560,2746,2952,3143,4506,4682,4850]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757696007792,,28,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
8,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,22,24,True,"[5,7]",closer_to_player2,,1757696009797,[],"[0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1]","[[7,11],[7,10],[7,9],[7,8],[7,7],[7,6],[6,6],[5,6],[4,6],[3,6],[2,6]]","[[7,1],[7,0],[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[6,6],[5,6],[4,6],[3,6],[2,6]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[978,1098,1239,1409,1568,1933,1988,2244,2518,2991,3871]","[1144,1398,1611,1811,2222,2391,2572,2703,2864,3019,3285,4237,4398]","[null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757696014196,19.0,24,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
9,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,28,31,False,,no_new_goal,,1757696016203,[],"[0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1]","[[13,7],[14,7],[14,7],[14,7],[13,7],[12,7],[11,7],[10,7],[9,7],[8,7],[8,6],[8,5],[8,4],[8,3],[8,2],[8,1]]","[[3,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[8,7],[8,6],[8,6],[8,5],[8,4],[8,3],[8,2],[8,1]]","[[1,0],[1,0],[1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[[-1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[973,1100,1293,1465,1638,1818,1935,2075,2235,2486,2756,3030,3390,3743,4114,5176]","[1031,1676,1864,2049,2543,2766,2959,3161,3356,3858,4425,5159,5325,5509,5684]","[null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,null,null,0,0,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757696021887,,31,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx
