source_file,roomId,unique_partner_types,game_type,human_trial_percent
experiment_data_572f526c3c27e7000e0b8aaa_room_752d4cef-6dc3-4d68-9d9d-0815e9d70bae_2025-09-13T18-31-40-555Z.xlsx,752d4cef-6dc3-4d68-9d9d-0815e9d70bae,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_57dd3b0e91b7fc0001493db9_room_b5ed8553-19fc-43a4-ae35-6e256c500817_2025-09-12T17-25-40-624Z.xlsx,b5ed8553-19fc-43a4-ae35-6e256c500817,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_596de39c9fd5ee0001b704c3_room_b2209a3e-c750-4a3e-a4a4-093f62e7ef08_2025-09-13T18-19-38-863Z.xlsx,b2209a3e-c750-4a3e-a4a4-093f62e7ef08,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_5aff33bae55f90000139f664_room_61690307-cecf-4eb5-bed9-b1c691b7b9a2_2025-09-13T18-14-23-499Z.xlsx,61690307-cecf-4eb5-bed9-b1c691b7b9a2,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_5c0558b8553fb80001191980_room_aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5_2025-09-12T17-18-08-622Z.xlsx,aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_5dc3552003f8562725a1b956_room_e55b3b94-4195-40a0-b088-223a8c4f1d88_2025-09-12T16-52-35-646Z.xlsx,e55b3b94-4195-40a0-b088-223a8c4f1d88,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_5e1b795dc799223a3b447ada_room_61690307-cecf-4eb5-bed9-b1c691b7b9a2_2025-09-13T18-13-59-599Z.xlsx,61690307-cecf-4eb5-bed9-b1c691b7b9a2,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_5f850c99d40bfe1f29078e69_room_49124e6f-79b4-4627-ab53-ba0f80c28c33_2025-09-12T16-48-48-296Z.xlsx,49124e6f-79b4-4627-ab53-ba0f80c28c33,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_652c5f38cf13042034313b91_room_b2209a3e-c750-4a3e-a4a4-093f62e7ef08_2025-09-13T18-19-19-226Z.xlsx,b2209a3e-c750-4a3e-a4a4-093f62e7ef08,gpt-4.1-mini,gpt-4.1-mini,0.0
experiment_data_660453c9877e571d12b555f7_room_33225ba8-f6fe-4cf4-91ee-5530c0096612_2025-09-13T18-21-27-698Z.xlsx,33225ba8-f6fe-4cf4-91ee-5530c0096612,gpt-4.1-mini,gpt-4.1-mini,0.0
