ai_detection,collaboration_rating,attention_check,play_again,strategy,cat_question,purpose,comments,file_id,room_id,game_class,ai_detection_cat,collaboration_rating_cat,play_again_cat
Probably a person,Good collaborator,Definitely blue,Probably not play again,"I waited to see which way the other player was going, I was happy to follow them and for them to take the lead to ensure we ended up in the same place",True,To see whether people think the other player is AI or not based on how collaborative the other player was,,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,329a09b2-ad1f-4458-af0b-f7dd194297d1,human-human,Probably a person,Good collaborator,Probably not play again
Definitely an AI,Good collaborator,Definitely blue,Probably play again,I tried to encourage the other player to follow me to my desired restaurant location.  I also tried to predict and follow the route of the other play to ensure that we arrived at the same restaurant.,True,I think the purpose of the experiment is too see how people interact with AI and how they can be influenced by AI.,Thank you for the opportunity to take part.,experiment_data_57dd3b0e91b7fc0001493db9_room_b5ed8553-19fc-43a4-ae35-6e256c500817_2025-09-12T17-25-40-624Z.xlsx,b5ed8553-19fc-43a4-ae35-6e256c500817,human-ai,Definitely an AI,Good collaborator,Probably play again
Probably an AI,Good collaborator,Definitely blue,Probably play again,I tried not to be too hasty as I waited to see where the other player went.,True,To see how easily drawn we are to other options of where we want to go when there is a another task at hand.,No,experiment_data_5b985404a15058000124e508_room_fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d_2025-09-12T16-55-36-623Z.xlsx,fa684eb1-e4c4-4905-96b7-15cf7b8a3f2d,human-human,Probably an AI,Good collaborator,Probably play again
Probably an AI,Neutral,Definitely blue,Definitely not play again,Just go towards the middle and when I saw the other player moving up etc I'd immediately start going up. ,True,I genuinely do not know what the purpose of this experiment is. ,"Yes, the first time I attempted this, during the final game the other player did not move at all for several rounds and then there was a server connection loss. So I started the study over in a new browser. And when it came to the final game, the other player did not move AT ALL for the first few games which is very frustrating because they were clearly not playing and that is not fair to me as a participant. ",experiment_data_5c0558b8553fb80001191980_room_aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5_2025-09-12T17-18-08-622Z.xlsx,aa6f51e0-a8a1-49f7-ba8a-a3f3bba2b5f5,human-ai,Probably an AI,Neutral,Definitely not play again
Probably a person,Good collaborator,Not sure,Definitely play again,"Yes, I quickly assessed where my collaborator was going and promptly followed them",True,"Perhaps to assess whether people will follow if they are incentivised to do so, or maybe there's a new game you're trying to measure the efficacy of. I'm not sure. ","No, not at this time.",experiment_data_5c06063cf7595100015c30f6_room_1aa4a978-1316-4242-a21e-9772545006a7_2025-09-12T16-52-24-665Z.xlsx,1aa4a978-1316-4242-a21e-9772545006a7,human-human,Probably a person,Good collaborator,Definitely play again
Definitely an AI,Poor collaborator,Definitely blue,Probably not play again,I went into game-mode and just tried my best to navigate.,True,To guess if the collaborator was AI,,experiment_data_5dc3552003f8562725a1b956_room_e55b3b94-4195-40a0-b088-223a8c4f1d88_2025-09-12T16-52-35-646Z.xlsx,e55b3b94-4195-40a0-b088-223a8c4f1d88,human-ai,Definitely an AI,Poor collaborator,Probably not play again
Probably a person,Good collaborator,Definitely blue,Not sure,I ran toward the restaurants that I thought the other player would run to. This ended up working most of the time once I got in the groove.,True.,I'm unsure honestly.,,experiment_data_5efaf5d5540ce9953f995009_room_eb76ae37-255a-4cfa-a16b-78dc1b788aaa_2025-09-12T16-58-25-097Z.xlsx,eb76ae37-255a-4cfa-a16b-78dc1b788aaa,human-human,Probably a person,Good collaborator,Not sure
Not sure,Good collaborator,Definitely blue,Probably play again,I just went really fast to a goal if the other player didn't go first. Other times I waited for them to go first then followed them to the goal. ,True,"Understand team collaboration better, especially when a reward is involved.",Fun survey!,experiment_data_5f0a686635f72917e94c7a63_room_db2021d6-0a33-4478-a117-bf4fbec70cd4_2025-09-12T16-47-00-067Z.xlsx,db2021d6-0a33-4478-a117-bf4fbec70cd4,human-human,Not sure,Good collaborator,Probably play again
Not sure,Very good collaborator,Definitely blue,Definitely play again,"If I was a little ahead at the turn, I would choose a direction and make sure the other player was following me. If the other player was a little ahead, I let them go first and then followed.",True,To see if people can tell the difference between AI and humans?,,experiment_data_60bac4eb11e08e852fd030ab_room_9d17be6d-fd28-4858-bf25-10f159569d54_2025-09-12T16-47-00-018Z.xlsx,9d17be6d-fd28-4858-bf25-10f159569d54,human-human,Not sure,Very good collaborator,Definitely play again
Probably an AI,Good collaborator,Definitely blue,Not sure,No just went for the box,True,I don't know,To have a good day,experiment_data_6143af8721d1445864c4f6c8_room_1aa4a978-1316-4242-a21e-9772545006a7_2025-09-12T16-51-36-306Z.xlsx,1aa4a978-1316-4242-a21e-9772545006a7,human-human,Probably an AI,Good collaborator,Not sure
