trialIndex,experimentType,partnerAgentType,currentPlayer,participantId,roomId,humanPlayerIndex,aiPlayerIndex,partnerFallbackOccurred,partnerFallbackReason,partnerFallbackStage,partnerFallbackTime,partnerFallbackAIType,collaborationSucceeded,player1GoalReachedStep,player2GoalReachedStep,newGoalPresented,newGoalPosition,distanceCondition,isNewGoalCloserToPlayer2,trialStartTime,gptErrorEvents,currentPlayerIndex,player1Trajectory,player2Trajectory,player1Actions,player2Actions,player1RT,player2RT,player1CurrentGoal,player2CurrentGoal,player1FirstDetectedGoal,player2FirstDetectedGoal,player1FinalReachedGoal,player2FinalReachedGoal,firstDetectedSharedGoal,_finalized,completed,endTime,newGoalPresentedTime,totalSteps,room_id,source_file,sheet_name,game_type
0,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,20,24,False,,no_new_goal,,1757695906602,[],"[1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1]","[[14,7],[13,7],[12,7],[11,7],[10,7],[9,7],[9,8],[9,9],[9,10],[9,11],[9,12]]","[[4,7],[3,7],[4,7],[5,7],[6,7],[7,7],[8,7],[9,7],[9,8],[9,9],[9,10],[9,11],[9,12]]","[[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]]","[[-1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]]","[1842,2043,2170,2335,2567,2746,3102,3236,3426,3613,3764]","[1039,1682,1895,2386,2542,3124,3356,3552,3728,3885,4050,4204,4362]","[null,null,null,null,null,1,1,1,1,1,1]","[null,null,null,null,null,null,null,1,1,1,1,1,1]",1.0,1.0,1,1,,False,True,1757695910965,,24,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
1,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,25,30,False,,no_new_goal,,1757695912973,[],"[1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1]","[[7,1],[7,2],[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[6,6],[5,6],[4,6],[3,6],[2,6]]","[[7,11],[7,12],[7,13],[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[7,7],[7,6],[6,6],[5,6],[4,6],[3,6],[2,6]]","[[0,1],[0,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,1],[0,1],[0,1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[912,1066,1265,1449,1618,1847,2136,2334,2521,2688,2847,3039,3422]","[907,1155,1598,2135,2283,2456,2588,2749,2902,3062,3221,3414,3589,3732,3893,4055,4226]","[null,null,null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,,False,True,1757695917200,,30,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
2,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,24,30,False,,no_new_goal,,1757695919205,[],"[0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1]","[[7,14],[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8]]","[[7,2],[7,1],[7,0],[7,0],[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8]]","[[0,1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,-1],[0,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[788,972,1094,1269,1400,1587,2019,2131,2322,2544,2647,2806,3068]","[926,1113,1329,2018,2165,2301,2449,2603,2723,2888,3027,3189,3321,3465,3625,3790,3939]","[null,null,null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,,False,True,1757695923145,,30,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
3,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,18,22,False,,no_new_goal,,1757695925152,[],"[0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[6,9],[5,9],[4,9],[3,9],[2,9]]","[[7,4],[7,5],[7,6],[7,7],[7,8],[7,9],[6,9],[5,9],[4,9],[3,9],[2,9]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[791,955,1120,1316,1493,1706,1879,2040,2190,2365,2515]","[800,1043,1267,1936,2128,2289,2453,2594,2750,2904,3069]","[null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,,False,True,1757695928221,,22,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
4,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,18,22,False,,no_new_goal,,1757695930227,[],"[0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1]","[[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[6,6],[6,5],[6,4],[6,3],[6,2]]","[[11,7],[10,7],[9,7],[8,7],[7,7],[6,7],[6,6],[6,5],[6,4],[6,3],[6,2]]","[[1,0],[1,0],[1,0],[1,0],[1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[1205,1575,1788,1872,2049,2233,2409,2570,2726,2883,3056]","[1553,1703,1886,2459,2640,2768,2929,3087,3245,3410,3585]","[null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,,False,True,1757695933813,,22,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
5,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,22,24,False,,no_new_goal,,1757695935818,[],"[0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1]","[[7,11],[7,10],[7,9],[7,8],[7,7],[7,6],[6,6],[5,6],[4,6],[3,6],[2,6],[1,6]]","[[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[6,6],[5,6],[4,6],[3,6],[2,6],[1,6]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[784,935,1135,1254,1392,1660,1689,1859,2013,2183,2324,2815]","[994,1192,1374,1697,1959,2151,2293,2452,2599,2770,2934,3158]","[null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,0,0,0,0,0,0,0]",0.0,0.0,0,0,,False,True,1757695938976,,24,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
6,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,34,33,False,,no_new_goal,,1757695940981,[],"[1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0]","[[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[7,7],[6,7],[5,7],[4,7],[3,7],[4,7],[5,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[8,7],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7],[1,7]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[1,0],[1,0],[1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[791,952,1102,1269,1431,1580,1738,1943,2093,2262,2430,2635,2787,2971,3191,3319,3464,3614,4455]","[489,690,873,1084,1272,1513,1724,2157,2298,2469,2623,2791,3773,3935,4099]","[null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0]","[null,null,null,null,null,null,1,0,0,0,0,0,0,0,0]",0.0,1.0,0,0,,False,True,1757695945437,,34,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
7,2P2G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,25,26,False,,no_new_goal,,1757695947443,[],"[0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1]","[[0,7],[1,7],[2,7],[3,7],[4,7],[5,7],[6,7],[7,7],[7,6],[7,5],[7,4],[7,3],[7,2]]","[[14,7],[13,7],[12,7],[11,7],[10,7],[9,7],[8,7],[7,7],[7,6],[7,5],[7,4],[7,3],[7,2]]","[[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1]]","[675,825,1044,1151,1314,1578,1650,1766,1969,2152,2323,2637,3198]","[1345,1504,1674,1841,2013,2206,2339,2469,2630,2792,2966,3148,3307]","[null,null,null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,,False,True,1757695950751,,26,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
0,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,25,26,True,"[7,2]",closer_to_player1,,1757695963479,[],"[0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1]","[[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8],[1,8]]","[[7,14],[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[6,8],[5,8],[4,8],[3,8],[2,8],[1,8]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[675,872,1035,1194,1370,1677,1931,2065,2231,2425,2834,3006,3182]","[903,1080,1273,1437,1613,2097,2265,2424,2579,2744,2912,3073,3323]","[null,null,null,null,null,null,0,0,0,0,0,0,0]","[null,null,null,null,null,null,0,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695966802,19.0,26,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
1,2P3G,human,2,5723714684458100120292f6,329a09b2-ad1f-4458-af0b-f7dd194297d1,,,False,,,,,1.0,24,23,True,"[13,5]",equal_to_both,,1757695968808,[],"[1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0]","[[7,1],[7,2],[7,3],[7,4],[7,5],[7,6],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7]]","[[7,13],[7,12],[7,11],[7,10],[7,9],[7,8],[7,7],[6,7],[5,7],[4,7],[3,7],[2,7]]","[[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[0,-1],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0],[-1,0]]","[773,942,1085,1243,1418,1634,1964,2158,2372,2548,2886,3320]","[622,810,1006,1213,1419,2245,2414,2596,2745,2911,3083,3302]","[null,null,null,null,null,null,0,0,0,0,0,0]","[null,null,null,null,null,null,0,0,0,0,0,0]",0.0,0.0,0,0,0.0,False,True,1757695972128,18.0,24,329a09b2-ad1f-4458-af0b-f7dd194297d1,experiment_data_5723714684458100120292f6_room_329a09b2-ad1f-4458-af0b-f7dd194297d1_2025-09-12T16-56-07-217Z.xlsx,ExperimentData,Human-Human
