participantID,game_type,success_rate,study
5a5bd24be0cf3d000126849e,human,0.95,Human-Human-GPT
652c5f38cf13042034313b91,gpt-4.1-mini,0.7894736842105263,Human-Human-GPT
5b985404a15058000124e508,human,1.0,Human-Human-GPT
65b537602cf1fbd4f77c7909,human,0.9,Human-Human-GPT
65c10fc4bfa12f9fbcfda656,mixed,0.9,Human-Human-GPT
66bce38cdb7f3309e448dc8d,human,1.0,Human-Human-GPT
66b5172c8f0bd3b23ce66c22,human,0.9,Human-Human-GPT
5efaf5d5540ce9953f995009,human,1.0,Human-Human-GPT
675c64b95d8683943d557b71,human,1.0,Human-Human-GPT
6646cdbd7a8e4d39556e459b,gpt-4.1-mini,0.9444444444444444,Human-Human-GPT
6527f153bea7b2d7c0d556e4,mixed,0.5,Human-Human-GPT
66ba819cd72c840e39108978,human,1.0,Human-Human-GPT
651b249337102ada9fee4951,human,1.0,Human-Human-GPT
66338ea47f6b47399eb188ca,human,1.0,Human-Human-GPT
5f850c99d40bfe1f29078e69,mixed,0.8235294117647058,Human-Human-GPT
67364113bdafe2840fa05b69,human,1.0,Human-Human-GPT
597519f8262c480001bbaf8b,human,0.95,Human-Human-GPT
5b2fef03530770000105a8b2,human,1.0,Human-Human-GPT
66d0217be06f8783cc04f0a7,human,0.95,Human-Human-GPT
60bac4eb11e08e852fd030ab,human,1.0,Human-Human-GPT
572f526c3c27e7000e0b8aaa,gpt-4.1-mini,0.5,Human-Human-GPT
6731413b949994960fadc176,mixed,0.7368421052631579,Human-Human-GPT
670c3a0b29d34e1201670dd1,gpt-4.1-mini,0.7894736842105263,Human-Human-GPT
5d1481522b085a001602d964,human,1.0,Human-Human-GPT
6658c4239af9537eefdfbcc9,human,0.95,Human-Human-GPT
67d21364aa4dc87ecd8f3f1b,gpt-4.1-mini,0.55,Human-Human-GPT
6143af8721d1445864c4f6c8,human,1.0,Human-Human-GPT
6154c1748e0de2c3afdab62c,mixed,1.0,Human-Human-GPT
5c06063cf7595100015c30f6,human,1.0,Human-Human-GPT
62b628e4351d179f1ff6cc59,human,1.0,Human-Human-GPT
5c0558b8553fb80001191980,gpt-4.1-mini,0.8947368421052632,Human-Human-GPT
5dc3552003f8562725a1b956,gpt-4.1-mini,0.4117647058823529,Human-Human-GPT
670d816961bebcb45b53b929,mixed,0.75,Human-Human-GPT
66854df2e5fef4239ff63a7d,gpt-4.1-mini,0.7894736842105263,Human-Human-GPT
5aff33bae55f90000139f664,mixed,0.9473684210526316,Human-Human-GPT
6016f0e16f7aec8af4152aa4,human,0.95,Human-Human-GPT
663a3ee80ab62f61353a10f0,human,1.0,Human-Human-GPT
5bddfba7712eb800010d3a61,mixed,0.8947368421052632,Human-Human-GPT
607668ac450fc6e3025a131d,mixed,0.85,Human-Human-GPT
678f0bb28ec3307e4f1afb78,human,1.0,Human-Human-GPT
596de39c9fd5ee0001b704c3,gpt-4.1-mini,0.85,Human-Human-GPT
5f0a686635f72917e94c7a63,human,0.95,Human-Human-GPT
5e1b795dc799223a3b447ada,mixed,0.9,Human-Human-GPT
5f0f7fe1d7ad1c000b42d091,human,1.0,Human-Human-GPT
5c70eafaf6c9fe00013eeafb,human,0.9,Human-Human-GPT
660453c9877e571d12b555f7,gpt-4.1-mini,0.85,Human-Human-GPT
5723714684458100120292f6,human,0.95,Human-Human-GPT
57dd3b0e91b7fc0001493db9,gpt-4.1-mini,0.75,Human-Human-GPT
663a8c84b8e7c046d854c8dd,human,0.85,Human-Human-GPT
6824d53b2584274c9b13924e,mixed,0.95,Human-Human-GPT
5422ae1afdf99b328c91b203,individual_rl,1.0,Human-RL
545d347afdf99b7f9fca22c7,joint_rl,1.0,Human-RL
558996f2fdf99b7ae47f5ed2,joint_rl,1.0,Human-RL
558c2205fdf99b5d984bbb15,individual_rl,1.0,Human-RL
5623f187ed6e5a0011c81083,joint_rl,1.0,Human-RL
57655a2aea19ef00016351cf,joint_rl,1.0,Human-RL
57d5ab3a722df500017f3622,individual_rl,0.9166666666666666,Human-RL
5989b85ce684850001dfe29c,joint_rl,1.0,Human-RL
59f226a9d6380600018b2923,joint_rl,1.0,Human-RL
5a4ff86beedc32000141f232,joint_rl,0.9166666666666666,Human-RL
5b16e1a5457ace0001b40d46,joint_rl,1.0,Human-RL
5b5a822e1ad8270001c4f28d,individual_rl,0.9166666666666666,Human-RL
5beb492b5324b10001c26ae8,individual_rl,1.0,Human-RL
5c1199258b095d00015cf0ec,individual_rl,1.0,Human-RL
5d2db62ac45885001abf9ce3,individual_rl,1.0,Human-RL
5d684971f5868700184eab81,joint_rl,1.0,Human-RL
5d7ff85ffec5620017b07c40,joint_rl,1.0,Human-RL
5dad4c34b3446a0015e3de93,joint_rl,1.0,Human-RL
5dcc3ec7db13278d75c8622f,individual_rl,1.0,Human-RL
5e45a09c8155b00828c83d95,joint_rl,1.0,Human-RL
5eb29a3db97d6b0008d24a1a,joint_rl,1.0,Human-RL
5f1088e27a43fe0c64ca5814,joint_rl,1.0,Human-RL
5f147c831589684ed6fd4cb8,individual_rl,1.0,Human-RL
5f2b0ad7bc24294b9f032fbe,individual_rl,0.9166666666666666,Human-RL
5fc59271971cc91189a1bdf0,individual_rl,1.0,Human-RL
5fc7694c36033201e9defeb7,individual_rl,0.9166666666666666,Human-RL
60b3950b9a1de417d37bb8d2,joint_rl,1.0,Human-RL
60d3a633b495ccd3987f1802,individual_rl,1.0,Human-RL
60ddc62b071a009e0b0c2922,joint_rl,1.0,Human-RL
611830fe665c7b68723910b3,joint_rl,1.0,Human-RL
62682277645054f5802459b8,individual_rl,1.0,Human-RL
62faba5f904642df812944fa,joint_rl,0.9166666666666666,Human-RL
62fd14d7b1e0729dc8aadb79,joint_rl,0.9166666666666666,Human-RL
636bd30e14a5a0787697f56b,individual_rl,0.9166666666666666,Human-RL
63d79fcd741f9cfb2f87152f,individual_rl,0.9166666666666666,Human-RL
651ac208f45cf1745c586ffc,individual_rl,1.0,Human-RL
651ac88823e71c05dbc1ff63,joint_rl,1.0,Human-RL
656000af0e4ff12b601488e1,joint_rl,1.0,Human-RL
66084cde8c8b94db6ce51ac9,individual_rl,1.0,Human-RL
661770012a3c83b4bdaff645,joint_rl,1.0,Human-RL
662190146ef67bab626e48cb,joint_rl,1.0,Human-RL
662e66138060bf4a9db8c159,individual_rl,0.8333333333333334,Human-RL
664a5be05bc29332beb2fced,individual_rl,1.0,Human-RL
665adfcc9f26520c4307e228,individual_rl,1.0,Human-RL
665b1c70895ff62a86e1483e,individual_rl,1.0,Human-RL
66620c24b9b110fb26375821,individual_rl,1.0,Human-RL
66854ca22a0b1e7e87b469a4,individual_rl,1.0,Human-RL
66929bbddece52b3d6569339,individual_rl,1.0,Human-RL
66cb2e0bd2169db778550269,individual_rl,1.0,Human-RL
66f2b62e0ed36bbf5a254874,joint_rl,1.0,Human-RL
6713bf9052400ecdc5f6acdb,joint_rl,1.0,Human-RL
6713eeea64ca1fb59cbcbce4,individual_rl,1.0,Human-RL
67606392711c56c57996d9c0,individual_rl,1.0,Human-RL
6764697d9d4afb4e6bfe1c4e,individual_rl,1.0,Human-RL
676cdf06a9a9208a2b1ed100,individual_rl,1.0,Human-RL
6772ed74a16a7086a77e5d6e,joint_rl,1.0,Human-RL
677401d939f129f94d412a63,joint_rl,1.0,Human-RL
6777a384c84a19ccaee79888,joint_rl,1.0,Human-RL
678ff81c8c6b56f93355e0bb,joint_rl,1.0,Human-RL
67e282f63445e665072a9861,joint_rl,1.0,Human-RL
