condition_scope,group,BToM Step 1 (%),Commitment (%),Coordination Efficiency (%),Signaling Move (%),Success Rate (%)
average,Individual RL,70.34505504998327,51.63690476190476,100.0,43.9781746031746,20.555555555555554
average,Joint RL,64.4511833023833,51.421957671957664,89.9642143020119,32.84722222222223,97.77777777777777
average,Shared agency no commitment no signaling,58.17106947000025,46.71296296296295,77.9306851715346,26.65145502645502,88.05555555555556
average,Shared agency commitment no signaling,62.465295668706,66.88161375661376,85.14792836623056,32.41732804232804,86.11111111111111
average,Shared agency commitment signaling (Communicative Action Mixture (Legibility Over Alternatives)),69.14269045489002,72.41732804232804,87.63551939035133,42.43716931216931,91.11111111111111
average,Human-Human,73.75406679082373,64.97395833333334,81.57604663510541,52.5297619047619,100.0
equal_to_both,Individual RL,80.90033258610035,54.166666666666664,100.0,62.797619047619044,28.888888888888886
equal_to_both,Joint RL,67.0893473999747,41.666666666666664,98.66372053872053,41.388888888888886,98.88888888888889
equal_to_both,Shared agency no commitment no signaling,63.81570605837287,38.05555555555555,87.52699550813941,37.77777777777777,96.66666666666667
equal_to_both,Shared agency commitment no signaling,69.07188403038181,79.72222222222223,93.58948443078344,45.55555555555556,97.77777777777777
equal_to_both,Shared agency commitment signaling (Communicative Action Mixture (Legibility Over Alternatives)),78.42897732984723,93.88888888888887,98.00744163244163,65.0,100.0
equal_to_both,Human-Human,80.28227897014428,84.375,96.6397607022607,59.375,100.0
