lambda,alpha,fit_stage,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,summary_path,trials_path,command,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,average_btom_step1_percent,equal_btom_step1_percent
0.0,0.0,joint_grid,205.66568314473415,214.87807236493023,420.5437555096644,0.49291862284820026,0.2789397980438099,0.43333333333333335,0.3805970149253731,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.0 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_no_signaling_lambda_sweep,88.05555555555556,77.9306851715346,46.71296296296295,26.65145502645502,96.66666666666667,87.52699550813941,38.05555555555555,37.77777777777777,57.816384785168204,63.81570605837287
0.0,0.1,joint_grid,214.08647498715771,207.53947533563667,421.6259503227944,0.44432707355242557,0.3061024595229267,0.4,0.4375,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p1_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p1_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p1_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.1 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,84.16666666666667,77.57018447004293,40.0,30.02314814814815,93.33333333333333,85.72194931950479,34.166666666666664,45.55555555555556,60.143611773843055,69.01107586916116
0.0,0.2,joint_grid,221.22078116718205,196.88560087517124,418.1063820423533,0.41279342723004697,0.34758386964832766,0.37777777777777777,0.45,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p2_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p2_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p2_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.2 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,83.61111111111111,76.84010784855533,36.97089947089947,34.36838624338623,96.66666666666667,84.83400024006751,33.88888888888888,45.83333333333333,63.477485967890026,68.13640314025022
0.0,0.3,joint_grid,227.76363906396153,193.81143124568126,421.5750703096428,0.3979655712050078,0.3693813662274554,0.35,0.5,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p3_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p3_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p3_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.3 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,86.11111111111111,74.71627085778144,36.63359788359788,35.76719576719577,96.66666666666667,82.08098566260976,28.333333333333332,51.944444444444436,63.797549875503144,70.68375621547463
0.0,0.4,joint_grid,232.99922319161544,191.19593617120142,424.19515936281687,0.37578247261345854,0.3750421401476471,0.3388888888888889,0.47761194029850745,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p4_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p4_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p4_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.4 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,83.05555555555556,74.44049140800907,32.572089947089935,35.97949735449736,93.33333333333333,84.0858007641663,25.27777777777777,47.22222222222222,63.56874448079001,68.61490086497243
0.0,0.5,joint_grid,228.74519007698586,193.71445465940457,422.45964473639043,0.3926056338028169,0.3625265388435887,0.34444444444444444,0.47692307692307695,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p5_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p5_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p5_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.5 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,83.61111111111111,74.41028043961023,34.42724867724867,34.65740740740741,93.33333333333333,84.1698136527236,23.888888888888886,47.41379310344828,62.0137130211545,67.41946678724032
0.0,0.6,joint_grid,242.12817771231605,194.68295390148447,436.8111316138005,0.359585289514867,0.36511074480218725,0.3,0.4765625,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p6_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p6_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p6_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.6 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,82.5,74.14255863108832,30.87632275132275,34.90608465608466,94.44444444444444,85.4211324041704,18.678160919540232,47.12643678160919,61.17740791889551,62.58989343662928
0.0,0.7,joint_grid,240.07379477960728,199.62602469164312,439.6998194712504,0.37633020344287943,0.36548466012696884,0.29444444444444445,0.5307692307692308,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p7_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p7_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p7_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.7 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,82.77777777777777,73.44937360346209,31.92592592592592,34.65079365079365,94.44444444444444,84.09394439927028,15.517241379310345,52.87356321839079,61.015425867482655,65.42661662900625
0.0,0.8,joint_grid,229.5941266068803,191.59061318819602,421.1847397950763,0.3928794992175274,0.3771239104193885,0.3388888888888889,0.5075757575757576,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p8_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p8_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p8_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.8 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,83.88888888888889,72.40205363034289,33.959656084656075,36.29894179894179,91.11111111111111,84.0226894679718,23.333333333333332,51.944444444444436,61.183546977508804,66.45877308805356
0.0,0.9,joint_grid,230.25047759561997,189.92997807356323,420.1804556691832,0.40011737089201876,0.38656380890276515,0.3277777777777778,0.5147058823529411,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p9_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0_alpha_0p9_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0_alpha_0p9_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.0 --alpha 0.9 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,85.27777777777777,72.01808522327808,36.09920634920634,37.234788359788354,94.44444444444444,81.11232588116162,23.61111111111111,51.66666666666666,61.59299469150954,67.10823696790018
