group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,0,1,equal_to_both,6,"[0.5, 0.9995495452389491, 0.9999995101074578, 0.9999999988366087, 0.9999999999927697, 0.9999999999999633]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,0,2,equal_to_both,6,"[0.5, 0.999830000237463, 0.9999999322553896, 0.9999999999422303, 0.9999999999999029, 0.9999999999999997]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,1,1,equal_to_both,4,"[0.5, 0.9959084525448256, 0.9999770481255964, 0.9999997577783318]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,1,2,equal_to_both,9,"[0.5, 0.9994303064191473, 0.9999992811891005, 0.9999999981098903, 0.9999999999900172, 0.9999999999998946, 6.463720163755422e-19, 6.463720163755422e-19, 2.4463776805695613e-17]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,2,1,closer_to_player1,5,"[0.5, 0.33167051929661634, 1.0, 1.0, 1.0]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,2,2,closer_to_player1,9,"[0.5, 0.5795852608813704, 0.6527676344609498, 0.7142529020875961, 0.7600381037960429, 0.7865183487976402, 0.8153350962678854, 0.8153350962678854, 0.8153350962678854]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,3,1,equal_to_both,6,"[0.5, 0.5036402535051359, 0.43443437631898013, 0.510111837600777, 0.999917885701626, 0.9999385041469214]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,3,2,equal_to_both,6,"[0.5, 0.5883032134536315, 0.6786834512387693, 0.7675252310212789, 0.8497719204689428, 0.9184005897099241]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,4,1,closer_to_player1,5,"[0.5, 0.9999930350560399, 0.9999999998920794, 0.9999999999999947, 1.0]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,4,2,closer_to_player1,10,"[0.5, 0.586788101075512, 0.7030008666202494, 0.9999978042742335, 0.999999999973099, 0.999999999999999, 1.0, 1.0, 1.0, 1.0]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,7,1,closer_to_player2,4,"[0.5, 0.5609945462109613, 0.5997266868933165, 0.9999554743107464]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,7,2,closer_to_player2,10,"[0.5, 0.5497334032568709, 0.6300587352938752, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,8,2,closer_to_player1,7,"[0.5, 0.33501473695832373, 0.20123480006694272, 0.09537204601735949, 3.699976598662438e-07, 1.0, 1.0]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,10,1,closer_to_player2,12,"[0.5, 0.41579571195622245, 0.9866937616463436, 0.9861578268752964, 0.9999093808155303, 0.9999100118361101, 0.99999944946539, 0.9999994549916751, 0.9999999971262903, 0.9999999971409778, 3.0763496207980948e-25, 9.113146368817284e-23]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,10,2,closer_to_player2,14,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player1,,11,1,closer_to_player2,11,"[0.5, 0.35436781034826914, 0.0008762129748735687, 0.0014313592151197977, 0.0020100324813133764, 0.002714707075465907, 0.0035163067360425783, 0.006273746759770131, 1.1072707869561263e-08, 0.0007257325093080993, 0.825726375257467]"
Human-Human,human_6b3ca33d-6a91-4de7-aaef-b55bcb13d712_player2,,11,2,closer_to_player2,11,"[0.5, 0.5769857784521709, 0.6365353790756788, 0.5948437001253907, 1.030543952251622e-05, 1.2000339212548135e-05, 1.2191554880864938e-05, 1.624104469456101e-38, 2.446761817390479e-34, 1.060103754756328e-67, 6.916095660637879e-64]"
Human-Human,human_dbe27c5c-9678-4808-9506-13690c5d442a_player1,,2,1,equal_to_both,6,"[0.5, 0.41745967485723506, 0.5260672510023996, 0.9998619215282961, 0.9998398022283523, 0.9997956406478309]"
Human-Human,human_dbe27c5c-9678-4808-9506-13690c5d442a_player2,,2,2,equal_to_both,6,"[0.5, 0.33705877472373863, 0.20391398156654847, 0.11354785492162166, 0.9997529039210332, 0.9996847947116447]"
Human-Human,human_dbe27c5c-9678-4808-9506-13690c5d442a_player1,,5,1,equal_to_both,6,"[0.5, 0.9989137933805177, 0.9999990458496851, 0.9999999986841128, 0.999999999996197, 0.9999999999999767]"
Human-Human,human_dbe27c5c-9678-4808-9506-13690c5d442a_player2,,5,2,equal_to_both,6,"[0.5, 0.23227291265206879, 0.9991308024116926, 0.9999997877368635, 0.9999999999135043, 0.9999999999999263]"
Human-Human,human_dbe27c5c-9678-4808-9506-13690c5d442a_player1,,6,1,closer_to_player2,2,"[0.5, 0.9999148033620131]"
