group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,1,1,closer_to_player1,9,"[0.5, 0.416362011177266, 0.34497934163402266, 0.4221573652156359, 0.26750008736853365, 0.153511044521272, 1.0, 1.0, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.5044483641156204, 0.5113487239338083, 0.5133773147628139, 0.5265652366060606, 0.5297679289776143, 0.5312849419846747, 0.5319123833245889, 0.5321341868700094]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,3,1,equal_to_both,11,"[0.5, 0.003353742087235568, 0.0033418237734564437, 0.003408752255021988, 0.8850868831032961, 0.9285948525419544, 0.9998076040196348, 0.9999998946218871, 0.9999999998751868, 0.9999999999997073, 0.9999999999999988]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,3,2,equal_to_both,9,"[0.5, 0.9966464379246422, 0.9966583337253736, 0.9999889748722519, 0.999988895133263, 0.9999999713806497, 0.999999962500611, 0.9999999999120736, 0.9999999999996222]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,4,1,closer_to_player2,12,"[0.5, 0.9965922152747114, 0.9999787202932622, 0.9999997740128073, 0.9999997776678522, 0.9999999976499556, 0.9999999977424041, 0.9999999999757566, 0.9999999999993635, 0.9999999999996915, 0.9999999999998568, 0.9999999999999589]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,4,2,closer_to_player2,9,"[0.5, 0.0001653733310765715, 0.00010242190998323183, 1.5648776218999963e-08, 0.00018333865412080983, 0.44483376345578457, 0.9993173306904314, 0.9999991909819018, 0.9999999981032242]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,5,1,closer_to_player1,3,"[0.5, 0.5734777499641589, 0.5736957674099337]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,5,2,closer_to_player1,9,"[0.5, 0.5034056361640885, 0.5056557066815311, 0.5065326912380471, 0.5076803981289483, 0.5139507746004706, 0.5630588977852914, 0.5636787364746719, 0.5638978287055655]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,6,1,closer_to_player1,9,"[0.5, 0.9996549832043653, 0.9999997189423275, 0.9999999995068327, 0.9999999999982588, 0.9999999999999832, 0.9999999999999921, 0.9999999999999978, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,6,2,closer_to_player1,9,"[0.5, 0.9830771097613494, 0.999546914426746, 0.9999822806158758, 0.9999880078215673, 0.9999993129123055, 0.9999996753766203, 0.9999998440030614, 0.9999999241192045]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,7,1,closer_to_player2,12,"[0.5, 0.5783968494829561, 0.4404974089032056, 0.6032624509985857, 0.7517794825427635, 0.9022019441426828, 0.9999916546596073, 0.9999999992530711, 0.9999999999998712, 1.0, 1.0, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,7,2,closer_to_player2,4,"[0.5, 0.9991843097847604, 0.9999987948023324, 0.9999999949081461]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,9,1,equal_to_both,10,"[0.5, 0.5001118210642354, 0.5005239064427445, 0.998252782606132, 0.9999939099162167, 0.9999942210837298, 0.999999973089258, 0.9999999847732735, 0.9999999997024901, 0.9999999999987242]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,9,2,equal_to_both,10,"[0.5, 0.9938490106271884, 0.9999345526685325, 0.9999988849893733, 0.9999999709888537, 0.9999999988858562, 0.9999999992180045, 0.9999999994105127, 0.9999999995087909, 0.9999999999912319]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,10,1,closer_to_player2,9,"[0.5, 0.5033940253426091, 0.505336570346631, 0.9941505247152553, 0.9999389326601068, 0.9999989690207532, 0.999998995459104, 0.9999988141367566, 0.9999999937491092]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,10,2,closer_to_player2,9,"[0.5, 0.9995283679257053, 0.9997358461839322, 0.9999998416056208, 0.9999999997606879, 0.9999999999988093, 0.9999999999999903, 1.0, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,11,1,equal_to_both,11,"[0.5, 0.9886510412837684, 0.9997940527263807, 0.999994458600632, 0.9999997836743768, 0.9999999879926549, 0.9999999939099424, 0.9999999959203205, 0.9999999997619319, 0.9999999998929566, 0.9999999999531156]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,11,2,equal_to_both,11,"[0.5, 0.9894609058699039, 0.9895748655233835, 0.9998886008163028, 0.9999981019503883, 0.9999981510807702, 0.9999999684319044, 0.9999999696248153, 0.9999999717933314, 0.9999999996450565, 0.9999999997933375]"
