group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
sampleJointGoalAndSignal_fromStart,session_0_player1,0,1,1,closer_to_player1,7,"[0.5, 0.9999431088427018, 0.9999999844721253, 0.9999999953001838, 0.9999999999987638, 0.9999999999999997, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.9821833265585111, 0.9830384967718809, 0.9996972709695073, 0.9999868891114593, 0.9999936264802909, 0.9999968633711739, 0.9999984429432379, 0.9999992229923362]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,3,1,equal_to_both,12,"[0.5, 0.981334113672516, 0.99945963679476, 0.9995463367086698, 0.9999879688578188, 0.9999890034744221, 0.9999895514637509, 0.9999898881616553, 0.9999998919282985, 0.9999999970658909, 0.999999998602876, 0.9999999993526574]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,3,2,equal_to_both,14,"[0.5, 0.9813341169186017, 0.9994596369751401, 0.9995463367059514, 0.9999879688595711, 0.9999995207880996, 0.9999719677291383, 0.9999854248453289, 0.99999835684869, 0.9999992368784855, 0.9999996359264474, 0.9999998256462972, 0.99999991697863, 0.9999999615329226]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,4,1,closer_to_player2,9,"[0.5, 0.6292540431623335, 0.9692346099512038, 0.9974291636819016, 0.9984324247891418, 0.9990225444451201, 0.9993798776820954, 0.9996016773765097, 0.9997426692340116]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,4,2,closer_to_player2,9,"[0.5, 0.9996537651309405, 0.9999997146022817, 0.999999999158357, 0.9999999995798425, 0.9999999997903493, 0.999999999897727, 0.9999999999690415, 0.9999999999999915]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,6,1,closer_to_player1,9,"[0.5, 0.5035760945593286, 0.9998316265883138, 0.9999999211304945, 0.9999999998620642, 0.9999999999609197, 0.9999999999999261, 0.9999999999999999, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,6,2,closer_to_player1,9,"[0.5, 0.9831463290877871, 0.9835824117303655, 0.9997157714342277, 0.9997270507531606, 0.9997334356137347, 0.9999971874724785, 0.999999942150343, 0.999999971750393]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,7,1,closer_to_player2,10,"[0.5, 0.503405204987075, 0.5056594996794954, 0.5075244503148808, 0.5145784505181183, 0.5513997192393074, 0.5569437085851063, 0.5604635612987163, 0.5604635612987163, 0.5625831536832485]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,7,2,closer_to_player2,6,"[0.5, 0.5000737090079882, 0.502495846877799, 0.508861000784274, 0.5918568019473261, 0.5939347717347522]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,10,1,closer_to_player2,9,"[0.5, 0.9832232083848409, 0.9995556410647533, 0.9999827804601242, 0.9999985304651625, 0.9999993179605627, 0.9999996773447618, 0.9999998449446105, 0.9999999245770491]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,10,2,closer_to_player2,9,"[0.5, 0.9996545212299142, 0.9999997180009125, 0.9999999995039338, 0.9999999995322492, 0.9999999999988842, 0.9999999999999929, 0.999999999999998, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,11,1,equal_to_both,6,"[0.5, 0.41369449826639737, 0.999812386927584, 0.9999999492605057, 0.9999999999645064, 0.9999999999999107]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,11,2,equal_to_both,6,"[0.5, 0.5872972256128614, 0.7476737856293444, 0.9999642496024196, 0.9999999883897156, 0.9999999999963844]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,0,1,closer_to_player1,9,"[0.5, 0.6226115921119427, 0.9996817441453701, 0.9999998408831094, 0.9999999997851564, 0.9999999998925901, 0.9999999999463063, 0.9999999999731612, 0.9999999999866808]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,0,2,closer_to_player1,9,"[0.5, 0.504505649171184, 0.5077605776939478, 0.5151483192839416, 0.5348912769383088, 0.5432843703117907, 0.5488471096204188, 0.552379594310861, 0.5545071836584503]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,2,1,equal_to_both,11,"[0.5, 0.9877738450200705, 0.9899004734364198, 0.999889219846785, 0.9998968520027129, 0.9999988748139769, 0.9999999631935705, 0.9999999823825992, 0.999999991804702, 0.9999999976297859, 0.9999999999634807]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,2,2,equal_to_both,11,"[0.5, 0.9894580034863917, 0.9998176406031233, 0.9999952409280972, 0.9999954212241519, 0.9999955386999279, 0.9999999240746826, 0.9999999979897005, 0.9999999984928789, 0.9999999987437057, 0.9999999999754663]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,3,1,closer_to_player2,12,"[0.5, 0.9832133207100195, 0.09305420805180485, 0.8573362771132412, 0.9956781100109602, 0.999828170130196, 0.9999803911419824, 0.9999906307075244, 0.999995451628127, 0.9999977692636502, 0.9999977692636502, 0.9999989037581304]"
