group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
sampleJointGoal_fromStart,always_committed_session_0_player1,0,1,1,closer_to_player1,7,"[0.5, 0.4940776807566307, 0.5367359871856892, 0.6077610730591092, 1.0, 1.0, 1.0]"
sampleJointGoal_fromStart,always_committed_session_0_player2,0,1,2,closer_to_player1,11,"[0.5, 0.5038649626725829, 0.5058347432439424, 0.5010466743651489, 0.5846517937329585, 0.6559606885227923, 0.5788606174476209, 0.7333170248150067, 0.07697816452225847, 0.14298552164579162, 0.2514807832552419]"
sampleJointGoal_fromStart,always_committed_session_0_player1,0,3,1,equal_to_both,11,"[0.5, 0.989454536474718, 0.9998175069462129, 0.999821788151038, 0.9999969635298072, 0.9999970415537434, 0.9999999496572358, 0.9999999986737413, 0.999999999006722, 0.9999999991755872, 0.999999999235549]"
sampleJointGoal_fromStart,always_committed_session_0_player2,0,3,2,equal_to_both,11,"[0.5, 0.9892757183732372, 0.999810940497052, 0.9998194480785029, 0.9998226918670736, 0.9998250829236313, 0.9999988789525047, 0.9999999875173292, 0.9999999909542195, 0.999999995551878, 0.9999999998699873]"
sampleJointGoal_fromStart,always_committed_session_0_player1,0,4,1,closer_to_player2,9,"[0.5, 0.5035084577470065, 0.5051560200808407, 0.5070207862138031, 0.5018826035162072, 0.4960679892383729, 0.4902447040173357, 0.5320232979534613, 0.4562842150263677]"
sampleJointGoal_fromStart,always_committed_session_0_player2,0,4,2,closer_to_player2,11,"[0.5, 0.4090033856556325, 0.3263234884288284, 0.2571030839255557, 0.34703431282903857, 0.2099121350726172, 0.11723242990741048, 0.9999475689025497, 0.9999390125651538, 0.9999999998164384, 0.9999999998468284]"
sampleJointGoal_fromStart,always_committed_session_0_player1,0,5,1,closer_to_player1,4,"[0.5, 0.999378615677862, 0.9999990930287957, 0.9999999969308282]"
sampleJointGoal_fromStart,always_committed_session_0_player2,0,5,2,closer_to_player1,14,"[0.5, 0.5785269463652492, 0.6575313255661038, 0.7314706893487991, 0.6008242441088167, 0.012279533275778036, 0.9936201521266541, 0.996792117954574, 0.9988365558829665, 0.9999999783826541, 0.9999999999993802, 1.0, 1.0, 1.0]"
sampleJointGoal_fromStart,always_committed_session_0_player1,0,6,1,closer_to_player1,6,"[0.5, 0.5046667614536975, 0.5071404631300677, 0.5130540375285373, 0.586197452555731, 0.5864135369882315]"
sampleJointGoal_fromStart,always_committed_session_0_player2,0,6,2,closer_to_player1,13,"[0.5, 0.5030078822614841, 0.5052831548027784, 0.5071105789071924, 0.5025632506327696, 0.5088359334079885, 0.5580165707970443, 0.5586379628304398, 0.023188074125969314, 0.0006012063129041202, 0.0005450118768333168, 0.0007326434619724913, 0.0007332959631615181]"
