group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player1,0,1,1,closer_to_player1,9,"[0.5, 0.9996521897698695, 0.9999997068772611, 0.9999999991482574, 0.9999999995817923, 0.9999999997976086, 0.9999999999414002, 0.9999999999999556, 1.0]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.9830808315150754, 0.9839884185999379, 0.9997160273771357, 0.99998783056115, 0.9999941065179484, 0.9999971115682874, 0.999998572483854, 0.999999290871657]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player1,0,3,1,equal_to_both,12,"[0.5, 0.981334113672516, 0.99945963679476, 0.9995463367086698, 0.9999879688578188, 0.9999890034744221, 0.9999895514637509, 0.9999898881616553, 0.9999998919282985, 0.9999999970658909, 0.999999998602876, 0.9999999993526574]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player2,0,3,2,equal_to_both,12,"[0.5, 0.9813341169186017, 0.9994596369751401, 0.9995463367059514, 0.9999879688595711, 0.9999995207880996, 0.9999999459760234, 0.9999999749099042, 0.9999999880299054, 0.9999999942675596, 0.9999999972704049, 0.9999999987352709]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player1,0,4,1,closer_to_player2,9,"[0.5, 0.9830621541416056, 0.9995222564107381, 0.9999555095100593, 0.9999773004276364, 0.9999881909028736, 0.9999937862372034, 0.9999967159856096, 0.9999982736182345]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player2,0,4,2,closer_to_player2,9,"[0.5, 0.9996592340786165, 0.9999997274098993, 0.9999999995195972, 0.9999999999965914, 0.9999999999982253, 0.9999999999991117, 0.9999999999997332, 0.9999999999999994]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player1,0,5,1,closer_to_player1,6,"[0.5, 0.4920400643778575, 0.4985607791051956, 0.5480664807195472, 0.5487016479798256, 0.5489223680787408]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player2,0,5,2,closer_to_player1,9,"[0.5, 0.5034548841791626, 0.5057049502989643, 0.5065819325714191, 0.5077296362759174, 0.5139999863222544, 0.5631073654953839, 0.5637271886874654, 0.5639462754060355]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player1,0,6,1,closer_to_player1,2,"[0.5, 0.4278324302993386]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player2,0,6,2,closer_to_player1,9,"[0.5, 0.5045359656632611, 0.5077370829188783, 0.5144363296766351, 0.5278747696573916, 0.5311210993520206, 0.5326382414497071, 0.5332654700970512, 0.5334871948831041]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player1,0,7,1,closer_to_player2,9,"[0.5, 0.5034561414917134, 0.5057101107677237, 0.5075748242785336, 0.5024367492950864, 0.49662211574493986, 0.5029813954509774, 0.4568912311335071, 0.5665407296782905]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player2,0,7,2,closer_to_player2,7,"[0.5, 0.5882592873489851, 0.6666324769773341, 0.7299750846297495, 0.7754587273450513, 0.8032434526999492, 0.8638105089990552]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player1,0,9,1,equal_to_both,9,"[0.5, 0.9966297924995017, 0.9999790684544194, 0.9999997778608329, 0.9999999961253022, 0.999999999823597, 0.9999999999181625, 0.9999999999630564, 0.999999999989346]"
samplePosteriorOnlyGoalAndSignal_fromStart,session_0_player2,0,9,2,equal_to_both,9,"[0.5, 0.9966464451137753, 0.9966583378445834, 0.9999889748888493, 0.9999999330408108, 0.9999999334834941, 0.9999999996660649, 0.9999999999968269, 0.9999999999999389]"
