group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,1,1,closer_to_player1,9,"[0.5, 0.9996595337447106, 0.999659363069083, 0.9999998827424907, 0.9999998855870738, 0.9999999999480453, 0.9999999999999432, 0.9999999999999721, 1.0]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.5050512150355926, 0.9897422755758875, 0.9998193786746802, 0.9998718049740837, 0.9999966994396791, 0.9999983916792728, 0.9999992096543672, 0.9999996100324832]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,3,1,equal_to_both,12,"[0.5, 0.5001784512560019, 0.9893361408216074, 0.999812816285293, 0.999995037179315, 0.9999954639592309, 0.999999877815314, 0.9999999905120311, 0.9999999954734381, 0.9999999978322439, 0.9999999989677876, 0.9999999995217352]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,3,2,equal_to_both,18,"[0.5, 0.5002118526466498, 0.500246566103673, 0.5002511930215672, 0.9966442003535905, 0.9879775232525331, 0.9880689031427607, 0.9881224896384716, 0.9881672707363283, 0.9999793240393555, 0.9999999285763631, 0.9999999322515062, 0.9999999544896823, 0.9999461518016569, 0.999963826621766, 0.05263178026884871, 0.9868083951610404, 0.9999777879638]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,4,1,closer_to_player2,9,"[0.5, 0.5028347455539365, 0.5044811516102752, 0.5063462077922802, 0.5134009038226093, 0.49843818222572445, 0.47112321300422944, 0.5549135773526245, 0.5570387808413547]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,4,2,closer_to_player2,4,"[0.5, 0.6667126693622965, 0.8000812853100503, 0.8896765721805955]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,5,1,closer_to_player1,6,"[0.5, 0.5007557728765012, 0.4993724470672376, 0.4196121201443549, 0.9997624109878605, 0.9999999034915079]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,5,2,closer_to_player1,20,"[0.5, 0.996555070685758, 0.9965579624196833, 0.9999883006582585, 0.9999999248305056, 0.9999999985973198, 0.9999999993081292, 0.999999999657146, 0.9999999998299414, 0.9999999999185942, 0.9999999880889439, 0.9999993721950166, 0.9999996886030902, 0.999992939335615, 0.999988715570156, 0.9994055695552345, 0.9997050688966295, 0.9998587970641618, 0.9999601925542289, 0.9999999247041326]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,6,1,closer_to_player1,6,"[0.5, 0.5046666752853441, 0.507140322195839, 0.5130538737708413, 0.470373961803084, 0.5715502193561193]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,6,2,closer_to_player1,12,"[0.5, 0.49647206755677414, 0.4942896895046604, 0.4928229352874341, 0.49245703855420697, 0.489984750203485, 0.4953908507524188, 0.5445495604248297, 0.3725461773018734, 1.0, 1.0, 1.0]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,7,1,closer_to_player2,14,"[0.5, 0.9965935753459731, 0.9999786786518255, 0.9999796898082272, 0.9999998692486011, 0.9999999975544669, 0.9999999987975607, 0.999999999434364, 0.9999999998398812, 0.9999999999986907, 0.9999999999999938, 0.9999999985226192, 0.9999999999929364, 0.9999999999999607]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,7,2,closer_to_player2,8,"[0.5, 0.3771005029494562, 0.00031754499160466606, 0.3574859487206949, 0.995306807212489, 0.9999920784355962, 0.9999999756315052, 0.9999999998715544]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,9,1,equal_to_both,11,"[0.5, 0.5000180341835289, 0.9938414618963045, 0.9938904068900292, 0.9999620758134978, 0.9999625563113589, 0.9999639160161488, 0.9999687955557122, 0.9999999482586527, 0.9999999998261628, 0.9999999999989141]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,9,2,equal_to_both,11,"[0.5, 0.4999999712771894, 0.993849105139542, 0.9938937352631031, 0.9999621019832877, 0.9999995992606698, 0.9999996075701201, 0.9999999957031531, 0.9999999999231288, 0.9999999999973075, 0.9999999999988204]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,10,1,closer_to_player2,9,"[0.5, 0.5034074911846652, 0.9896916910506878, 0.9998226927353978, 0.9998297017030787, 0.9998336874454544, 0.9998353818681909, 0.9999991321361377, 0.9999991369166331]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,10,2,closer_to_player2,9,"[0.5, 0.5045534078301146, 0.9998321492070116, 0.9998986771362196, 0.9999999469029043, 0.9999999999739184, 0.9999999999999835, 1.0, 1.0]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player1,0,11,1,equal_to_both,10,"[0.5, 0.9937950362376098, 0.9938583345310775, 0.9999619082778035, 0.9999995975856923, 0.999999993138119, 0.9999999933798978, 0.9999999998866296, 0.9999999999059175, 0.9999999999127613]"
TwoStageSignalAgent_sigmoidThreshold,session_0_player2,0,11,2,equal_to_both,10,"[0.5, 0.9938485215795737, 0.9999345413340167, 0.9999988834151112, 0.9999989378720086, 0.9999989760569883, 0.999999045276413, 0.9999999917945204, 0.9999999959650789, 0.9999999998820644]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player1,1,0,1,closer_to_player1,11,"[0.5, 0.4090066938218382, 0.543479469193581, 0.9987254329420886, 0.9982437253797016, 0.9976066066101466, 0.9968201742609637, 0.9959741513128775, 0.9999999368436917, 0.9999999457047897, 0.9999999999991627]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player2,1,0,2,closer_to_player1,9,"[0.5, 0.5034030953135519, 0.5058695773269145, 0.507094146917042, 0.5039757052909734, 0.5786903977272774, 0.6369835728565947, 0.5912093373251989, 0.7445220248349279]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player1,1,2,1,equal_to_both,12,"[0.5, 0.9828669665797526, 0.9831940153512386, 0.9833779844921452, 0.983495492834574, 0.9998967031863258, 0.9998976816616215, 0.9998969417060766, 0.9998482000949893, 0.9999998201761618, 0.9999999995783592, 0.9999999999981883]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player2,1,2,2,equal_to_both,12,"[0.5, 0.5120843531296537, 0.5135544165601422, 0.9941618967705926, 0.9942100229100449, 0.9999640352243367, 0.9999996192796644, 0.9999996330157969, 0.9999996578269137, 0.9999999970591541, 0.9999999999442493, 0.999999999983922]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player1,1,3,1,closer_to_player2,11,"[0.5, 0.5034379190182381, 0.5054179253174262, 0.5007325808859232, 0.37807747876775255, 0.07061090769581158, 0.13189736864207324, 0.23307525772284796, 0.3780876884989317, 0.5487881145501549, 0.710212154891735]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player2,1,3,2,closer_to_player2,9,"[0.5, 0.333353400978546, 0.9989507546450124, 0.9999994750308571, 0.9999999992911734, 0.9999999996456262, 0.9999999998228497, 0.9999999999114516, 0.9999999999560562]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player1,1,5,1,closer_to_player2,11,"[0.5, 0.5099251088141249, 0.49682167828715545, 0.5851079726336483, 0.6701644344834788, 0.8001510361106313, 0.5473712569547456, 0.9999970755085786, 0.9999999999771003, 0.9999999999999994, 1.0]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player2,1,5,2,closer_to_player2,5,"[0.5, 0.9982869962162536, 0.9986608315379878, 0.9988500618643154, 0.9999990843078895]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player1,1,6,1,closer_to_player1,9,"[0.5, 0.6232697669664479, 0.9998708491080717, 0.9999998088715252, 0.9999999997876582, 0.9999999999992466, 0.999999999999998, 1.0, 1.0]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player2,1,6,2,closer_to_player1,9,"[0.5, 0.5023663380930822, 0.9896256589218948, 0.9897859726855516, 0.9998928864059771, 0.9999981914362222, 0.9999999529556644, 0.9999999608397944, 0.9999999616593934]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player1,1,7,1,closer_to_player2,9,"[0.5, 0.5035101256895487, 0.5063342604618164, 0.5024019067288144, 0.497263163843737, 0.491449246001062, 0.49780779411938364, 0.5811292669600251, 0.5832233101383414]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player2,1,7,2,closer_to_player2,6,"[0.5, 0.5016195744922924, 0.5087679328687554, 0.4812446704107492, 0.43539269718244555, 0.5450607684866902]"
TwoStageSignalAgent_sigmoidThreshold,session_1_player1,1,8,1,closer_to_player1,7,"[0.5, 0.9999818133612166, 0.9999999980044972, 0.999999999999475, 0.9999999999999999, 1.0, 1.0]"
