condition_scope,condition_label,group,metric,mean_percent,ci95_percent,n
average,Average all 2P3G,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Success Rate (%),94.16666666666667,2.36886735953067,30
average,Average all 2P3G,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Coordination Efficiency (%),89.41538657877258,1.0343468140146954,60
average,Average all 2P3G,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Commitment (%),82.85185185185185,4.185536180876093,30
average,Average all 2P3G,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Signaling Move (%),41.89947089947089,4.597612988110261,60
equal_to_both,Equal-to-Both only,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Success Rate (%),100.0,0.0,30
equal_to_both,Equal-to-Both only,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Coordination Efficiency (%),99.41931782209559,0.47668442729190513,54
equal_to_both,Equal-to-Both only,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Commitment (%),96.29629629629629,7.259259259259259,27
equal_to_both,Equal-to-Both only,"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.325, alpha=7.25)",Signaling Move (%),61.111111111111114,10.611419352250037,54
average,Average all 2P3G,Human-Human,Success Rate (%),100.0,0.0,189
average,Average all 2P3G,Human-Human,Coordination Efficiency (%),81.58244905371343,3.0249800916776026,261
average,Average all 2P3G,Human-Human,Commitment (%),66.19718309859155,5.511363487211303,284
average,Average all 2P3G,Human-Human,Signaling Move (%),51.724137931034484,6.0740875419824745,261
equal_to_both,Equal-to-Both only,Human-Human,Success Rate (%),100.0,0.0,47
equal_to_both,Equal-to-Both only,Human-Human,Coordination Efficiency (%),96.56826624911733,2.1749647206077265,94
equal_to_both,Equal-to-Both only,Human-Human,Commitment (%),85.1063829787234,7.235953291737513,94
equal_to_both,Equal-to-Both only,Human-Human,Signaling Move (%),58.51063829787234,10.01383409099649,94
