condition_scope,condition_label,group,metric,mean_percent,ci95_percent,n
average,Average all 2P3G,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Success Rate (%),92.5,2.1231166998242923,30
average,Average all 2P3G,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Coordination Efficiency (%),88.96995398781114,1.3171641711052207,60
average,Average all 2P3G,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Commitment (%),74.239417989418,4.20722371626515,30
average,Average all 2P3G,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Signaling Move (%),43.978174603174594,4.891602144891524,60
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Success Rate (%),100.0,0.0,30
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Coordination Efficiency (%),98.37159169055721,0.6924050124847175,58
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Commitment (%),73.56321839080461,13.122591380701223,29
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_afterNewGoal
(lambda=0.125, p=0.375)",Signaling Move (%),64.08045977011494,9.259131474920974,58
average,Average all 2P3G,Human-Human,Success Rate (%),100.0,0.0,189
average,Average all 2P3G,Human-Human,Coordination Efficiency (%),81.58244905371343,3.0249800916776026,261
average,Average all 2P3G,Human-Human,Commitment (%),66.19718309859155,5.511363487211303,284
average,Average all 2P3G,Human-Human,Signaling Move (%),51.724137931034484,6.0740875419824745,261
equal_to_both,Equal-to-Both only,Human-Human,Success Rate (%),100.0,0.0,47
equal_to_both,Equal-to-Both only,Human-Human,Coordination Efficiency (%),96.56826624911733,2.1749647206077265,94
equal_to_both,Equal-to-Both only,Human-Human,Commitment (%),85.1063829787234,7.235953291737513,94
equal_to_both,Equal-to-Both only,Human-Human,Signaling Move (%),58.51063829787234,10.01383409099649,94
