condition_scope,condition_label,group,metric,mean_percent,ci95_percent,n
average,Average all 2P3G,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Success Rate (%),86.1111111111111,2.8595623156117354,30
average,Average all 2P3G,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Coordination Efficiency (%),90.23135989891942,1.1286040133143345,60
average,Average all 2P3G,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Commitment (%),80.9325396825397,3.5203340076577723,30
average,Average all 2P3G,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Signaling Move (%),44.26256613756613,4.593164671543355,60
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Success Rate (%),98.88888888888889,2.177777777777778,30
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Coordination Efficiency (%),99.00809375809378,0.5598148772351454,60
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Commitment (%),86.94444444444443,8.849063321549643,30
equal_to_both,Equal-to-Both only,"sampleJointGoalAndSignal_fromStart
(lambda=0.2, p=0.4375)",Signaling Move (%),60.555555555555564,8.030496903612939,60
average,Average all 2P3G,Human-Human,Success Rate (%),100.0,0.0,189
average,Average all 2P3G,Human-Human,Coordination Efficiency (%),81.58244905371343,3.0249800916776026,261
average,Average all 2P3G,Human-Human,Commitment (%),66.19718309859155,5.511363487211303,284
average,Average all 2P3G,Human-Human,Signaling Move (%),51.724137931034484,6.0740875419824745,261
equal_to_both,Equal-to-Both only,Human-Human,Success Rate (%),100.0,0.0,47
equal_to_both,Equal-to-Both only,Human-Human,Coordination Efficiency (%),96.56826624911733,2.1749647206077265,94
equal_to_both,Equal-to-Both only,Human-Human,Commitment (%),85.1063829787234,7.235953291737513,94
equal_to_both,Equal-to-Both only,Human-Human,Signaling Move (%),58.51063829787234,10.01383409099649,94
