condition_scope,condition_label,group,metric,mean_percent,ci95_percent,n
average,Average all 2P3G,"sampleJointGoal_fromStart
(lambda=0.150)",Success Rate (%),93.88888888888889,2.3406526326434522,30
average,Average all 2P3G,"sampleJointGoal_fromStart
(lambda=0.150)",Coordination Efficiency (%),89.034775993245,1.261787386220904,60
average,Average all 2P3G,"sampleJointGoal_fromStart
(lambda=0.150)",Commitment (%),78.53505291005291,4.111466339657324,30
average,Average all 2P3G,"sampleJointGoal_fromStart
(lambda=0.150)",Signaling Move (%),36.132936507936506,4.887580838715267,60
equal_to_both,Equal-to-Both only,"sampleJointGoal_fromStart
(lambda=0.150)",Success Rate (%),100.0,0.0,30
equal_to_both,Equal-to-Both only,"sampleJointGoal_fromStart
(lambda=0.150)",Coordination Efficiency (%),98.62667001208668,1.024713108046946,60
equal_to_both,Equal-to-Both only,"sampleJointGoal_fromStart
(lambda=0.150)",Commitment (%),85.55555555555556,8.540474342848377,30
equal_to_both,Equal-to-Both only,"sampleJointGoal_fromStart
(lambda=0.150)",Signaling Move (%),36.94444444444444,8.579484598392442,60
average,Average all 2P3G,Human-Human,Success Rate (%),100.0,0.0,189
average,Average all 2P3G,Human-Human,Coordination Efficiency (%),81.58244905371343,3.0249800916776026,261
average,Average all 2P3G,Human-Human,Commitment (%),66.19718309859155,5.511363487211303,284
average,Average all 2P3G,Human-Human,Signaling Move (%),51.724137931034484,6.0740875419824745,261
equal_to_both,Equal-to-Both only,Human-Human,Success Rate (%),100.0,0.0,47
equal_to_both,Equal-to-Both only,Human-Human,Coordination Efficiency (%),96.56826624911733,2.1749647206077265,94
equal_to_both,Equal-to-Both only,Human-Human,Commitment (%),85.1063829787234,7.235953291737513,94
equal_to_both,Equal-to-Both only,Human-Human,Signaling Move (%),58.51063829787234,10.01383409099649,94
