lambda,alpha,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,fit_stage,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent
0.0,0.0,223.50483536577877,197.97897338457645,421.48380875035525,0.6470657276995304,0.3357259009497207,0.42777777777777776,0.3558282208588957,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0_sessions_0_to_29.json.zst,available_raw,95.0,75.18518236260049,64.0376984126984,33.42261904761904,97.77777777777777,86.41930248854268,39.44444444444445,34.72222222222222
0.0,0.5,233.6653326498402,190.59926254600458,424.2645951958448,0.5525821596244131,0.37281654563601824,0.3111111111111111,0.44805194805194803,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_0p5_sessions_0_to_29.json.zst,available_raw,93.61111111111111,63.43918007322531,52.78439153439154,36.709656084656075,91.11111111111111,71.18818692841685,25.27777777777778,45.83333333333333
0.0,1.0,249.44215001685683,206.92581431884088,456.3679643356977,0.4582159624413145,0.3182038498822877,0.23333333333333334,0.4819277108433735,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_1_sessions_0_to_29.json.zst,available_raw,90.27777777777779,61.08198068694374,44.54365079365079,30.6547619047619,93.33333333333333,75.43413049404327,23.055555555555554,48.333333333333336
0.0,2.0,259.2588940124177,203.11253743415796,462.3714314465757,0.42464788732394365,0.3354288623066339,0.20555555555555555,0.5061728395061729,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_2_sessions_0_to_29.json.zst,available_raw,88.61111111111111,60.4974703289838,41.63029100529101,32.12632275132275,91.11111111111111,71.3434704841613,16.944444444444446,49.99999999999999
0.0,3.0,248.402547652682,195.0691135438533,443.47166119653525,0.447300469483568,0.3690284675106666,0.2388888888888889,0.5294117647058824,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_3_sessions_0_to_29.json.zst,available_raw,91.66666666666666,59.95845300120329,44.35515873015872,36.08465608465608,91.11111111111111,70.42036090801699,21.944444444444443,51.388888888888886
0.0,5.0,272.2564113785945,200.86571736412466,473.12212874271916,0.432433489827856,0.3465293449013012,0.17222222222222222,0.5029940119760479,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_5_sessions_0_to_29.json.zst,available_raw,88.88888888888889,60.406494796024255,43.09854497354497,33.73015873015873,90.0,71.69926503113686,15.833333333333332,50.55555555555556
0.0,8.0,265.85235472976143,193.87913130050794,459.73148603026937,0.41764475743348983,0.36046837221554673,0.18888888888888888,0.4759036144578313,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0_alpha_8_sessions_0_to_29.json.zst,available_raw,87.5,59.0030810453013,41.23015873015873,35.55224867724867,90.0,66.16719660253821,17.5,48.05555555555555
0.05,0.0,204.91576843129025,192.62209702212348,397.5378654534137,0.7022691705790298,0.3608121117581952,0.5833333333333334,0.40963855421686746,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0_sessions_0_to_29.json.zst,available_raw,93.33333333333333,79.98250008297067,70.47949735449735,35.79034391534392,98.88888888888889,88.688541182195,57.22222222222222,40.0
0.05,0.5,233.14291268223903,191.37059982072412,424.5135125029632,0.6135367762128324,0.38026462162388386,0.3611111111111111,0.49696969696969695,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_0p5_sessions_0_to_29.json.zst,available_raw,93.33333333333333,71.77176869295077,60.916005291005284,37.6521164021164,96.66666666666667,83.2437819915245,35.0,51.388888888888886
0.05,1.0,215.00587241743656,197.20002718639702,412.2058996038336,0.591471048513302,0.35163036016361887,0.4111111111111111,0.47058823529411764,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_1_sessions_0_to_29.json.zst,available_raw,92.22222222222223,71.19568627986797,58.766534391534385,34.59656084656084,94.44444444444444,81.20682728218456,40.555555555555564,47.22222222222222
0.05,2.0,237.79970371406228,192.96732853744214,430.7670322515044,0.5359154929577464,0.3694786679951075,0.28888888888888886,0.5,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_2_sessions_0_to_29.json.zst,available_raw,93.05555555555556,71.04857100045729,53.75,36.23677248677248,94.44444444444444,81.84519069619354,28.05555555555556,50.55555555555554
0.05,3.0,223.46538461650772,195.95774403061512,419.42312864712284,0.5394366197183098,0.3630589161018631,0.34444444444444444,0.4911242603550296,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_3_sessions_0_to_29.json.zst,available_raw,91.94444444444444,69.69802190292698,54.19642857142857,35.770502645502646,95.55555555555556,79.17271888984153,33.33333333333333,49.44444444444444
0.05,5.0,220.8883835829174,196.681719980205,417.5701035631224,0.536189358372457,0.3494665973178226,0.3611111111111111,0.4619883040935672,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_5_sessions_0_to_29.json.zst,available_raw,91.94444444444444,67.53170925391336,53.92526455026455,34.47089947089947,91.11111111111111,74.37253172802235,35.55555555555555,46.388888888888886
0.05,8.0,225.90439358808243,190.2773875666152,416.18178115469766,0.5210876369327074,0.4083754183392158,0.3277777777777778,0.563953488372093,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p05_alpha_8_sessions_0_to_29.json.zst,available_raw,91.94444444444444,68.93186740571316,52.36772486772486,40.00330687830687,96.66666666666667,74.8499402422001,31.66666666666666,55.833333333333336
0.1,0.0,201.30013173577018,189.92305010270047,391.2231818384706,0.7705790297339593,0.3820275470096545,0.7277777777777777,0.41139240506329117,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0_sessions_0_to_29.json.zst,available_raw,94.72222222222221,83.45065148134708,77.43055555555554,38.11838624338624,100.0,92.97304932721599,72.5,40.83333333333333
0.1,0.5,214.44027464527608,187.59682673055232,402.0371013758284,0.6856025039123631,0.3931663141082821,0.5166666666666667,0.45454545454545453,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p5_sessions_0_to_29.json.zst,available_raw,95.55555555555556,79.27880654593383,68.32010582010582,39.20965608465608,98.88888888888889,87.03957293089134,48.61111111111112,45.27777777777777
0.1,1.0,215.6320916132991,199.2293479089971,414.8614395222962,0.6836854460093896,0.3431662690178463,0.5111111111111111,0.4764705882352941,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_1_sessions_0_to_29.json.zst,available_raw,93.05555555555556,78.4869852744161,68.35317460317462,33.51190476190476,95.55555555555556,85.89900746589343,50.0,47.22222222222222
0.1,2.0,209.54258202693256,197.9321188508797,407.47470087781227,0.6525039123630674,0.3469334098886512,0.49444444444444446,0.4879518072289157,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/signal_agent/from_start_rsa_unshaped_jointrl_lambda_alpha_fit/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_2_sessions_0_to_29.json.zst,available_raw,92.77777777777779,78.51833877324484,65.26455026455025,34.163359788359784,94.44444444444444,87.15519306115283,46.94444444444444,49.44444444444444
