group,metric,mean_percent,ci95_percent,n,condition_scope
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Success Rate (%),93.33333333333333,2.5803677529835887,360,average
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Coordination Efficiency (%),89.39990562166561,0.8592131452907457,60,average
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Commitment (%),70.40343915343914,3.6858618825591596,60,average
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Signaling Move (%),42.14285714285714,4.196411884810872,60,average
Human-Human,Success Rate (%),100.0,0.0,189,average
Human-Human,Coordination Efficiency (%),81.57604663510541,3.0088168401228863,32,average
Human-Human,Commitment (%),64.97395833333334,10.970724409578962,32,average
Human-Human,Signaling Move (%),52.5297619047619,7.596550149484699,32,average
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Success Rate (%),97.77777777777777,3.062491503664175,90,equal_to_both
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Coordination Efficiency (%),99.56857031857031,0.36662207366843463,60,equal_to_both
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Commitment (%),80.0,6.00438843489387,60,equal_to_both
"sampleJointGoalAndRSASignal_fromStart (shared-agency model)
(lambda=0.65, alpha=4.25)",Signaling Move (%),53.05555555555556,7.426923615611799,60,equal_to_both
Human-Human,Success Rate (%),100.0,0.0,47,equal_to_both
Human-Human,Coordination Efficiency (%),96.6397607022607,1.9427338715409046,32,equal_to_both
Human-Human,Commitment (%),84.375,10.155508485475568,32,equal_to_both
Human-Human,Signaling Move (%),59.375,12.697364383051536,32,equal_to_both
