fold,model,eta,lambda,n_params,train_negative_log_likelihood,test_negative_log_likelihood,train_actions,test_actions
0,"no signaling, lambda=.2",0.0,0.2,0,197.79860696431027,62.4740672222296,212,70
0,costly legibility utility,0.0,0.2,1,197.79860696431027,62.4740672222296,212,70
0,constant RSA alpha=1,1.0,0.2,0,214.6375858321678,64.6306809691515,212,70
0,trial-level best lambda=.15 alpha=.5,0.5,0.15,0,207.98921071237982,64.06242860987338,212,70
1,"no signaling, lambda=.2",0.0,0.2,0,204.85047963472357,55.422194551816226,228,54
1,costly legibility utility,0.0,0.2,1,204.85047963472357,55.422194551816226,228,54
1,constant RSA alpha=1,1.0,0.2,0,221.96789246474253,57.300374336576475,228,54
1,trial-level best lambda=.15 alpha=.5,0.5,0.15,0,215.34442967258755,56.70720964966565,228,54
2,"no signaling, lambda=.2",0.0,0.2,0,214.27542972537518,45.99724446116475,230,52
2,costly legibility utility,0.0,0.2,1,214.27542972537518,45.99724446116475,230,52
2,constant RSA alpha=1,1.0,0.2,0,228.44497102047458,50.82329578084457,230,52
2,trial-level best lambda=.15 alpha=.5,0.5,0.15,0,223.21062671363225,48.84101260862097,230,52
3,"no signaling, lambda=.2",0.0,0.2,0,204.46541941735393,55.807254769185995,230,52
3,costly legibility utility,0.0,0.2,1,204.46541941735393,55.807254769185995,230,52
3,constant RSA alpha=1,1.0,0.2,0,217.5689222647758,61.69934453654334,230,52
3,trial-level best lambda=.15 alpha=.5,0.5,0.15,0,212.66476008531583,59.386879236937396,230,52
4,"no signaling, lambda=.2",0.0,0.2,0,219.70076100439684,40.57191318214308,228,54
4,costly legibility utility,0.0,0.2,1,219.70076100439684,40.57191318214308,228,54
4,constant RSA alpha=1,1.0,0.2,0,234.45369562311566,44.814571178203444,228,54
4,trial-level best lambda=.15 alpha=.5,0.5,0.15,0,228.99753010509744,43.05410921715575,228,54
