eta,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_posterior_lift,fit_stage
0.0,0.2,260.27267418654003,0.7117353321659678,0.769835861428342,0.4758690796367105,coarse
0.0125,0.2,260.4831325846181,0.7129874740578711,0.7706998334659168,0.4779435084688635,refine
0.025,0.2,260.6933829546905,0.7142327594383445,0.7715566195808262,0.4799700298165744,refine
0.0375,0.2,260.90359702361985,0.715471487572144,0.7724066062666731,0.48195177007579487,refine
0.05,0.2,261.1139296464748,0.7167039267042916,0.7732501457460869,0.4838916084612841,coarse
0.1,0.2,261.959020785243,0.7215752055629653,0.7765658122448963,0.4912819291402889,coarse
0.2,0.2,263.68541727918307,0.731067449662524,0.7829608660515137,0.5046865875742123,coarse
0.4,0.2,267.3415755562118,0.7491412366219754,0.7949847634206637,0.5279848923835823,coarse
0.8,0.2,275.2546002812571,0.7812959664044266,0.8160181464579754,0.5661411299778695,coarse
1.2,0.2,283.17833933790325,0.8072985367696403,0.8325778262388586,0.5952076169340833,coarse
1.6,0.2,290.4612574966298,0.8272714055967548,0.8448414763414398,0.6162567332493962,coarse
2.0,0.2,296.9317041448642,0.8422526738276795,0.853628418551462,0.6309824555058239,coarse
3.0,0.2,310.4088906529199,0.8654322394919401,0.8660463943507831,0.6509086940889779,coarse
5.0,0.2,332.93855134893425,0.8852015847331622,0.8747060819097097,0.663514648956639,coarse
8.0,0.2,366.9804512480747,0.895310117475651,0.8783068699388376,0.668191367700793,coarse
12.0,0.2,415.8793000596681,0.898838164040962,0.8794760281441597,0.6696479938088667,coarse
16.0,0.2,465.9341404291995,0.8995579123364799,0.8797101404247207,0.6699375532979763,coarse
24.0,0.2,559.4267659115243,0.8997370673007102,0.8797666000043233,0.6700072225327517,coarse
32.0,0.2,637.5988461464881,0.8997489542522973,0.8797689859476052,0.6700101500217324,coarse
