eta,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_posterior_lift,fit_stage
0.0,0.2,437.4377522635165,0.7429764933754364,0.881814832165695,0.3280413470602755,coarse
0.0125,0.2,437.9453408928476,0.7439608846203671,0.8823085867288446,0.33257887066978414,refine
0.025,0.2,438.46465554437447,0.7449414782413547,0.8828002261793643,0.337084402035836,refine
0.0375,0.2,438.99485092038276,0.7459168082839736,0.8832892628844292,0.34155156044258644,refine
0.05,0.2,439.5350150153275,0.7468854155780985,0.8837752055912869,0.3459738429767318,coarse
0.1,0.2,441.77532848703146,0.7506645733378396,0.8856783860583303,0.36308586803356796,coarse
0.2,0.2,446.4148530705277,0.7575244399776591,0.8892024518957904,0.3934163976308417,coarse
0.4,0.2,454.7443247216684,0.7675877301874179,0.8947375196582685,0.43483267907887563,coarse
0.8,0.2,464.6099063403952,0.7771930570501993,0.9007747473920112,0.46611590284325294,coarse
1.2,0.2,469.7046305844479,0.7813556090526305,0.9035328333164905,0.4746151776923795,coarse
1.6,0.2,473.4508036585772,0.7838030867652811,0.9050346881731343,0.4779555134789678,coarse
2.0,0.2,476.78880523544774,0.7854951851193075,0.9059723438836474,0.47970437849659187,coarse
3.0,0.2,484.5504069361287,0.7881671619648163,0.9072498239603406,0.48178508088114125,coarse
5.0,0.2,498.86392834362016,0.790784021000504,0.9082159078182582,0.4831750600293892,coarse
8.0,0.2,518.8207676795939,0.7924964425980753,0.9086602956868431,0.48375782525739164,coarse
12.0,0.2,545.0113002277517,0.7935632733757289,0.9088421971969342,0.48398001791581585,coarse
16.0,0.2,571.3015914285114,0.7941877495152248,0.9089109882241617,0.48405865158299355,coarse
24.0,0.2,620.4241935109511,0.7949824382448374,0.9089671329432387,0.48411964668003027,coarse
32.0,0.2,660.37581595063,0.7955210471144262,0.9089896575273072,0.4841434861746358,coarse
