fold,model,rho,lambda,n_params,train_negative_log_likelihood,test_negative_log_likelihood,train_actions,test_actions
0,"no signaling, lambda=.2",0.0,0.2,0,380.8410105571852,56.59674170633151,536,152
0,communicative action mixture rho fit,0.1,0.2,1,379.7550197455699,56.694154966823376,536,152
0,trial-level rho=0.5,0.5,0.2,0,395.13073837624904,58.85960956089257,536,152
1,"no signaling, lambda=.2",0.0,0.2,0,317.31069767825187,120.1270545852654,554,134
1,communicative action mixture rho fit,0.075,0.2,1,316.944528634179,119.56956259920118,554,134
1,trial-level rho=0.5,0.5,0.2,0,329.11279034064273,124.8775575964988,554,134
2,"no signaling, lambda=.2",0.0,0.2,0,344.85338945122794,92.58436281228887,558,130
2,communicative action mixture rho fit,0.175,0.2,1,342.24004955884914,94.7501168242017,558,130
2,trial-level rho=0.5,0.5,0.2,0,352.3366919287399,101.65365600840161,558,130
3,"no signaling, lambda=.2",0.0,0.2,0,351.8690862748514,85.56866598866544,538,150
3,communicative action mixture rho fit,0.05,0.2,1,351.6542290474337,85.04622182289766,538,150
3,trial-level rho=0.5,0.5,0.2,0,368.29798148542807,85.69236645171388,538,150
4,"no signaling, lambda=.2",0.0,0.2,0,354.87682509255137,82.56092717096581,566,122
4,communicative action mixture rho fit,0.075,0.2,1,354.4568034590113,82.05728777436936,566,122
4,trial-level rho=0.5,0.5,0.2,0,371.0831896175071,82.90715831963468,566,122
