fold,model,rho,lambda,n_params,train_negative_log_likelihood,test_negative_log_likelihood,train_actions,test_actions
0,"no signaling, lambda=.2",0.0,0.2,0,141.91552213253678,31.079895040782816,196,58
0,communicative action mixture rho fit,0.05,0.2,1,141.83706122179814,31.108859514117118,196,58
0,trial-level rho=0.5,0.5,0.2,0,150.28106390006067,31.86255469339846,196,58
1,"no signaling, lambda=.2",0.0,0.2,0,121.01260036213627,51.98281681118321,202,52
1,communicative action mixture rho fit,0.075,0.2,1,120.89491421713856,52.09899360282348,202,52
1,trial-level rho=0.5,0.5,0.2,0,125.98351736132255,56.160101232136626,202,52
2,"no signaling, lambda=.2",0.0,0.2,0,142.36013900631573,30.635278167003875,208,46
2,communicative action mixture rho fit,0.075,0.2,1,142.2045494109442,30.789358409017844,208,46
2,trial-level rho=0.5,0.5,0.2,0,148.92790043614988,33.21571815730936,208,46
3,"no signaling, lambda=.2",0.0,0.2,0,145.47217897440734,27.523238198912242,202,52
3,communicative action mixture rho fit,0.0,0.2,1,145.47217897440734,27.523238198912242,202,52
3,trial-level rho=0.5,0.5,0.2,0,153.59565471541225,28.54796387804699,202,52
4,"no signaling, lambda=.2",0.0,0.2,0,141.22122821788213,31.774188955437406,208,46
4,communicative action mixture rho fit,0.0125,0.2,1,141.21851863214178,31.746308497860603,208,46
4,trial-level rho=0.5,0.5,0.2,0,149.78633796089147,32.3572806325677,208,46
