variant,eta,lambda,negative_log_likelihood,fit_stage
posterior_lift,0.0,0.2,437.4377522635165,coarse
posterior_lift,0.0125,0.2,437.5309783115203,refine
posterior_lift,0.025,0.2,437.6243035202696,refine
posterior_lift,0.0375,0.2,437.7177331016835,refine
posterior_lift,0.05,0.2,437.8112719830475,coarse
posterior_lift,0.1,0.2,438.1866093877747,coarse
posterior_lift,0.2,0.2,438.94369402025956,coarse
posterior_lift,0.4,0.2,440.487025108885,coarse
posterior_lift,0.8,0.2,443.68655326486993,coarse
posterior_lift,1.2,0.2,446.9810436758884,coarse
posterior_lift,1.6,0.2,450.2804405400961,coarse
posterior_lift,2.0,0.2,453.50800113815535,coarse
posterior_lift,3.0,0.2,461.0200714843322,coarse
posterior_lift,5.0,0.2,473.7280316230879,coarse
posterior_lift,8.0,0.2,489.2610134119311,coarse
posterior_lift,12.0,0.2,507.3497533049597,coarse
posterior_lift,16.0,0.2,524.7376814943939,coarse
posterior_lift,24.0,0.2,558.9989572703415,coarse
posterior_lift,32.0,0.2,592.2829130932491,coarse
entropy_reduction,0.0,0.2,437.4377522635165,coarse
entropy_reduction,0.0125,0.2,437.46269374546176,refine
entropy_reduction,0.025,0.2,437.4877773451695,refine
entropy_reduction,0.0375,0.2,437.51300297247303,refine
entropy_reduction,0.05,0.2,437.5383705350456,coarse
entropy_reduction,0.1,0.2,437.6412582163887,coarse
entropy_reduction,0.2,0.2,437.8538157167591,coarse
entropy_reduction,0.4,0.2,438.3058468576275,coarse
entropy_reduction,0.8,0.2,439.31545631922296,coarse
entropy_reduction,1.2,0.2,440.460723237734,coarse
entropy_reduction,1.6,0.2,441.73423262718035,coarse
entropy_reduction,2.0,0.2,443.12737043306095,coarse
entropy_reduction,3.0,0.2,447.0697680859459,coarse
entropy_reduction,5.0,0.2,456.3820552770272,coarse
entropy_reduction,8.0,0.2,472.2326008627512,coarse
entropy_reduction,12.0,0.2,496.0656137668377,coarse
entropy_reduction,16.0,0.2,522.4143921661971,coarse
entropy_reduction,24.0,0.2,584.7676858341413,coarse
entropy_reduction,32.0,0.2,656.0576649170273,coarse
