variant,eta,lambda,negative_log_likelihood,fit_stage
posterior_lift,0.0,0.2,172.99541717331968,coarse
posterior_lift,0.0125,0.2,173.05598934606647,refine
posterior_lift,0.025,0.2,173.1165641993639,refine
posterior_lift,0.0375,0.2,173.17714637868855,refine
posterior_lift,0.05,0.2,173.23774030585605,coarse
posterior_lift,0.1,0.2,173.48031432989958,coarse
posterior_lift,0.2,0.2,173.96710761173543,coarse
posterior_lift,0.4,0.2,174.9510354786391,coarse
posterior_lift,0.8,0.2,176.96535297941637,coarse
posterior_lift,1.2,0.2,179.0125948502554,coarse
posterior_lift,1.6,0.2,181.03702883445487,coarse
posterior_lift,2.0,0.2,182.99076050608858,coarse
posterior_lift,3.0,0.2,187.4369226783025,coarse
posterior_lift,5.0,0.2,194.74415962242207,coarse
posterior_lift,8.0,0.2,203.49468523339698,coarse
posterior_lift,12.0,0.2,213.54575343946019,coarse
posterior_lift,16.0,0.2,223.21337091079033,coarse
posterior_lift,24.0,0.2,242.26006854593194,coarse
posterior_lift,32.0,0.2,260.58243396510767,coarse
entropy_reduction,0.0,0.2,172.99541717331968,coarse
entropy_reduction,0.0125,0.2,173.01393314163084,refine
entropy_reduction,0.025,0.2,173.03253246653648,refine
entropy_reduction,0.0375,0.2,173.05121507741725,refine
entropy_reduction,0.05,0.2,173.06998090203393,coarse
entropy_reduction,0.1,0.2,173.1458748368068,coarse
entropy_reduction,0.2,0.2,173.30163299554403,coarse
entropy_reduction,0.4,0.2,173.6288660992043,coarse
entropy_reduction,0.8,0.2,174.34458049635302,coarse
entropy_reduction,1.2,0.2,175.13814534722525,coarse
entropy_reduction,1.6,0.2,176.00409787441131,coarse
entropy_reduction,2.0,0.2,176.9362265078855,coarse
entropy_reduction,3.0,0.2,179.5111618183685,coarse
entropy_reduction,5.0,0.2,185.34188647856365,coarse
entropy_reduction,8.0,0.2,194.82718746318665,coarse
entropy_reduction,12.0,0.2,209.36672996023933,coarse
entropy_reduction,16.0,0.2,226.21131147751458,coarse
entropy_reduction,24.0,0.2,268.533890078805,coarse
entropy_reduction,32.0,0.2,318.1314337596973,coarse
