lambda,eta,fit_stage,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,summary_path,trials_path,command,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,average_btom_step1_percent,equal_btom_step1_percent
0.2,0.0,sweep,184.58565412445094,195.9684770227625,380.5541311472134,0.7756651017214398,0.3448031452575491,0.8777777777777778,0.42857142857142855,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.0 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,91.38888888888889,88.3888189068118,78.68716931216932,33.64087301587302,98.88888888888889,98.38193288193288,94.44444444444444,43.888888888888886,64.85944282988008,69.9650138481724
0.2,0.005,sweep,182.53319538613476,196.69956568916365,379.2327610752984,0.7698356807511737,0.34293582375478926,0.9,0.4375,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p005_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p005_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p005_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.005 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,91.38888888888889,88.69083939514181,78.36309523809523,33.432539682539684,100.0,98.39119214119214,96.66666666666667,44.44444444444445,64.49427732058646,70.11733762561856
0.2,0.01,sweep,181.6697247626957,193.31356625132577,374.98329101402146,0.7623239436619719,0.36179375101181804,0.8833333333333333,0.45774647887323944,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p01_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p01_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p01_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.01 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,91.38888888888889,88.21659754805333,77.87037037037035,35.32407407407408,100.0,97.98881673881672,95.0,46.111111111111114,65.16555079970902,70.85229742841491
0.2,0.0125,sweep,181.34059622497907,192.06917415186803,373.40977037684706,0.7623630672926447,0.37374511036144276,0.8888888888888888,0.4714285714285714,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p0125_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p0125_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p0125_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.0125 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,91.66666666666666,88.42872795512423,77.66203703703704,36.71626984126984,100.0,98.30013505013504,96.1111111111111,48.61111111111111,66.05601239419741,72.34388900694739
0.2,0.02,sweep,180.267617722004,192.26808291579158,372.53570063779557,0.756885758998435,0.3786671864684941,0.8833333333333333,0.5217391304347826,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p02_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p02_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p02_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.02 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,92.22222222222223,88.47761783838911,77.48015873015873,36.20701058201058,100.0,98.09047434047433,97.5,51.94444444444445,65.91946682304592,73.70910633676145
0.2,0.025,sweep,184.50719852070716,188.90896788250507,373.41616640321223,0.7736697965571205,0.4013243015384102,0.8666666666666667,0.5514705882352942,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p025_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p025_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p025_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.025 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,92.5,88.10004399578548,78.78637566137567,38.39616402116402,100.0,98.38951943118609,95.27777777777779,56.66666666666666,67.18532446552229,76.50085992066789
0.2,0.03,sweep,181.68062559129976,193.14291611619356,374.8235417074933,0.764358372456964,0.3825336654166142,0.8833333333333333,0.5507246376811594,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p03_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p03_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p03_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.03 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,91.38888888888889,88.48616755770271,78.1679894179894,36.48478835978836,100.0,98.45180899347565,96.94444444444444,56.111111111111114,66.22000046056164,76.21448787580562
0.2,0.04,sweep,182.55760795415057,189.40887760259534,371.9664855567459,0.7609154929577464,0.38752137366008144,0.8555555555555555,0.5072463768115942,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p04_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p04_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p04_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.04 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,93.61111111111111,87.64133774608369,77.26521164021165,37.08664021164021,100.0,97.23457524683015,92.5,50.27777777777778,65.92699106448627,71.49966097773182
0.2,0.05,sweep,178.98062894399163,188.3983007346041,367.37892967859574,0.7495305164319249,0.39306700847268616,0.8833333333333333,0.5074626865671642,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p05_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p05_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p05_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.05 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,91.66666666666666,87.84919152775865,75.53571428571429,37.47023809523809,98.88888888888889,97.63713410772235,95.0,49.722222222222214,65.58810349500027,71.46146155887027
0.2,0.075,sweep,174.89770703720419,194.49795026216293,369.39565729936714,0.7140453834115806,0.36717172705006923,0.8666666666666667,0.5,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p2_alpha_0p075_score_logodds_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p2_alpha_0p075_score_logodds_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p2_alpha_0p075_score_logodds_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.2 --alpha 0.075 --beta 3.0 --score logodds --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/shared_agency_log_odds_eta_sweep/simulations/log_odds_eta_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/shared_agency_log_odds_eta_sweep/log_odds_eta_sweep,89.44444444444444,88.1102187070762,72.4867724867725,35.16865079365079,100.0,97.61019227685892,93.33333333333333,49.722222222222214,64.70603208243335,71.6516153487906
