eta,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_mean_log_odds,fit_stage
0.0,0.2,172.99541717331968,0.7342215611075029,0.8346094489116069,8.874028897202773,coarse
0.00625,0.2,172.95151696194768,0.7375093865493597,0.8353623805192347,8.894571852902743,refine
0.01,0.2,172.93834887095372,0.7394764330071496,0.8358126691688582,8.906835184246296,coarse
0.0125,0.2,172.9350408778733,0.7407852400327166,0.8361122057796934,8.914984045704943,refine
0.01875,0.2,172.94585010461208,0.7440475826656167,0.8368585976583545,8.935260243239004,refine
0.025,0.2,172.98378669556493,0.7472948459843737,0.8376012212420828,8.955394766922417,coarse
0.05,0.2,173.4029892316993,0.7601011759610397,0.840527169709248,9.034390744786485,coarse
0.1,0.2,175.47269346387625,0.7845097480329271,0.8460943528658957,9.183563124239965,coarse
0.2,0.2,183.91069007989398,0.8262259059340278,0.8555909108498988,9.435866420617709,coarse
0.4,0.2,212.12905316568077,0.876380985092661,0.8669942268958116,9.736607281538776,coarse
0.8,0.2,283.60516988310866,0.902033033195582,0.8728077984668444,9.888490990438312,coarse
1.2,0.2,355.40565278238,0.9048815529934989,0.8734226804557355,9.903770309103196,coarse
1.6,0.2,419.0639575156194,0.9054126892931292,0.8735105442572679,9.905360751990447,coarse
2.0,0.2,471.16812411761623,0.9056941820439282,0.8735454793769939,9.905665308741987,coarse
3.0,0.2,572.7138691161581,0.906179139612259,0.8736015981638597,9.906004202179444,coarse
5.0,0.2,702.5337897859588,0.9066321663298561,0.8736523769685245,9.906298546243736,coarse
8.0,0.2,728.9787317786917,0.9068142429448454,0.8736690847316562,9.906394846922435,coarse
12.0,0.2,752.0047304074866,0.9068912327114239,0.8736714145829158,9.906408579529232,coarse
16.0,0.2,774.9728783283776,0.9069500593238189,0.8736715660792806,9.906409847901102,coarse
