group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
Shared agency no signaling,session_0_player1,0.0,1,1,closer_to_player1,7,"[0.5, 0.4940776807566307, 0.5367359871856892, 0.6077610730591092, 1.0, 1.0, 1.0]"
Shared agency no signaling,session_0_player2,0.0,1,2,closer_to_player1,9,"[0.5, 0.5038649626725829, 0.5058347432439424, 0.5010466743651489, 0.5846517937329585, 0.6559606885227923, 0.5788606174476209, 0.7333170248150067, 0.8470305654076322]"
Shared agency no signaling,session_0_player1,0.0,4,1,closer_to_player2,12,"[0.5, 0.4965620809217263, 0.49409835223547316, 0.49263706552011893, 0.4923025627011326, 0.48989705299392555, 0.4957202261621726, 0.4540266130543534, 0.5297560744713651, 1.0, 1.0, 1.0]"
Shared agency no signaling,session_0_player2,0.0,4,2,closer_to_player2,9,"[0.5, 0.3333535653147236, 0.9989507550740352, 0.9985697581779469, 0.9999997400007103, 0.9999998044578355, 0.9999999999644683, 0.9999999999822395, 0.999999999991186]"
Shared agency no signaling,session_0_player1,0.0,5,1,closer_to_player1,11,"[0.5, 0.5031807622698149, 0.6086774631200413, 0.9999573119233011, 0.7988954092433388, 0.9999613671809231, 0.9999999929840347, 0.9999999999962652, 0.9999999999999986, 1.0, 1.0]"
Shared agency no signaling,session_0_player2,0.0,5,2,closer_to_player1,9,"[0.5, 0.9832163564923067, 0.983635201497411, 0.9997168140570846, 0.9997280109686171, 0.9997343761614397, 0.9999971990128326, 0.9999976180474367, 0.9999976311682722]"
Shared agency no signaling,session_0_player1,0.0,7,1,closer_to_player2,9,"[0.5, 0.9312313354050099, 0.9127965210288421, 0.9972313864107607, 0.999783091875328, 0.9998781898909913, 0.9999298008677923, 0.9999586120167105, 0.9999751533318725]"
Shared agency no signaling,session_0_player2,0.0,7,2,closer_to_player2,9,"[0.5, 0.9996594493152262, 0.9996697797456152, 0.9999998836316643, 0.9999999998435425, 0.9999999999243776, 0.9999999999782125, 0.9999999999999835, 1.0]"
Shared agency no signaling,session_0_player1,0.0,9,1,equal_to_both,9,"[0.5, 0.9966414532459384, 0.999979209622379, 0.999999780122912, 0.9999997847107631, 0.9999999976426892, 0.9999999978110071, 0.9999999985002701, 0.9999999999906319]"
Shared agency no signaling,session_0_player2,0.0,9,2,equal_to_both,11,"[0.5, 0.0033583900385424355, 0.663161769040391, 0.6631621682002835, 0.9991365243932733, 0.999152297267565, 0.9999985595332428, 0.9999987543290497, 0.9999999979345645, 0.9999999999930607, 0.9999999999999567]"
Shared agency no signaling,session_0_player1,0.0,10,1,closer_to_player2,9,"[0.5, 0.9832244774200406, 0.9836258223967759, 0.9838803328250819, 0.9998299716235385, 0.9999971291409453, 0.99999720278024, 0.9999999592364485, 0.9999999601019238]"
Shared agency no signaling,session_0_player2,0.0,10,2,closer_to_player2,9,"[0.5, 0.999540327732719, 0.9997343945243485, 0.9999998411833664, 0.9999999994008336, 0.9999999999985915, 0.9999999999999933, 0.9999999999999999, 1.0]"
Shared agency no signaling,session_0_player1,0.0,11,1,equal_to_both,10,"[0.5, 0.498478178903624, 0.9966234923223243, 0.9966360567174889, 0.9999889000488315, 0.9999999325766199, 0.9999999992920724, 0.9999999999878766, 0.9999999999899392, 0.9999999999998065]"
Shared agency no signaling,session_0_player2,0.0,11,2,equal_to_both,10,"[0.5, 0.5000169361781833, 0.9966364778301753, 0.9966595320275834, 0.9999883382041925, 0.9999889341281716, 0.999999948466344, 0.9999999708440753, 0.999999999831218, 0.9999999999950666]"
Shared agency no signaling,session_1_player1,1.0,0,1,closer_to_player1,11,"[0.5, 0.002405615355417397, 0.0036643808130721266, 0.9582901977751757, 0.9999862390839416, 0.9999999976224507, 0.9999999999990318, 0.9999999999999991, 1.0, 1.0, 1.0]"
Shared agency no signaling,session_1_player2,1.0,0,2,closer_to_player1,11,"[0.5, 0.9832111864272776, 0.9995552527348353, 0.6504892364756486, 0.6562302905959708, 0.6598284749453023, 0.9946746880805724, 0.994727987171357, 0.9928317224224048, 0.99997687512848, 0.9999998722138715]"
Shared agency no signaling,session_1_player1,1.0,2,1,equal_to_both,11,"[0.5, 0.4999140332050559, 0.4998929781485141, 0.9966450092797018, 0.9999792774388707, 0.9999794737486313, 0.9999998753359985, 0.9999998761601987, 0.9999999993782829, 0.9999999993023836, 0.9999999999970026]"
Shared agency no signaling,session_1_player2,1.0,2,2,equal_to_both,11,"[0.5, 0.5014710272260865, 0.5015850437103744, 0.9966570713518417, 0.9966801548323373, 0.9999884103275384, 0.9999999257335955, 0.9999999991730568, 0.9999999994007415, 0.9999999999886396, 0.9999999999967237]"
Shared agency no signaling,session_1_player1,1.0,3,1,closer_to_player2,9,"[0.5, 0.5020230628414107, 0.9899258665608728, 0.9898461533005256, 0.9999225568073352, 0.9999990247543736, 0.9999999801250066, 0.9999999771503434, 0.9999999996980201]"
Shared agency no signaling,session_1_player2,1.0,3,2,closer_to_player2,12,"[0.5, 0.9995485568822671, 0.8626626673472391, 0.9999027150994758, 0.9999998479574109, 0.9999999990192758, 0.9999999999918674, 0.9999999999999595, 0.9999999999999998, 0.9999999999999998, 1.0, 1.0]"
Shared agency no signaling,session_1_player1,1.0,5,1,closer_to_player2,7,"[0.5, 0.00016541000379053844, 0.22137051332866528, 0.15998915214070222, 0.9971343284139645, 0.9999965965440413, 0.9999999920200346]"
Shared agency no signaling,session_1_player2,1.0,5,2,closer_to_player2,7,"[0.5, 0.9997339505522982, 0.9999999772896274, 0.9999999999948026, 0.9999999999999971, 1.0, 1.0]"
Shared agency no signaling,session_1_player1,1.0,6,1,closer_to_player1,9,"[0.5, 0.4992373681710649, 0.9998680833636916, 0.9999999545998988, 0.9999999557012423, 0.9999999999798839, 0.9999999999883749, 0.9999999999999789, 1.0]"
Shared agency no signaling,session_1_player2,1.0,6,2,closer_to_player1,10,"[0.5, 0.5, 0.9814930919376029, 0.9994492090016979, 0.9999640648582699, 0.999986669220573, 0.9999937204501477, 0.9999969435022397, 0.9999984980755168, 0.999999258931039]"
Shared agency no signaling,session_1_player1,1.0,7,1,closer_to_player2,16,"[0.5, 0.49660805877118314, 0.4946574649110065, 0.0058517706105352925, 6.11188623679073e-05, 0.31370454614497917, 0.9992400000443714, 0.9999993778075286, 0.9999993976420397, 0.9999996517477074, 0.9999999997916772, 0.9999999999992258, 0.9999999999999981, 1.0, 1.0, 1.0]"
Shared agency no signaling,session_1_player2,1.0,7,2,closer_to_player2,8,"[0.5, 0.37710050294852127, 0.9985938516190287, 0.9999976343841924, 0.9999999927228798, 0.9981936596167674, 0.9999944333145325, 0.9999999706580085]"
Shared agency no signaling,session_1_player1,1.0,8,1,closer_to_player1,9,"[0.5, 0.999944226547384, 0.9999999901636354, 0.9999999999966269, 0.9999999999999953, 1.0, 1.0, 1.0, 1.0]"
Shared agency no signaling,session_1_player2,1.0,8,2,closer_to_player1,9,"[0.5, 0.0008118519344143017, 0.06797753870393725, 0.8102126345647124, 0.993945647084755, 0.9997676382071748, 0.9999828891183908, 0.9999920392244033, 0.9999962210987462]"
Shared agency no signaling,session_1_player1,1.0,9,1,equal_to_both,9,"[0.5, 0.500000872459698, 0.9983014168020049, 0.9999942151736272, 0.9999944252463095, 0.9999951791250669, 0.9999999920065235, 0.999999999973144, 0.9999999999998322]"
Shared agency no signaling,session_1_player2,1.0,9,2,equal_to_both,9,"[0.5, 0.9966417702398632, 0.9966615740032733, 0.9999886118618986, 0.9999890253621152, 0.9999999618691799, 0.9999999997436966, 0.9999999998244004, 0.9999999999989031]"
Shared agency no signaling,session_1_player1,1.0,10,1,equal_to_both,9,"[0.5, 0.5000003208883179, 0.4999923914325273, 0.9992062232268505, 0.9999986288193742, 0.9999999952655245, 0.9999999955073621, 0.9999999969667304, 0.9999999999949712]"
Shared agency no signaling,session_1_player2,1.0,10,2,equal_to_both,9,"[0.5, 0.9966371798229628, 0.9999791742756107, 0.9999794079222083, 0.9999795780993735, 0.9999999294843107, 0.9999999330865871, 0.9999999997311914, 0.999999999997702]"
Shared agency no signaling,session_2_player1,2.0,0,1,closer_to_player1,6,"[0.5, 0.5832697833302344, 0.47682831595601144, 0.6457938270441, 0.78483181670927, 0.8802383012817481]"
Shared agency no signaling,session_2_player2,2.0,0,2,closer_to_player1,9,"[0.5, 0.5035278621744455, 0.5057097432743656, 0.5071718599728962, 0.5075061292445431, 0.505875540833752, 0.5666999105636857, 0.5187588300447774, 0.6847547467038372]"
Shared agency no signaling,session_2_player1,2.0,2,1,closer_to_player1,9,"[0.5, 0.999526381931046, 0.9999994446047249, 0.9999999973261052, 0.9999999992402923, 0.999999999996447, 0.9999999999999897, 1.0, 1.0]"
Shared agency no signaling,session_2_player2,2.0,2,2,closer_to_player1,9,"[0.5, 0.5024425890292795, 0.9896285042425959, 0.9998216942870376, 0.9998262655591812, 0.9998279775994264, 0.9997649024532345, 0.9999992762878626, 0.9999999961263946]"
Shared agency no signaling,session_2_player1,2.0,3,1,equal_to_both,15,"[0.5, 0.010551120762082753, 0.010430283049213724, 0.010354587269635597, 0.010293971392701254, 0.9298147243291762, 0.9298159495747559, 0.929824452624111, 0.9298149021254875, 0.9298234052921669, 0.9999774130595986, 0.9999999832162845, 0.999999999972171, 0.9999999999999065, 0.9999999999999994]"
Shared agency no signaling,session_2_player2,2.0,3,2,equal_to_both,11,"[0.5, 0.9894489870619234, 0.9895701120504736, 0.9896458489229828, 0.9897065054539514, 0.9999646405977679, 0.9999997768595205, 0.9999997889286871, 0.9999998350521546, 0.9999999994458191, 0.9999999999965383]"
Shared agency no signaling,session_2_player1,2.0,5,1,closer_to_player2,9,"[0.5, 0.5024416046135202, 0.9896183510152349, 0.999821373735681, 0.9998284320757893, 0.9999970572646267, 0.9999977289856218, 0.9999980684724856, 0.9999999794286197]"
Shared agency no signaling,session_2_player2,2.0,5,2,closer_to_player2,11,"[0.5, 0.9996443735705567, 0.9996674089297708, 0.9999998438450132, 0.999999999726253, 0.9999999999226286, 0.9999999995924741, 0.9999999980950294, 0.9999999999963967, 0.9999999999999953, 1.0]"
Shared agency no signaling,session_2_player1,2.0,7,1,equal_to_both,12,"[0.5, 0.9811838368350151, 0.9833864465730139, 0.9838015493519972, 0.9839338949634424, 0.9840434669625057, 0.9846920382668942, 0.9999637260656832, 0.9999794584309817, 0.999999764536011, 0.9999999994478973, 0.9999999999976278]"
Shared agency no signaling,session_2_player2,2.0,7,2,equal_to_both,12,"[0.5, 0.4987311526176068, 0.49864519631906945, 0.49862414332850186, 0.996627995790922, 0.9966399547360704, 0.9999889140320452, 0.999999932671186, 0.9999999331163221, 0.999999912363592, 0.999999999794515, 0.9999999999991172]"
Shared agency no signaling,session_2_player1,2.0,8,1,equal_to_both,9,"[0.5, 0.5000003208734043, 0.4999923913010309, 0.9992062232288298, 0.9992203075183604, 0.9993042337302678, 0.9999997919658047, 0.9999999998455091, 0.9999999999997439]"
