condition_scope,group,BToM Step 1 (%),BToM Step 1-3 (%),Commitment (%),Coordination Efficiency (%),Signaling Move (%),Success Rate (%)
average,Shared agency no signaling,65.48639548602895,73.54556581814502,78.68716931216932,88.3888189068118,33.64087301587302,91.38888888888889
average,Opportunity-gated communicative action mixture,67.02167595254288,74.15804023651637,68.03637566137566,87.96106552912109,36.51785714285714,93.88888888888889
average,Goal-contrast signaling,70.0307207902355,75.7312517898589,72.50330687830687,88.19604930355982,43.23412698412698,89.72222222222223
average,One-step deliberate signal,66.2736908822533,75.99378970736737,74.91071428571429,88.66651124572613,34.71560846560847,90.83333333333333
average,Human-Human,73.75406679082373,77.25838482286721,64.97395833333334,81.57604663510541,52.5297619047619,100.0
equal_to_both,Shared agency no signaling,69.9650138481724,80.57885926070959,94.44444444444444,98.38193288193288,43.888888888888886,98.88888888888889
equal_to_both,Opportunity-gated communicative action mixture,72.9050333140534,81.70813113818883,87.64367816091954,97.95648795648795,48.56321839080459,100.0
equal_to_both,Goal-contrast signaling,79.75079674352516,86.81202133962432,95.83333333333334,98.33578921078922,64.72222222222221,100.0
equal_to_both,One-step deliberate signal,70.85221033969358,84.66762682985954,93.33333333333333,98.2589339672673,46.111111111111114,98.88888888888889
equal_to_both,Human-Human,80.28227897014428,84.79273962523133,84.375,96.6397607022607,59.375,100.0
