group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
Individual RL,individual_rl_legacy_session_0_player1,0.0,1,1,closer_to_player1,6,"[0.5, 0.3765597696230637, 0.5471208298504648, 0.7073129069096861, 0.8286073047731237, 0.9068503640138575]"
Individual RL,individual_rl_legacy_session_0_player2,0.0,1,2,closer_to_player1,9,"[0.5, 0.5028816702504644, 0.5045821069736484, 0.5054591334379129, 0.5058253072118069, 0.5041254964198492, 0.5656133993503626, 0.516710452481086, 0.6828386258172362]"
Individual RL,individual_rl_legacy_session_0_player1,0.0,4,1,closer_to_player2,9,"[0.5, 0.983215621863266, 0.9836357185881339, 0.9839034053571063, 0.9840650154386205, 0.9840483133426103, 0.9999573132403187, 0.9999997719139265, 0.9999999969475275]"
Individual RL,individual_rl_legacy_session_0_player2,0.0,4,2,closer_to_player2,6,"[0.5, 0.9967000263967413, 0.9966968429305575, 0.9954581802172687, 0.9999961097492382, 0.9999999934566433]"
Individual RL,individual_rl_legacy_session_0_player1,0.0,5,1,closer_to_player1,6,"[0.5, 0.5001185943541027, 0.5026234115262646, 0.49720968913202296, 0.5395241416625213, 0.46697954300971023]"
Individual RL,individual_rl_legacy_session_0_player2,0.0,5,2,closer_to_player1,9,"[0.5, 0.5035047978070132, 0.5052052002127713, 0.5070203493875851, 0.5134079085217351, 0.5007946099486743, 0.476265895491797, 0.4339194190969463, 0.5351778609054096]"
Individual RL,individual_rl_legacy_session_0_player1,0.0,7,1,closer_to_player2,9,"[0.5, 0.5045001650974681, 0.5120813812094832, 0.5123891235283119, 0.5061047085197751, 0.5429976894159897, 0.548560489637802, 0.5520933796695557, 0.5542212313383271]"
Individual RL,individual_rl_legacy_session_0_player2,0.0,7,2,closer_to_player2,6,"[0.5, 0.5046253202425177, 0.5029807173822153, 0.4229352919981938, 0.5945272928709258, 0.7471278463901079]"
Individual RL,individual_rl_legacy_session_0_player1,0.0,9,1,equal_to_both,10,"[0.5, 0.9937275048642991, 0.9999317360072598, 0.9999343571958481, 0.999935343216049, 0.9999995855700169, 0.9999999953844513, 0.9999999966559497, 0.9999999999366044, 0.9999999999817176]"
Individual RL,individual_rl_legacy_session_0_player2,0.0,9,2,equal_to_both,10,"[0.5, 0.9938492881647132, 0.9938931838008171, 0.999962176743218, 0.9999996011521983, 0.9999996078790635, 0.9999996104714693, 0.9999999980444363, 0.9999999978057008, 0.9999999999905718]"
Individual RL,individual_rl_legacy_session_0_player1,0.0,10,1,closer_to_player2,9,"[0.5, 0.5034829763377406, 0.506236951764093, 0.5029047229294037, 0.4983617190691925, 0.504634975832493, 0.553867293474182, 0.554489854705495, 0.5547099162929218]"
Individual RL,individual_rl_legacy_session_0_player2,0.0,10,2,closer_to_player2,6,"[0.5, 0.5194056257357683, 0.5344875270365032, 0.5067938145167125, 0.5802376336076929, 0.5804590271852761]"
Individual RL,individual_rl_legacy_session_0_player1,0.0,11,1,equal_to_both,11,"[0.5, 0.988653971381406, 0.9893682821022369, 0.9998843757416357, 0.9999979908446599, 0.9999980955551836, 0.9999999673933804, 0.9999999991404303, 0.9999999993576879, 0.9999999999790172, 0.9999999999905291]"
Individual RL,individual_rl_legacy_session_0_player2,0.0,11,2,equal_to_both,11,"[0.5, 0.49999981874973665, 0.9938491223159589, 0.9999345536400787, 0.999935568977673, 0.999999318679095, 0.9999993328062912, 0.9999999926946698, 0.9999999998693067, 0.9999999998973372, 0.9999999999402257]"
Individual RL,individual_rl_legacy_session_1_player1,1.0,0,1,closer_to_player1,6,"[0.5, 0.4968934671375089, 0.39162876307030475, 0.999368834378239, 0.999999446523859, 0.9999999990374626]"
Individual RL,individual_rl_legacy_session_1_player2,1.0,0,2,closer_to_player1,9,"[0.5, 0.5039936110961619, 0.5062347968534642, 0.5074775251519437, 0.5043726823240375, 0.9987599431578215, 0.9999967262218844, 0.9999961218348514, 0.9999999932347545]"
