lambda,alpha,negative_log_likelihood,fit_stage
0.0,0.0,220.54953496430286,coarse
0.0,0.1,226.05920369910518,coarse
0.0,0.2,231.70423989586655,coarse
0.0,0.3,236.98205130096588,coarse
0.0,0.4,241.53101301831515,coarse
0.0,0.5,245.22290046432542,coarse
0.0,0.6,248.11057950124348,coarse
0.0,0.7,250.33678710437823,coarse
0.0,0.8,252.06273060994533,coarse
0.0,0.9,253.42959977274856,coarse
0.0,1.0,254.54587828761672,coarse
0.05,0.0,199.13821010978796,coarse
0.05,0.1,203.61576194691025,coarse
0.05,0.2,208.20406810216244,coarse
0.05,0.3,212.4806900344482,coarse
0.05,0.4,216.15940358334683,coarse
0.05,0.5,219.15084022845886,coarse
0.05,0.6,221.5098853171393,coarse
0.05,0.7,223.35713227096895,coarse
0.05,0.8,224.82141249925388,coarse
0.05,0.9,226.01171672420355,coarse
0.05,1.0,227.0099699135185,coarse
0.1,0.0,185.70775724970895,coarse
0.1,0.1,189.36237609690872,coarse
0.1,0.2,193.1082435957289,coarse
0.1,0.3,196.59536323555696,coarse
0.1,0.4,199.59797793833707,coarse
0.1,0.5,202.05396631325758,coarse
0.1,0.6,204.01494579235717,coarse
0.1,0.7,205.57992087288574,coarse
0.1,0.8,206.85005665033717,coarse
0.1,0.9,207.9087232988804,coarse
0.1,1.0,208.8177283991987,coarse
0.15,0.0,177.5597145203221,coarse
0.15,0.025,178.28372910775872,refine
0.15,0.05,179.02650165867234,refine
0.15,0.075,179.78383047230895,refine
0.15,0.1,180.55103211321034,coarse
0.15,0.2,183.61978097461744,coarse
0.15,0.3,186.47862178887019,coarse
0.15,0.4,188.9499200313011,coarse
0.15,0.5,190.99051009086796,coarse
0.15,0.6,192.64588799788598,coarse
0.15,0.7,193.9952712573434,coarse
0.15,0.8,195.11681474513173,coarse
0.15,0.9,196.0737369775881,coarse
0.15,1.0,196.91259053707682,coarse
0.2375,0.0,171.18175308347006,refine
0.2375,0.025,171.69235690318607,refine
0.2375,0.05,172.21692674325945,refine
0.2375,0.075,172.75235801544412,refine
0.2375,0.1,173.29526564088,refine
0.3,0.0,170.11420277496978,coarse
0.3,0.1,171.7716937349782,coarse
0.3,0.2,173.4863180694597,coarse
0.3,0.3,175.11078070516302,coarse
0.3,0.4,176.5600981456707,coarse
0.3,0.5,177.81613367668004,coarse
0.3,0.6,178.89992319669008,coarse
0.3,0.7,179.84513459827775,coarse
0.3,0.8,180.68385802045867,coarse
0.3,0.9,181.44195180086106,coarse
0.3,1.0,182.13890407036243,coarse
0.325,0.0,170.13335107245638,refine
0.325,0.025,170.49760228909315,refine
0.325,0.05,170.8718814953514,refine
0.325,0.075,171.2541280839948,refine
0.325,0.1,171.64210053504684,refine
0.4125,0.0,171.1922347965517,refine
0.4125,0.025,171.46219837703163,refine
0.4125,0.05,171.7389593942078,refine
0.4125,0.075,172.02127995126972,refine
0.4125,0.1,172.30780357539342,refine
0.5,0.0,172.74362354430832,coarse
0.5,0.025,172.9533539341833,refine
0.5,0.05,173.16791557833034,refine
0.5,0.075,173.38655917646096,refine
0.5,0.1,173.60846257123293,coarse
0.5,0.2,174.51160416150898,coarse
0.5,0.3,175.40362257509548,coarse
0.5,0.4,176.25299399221697,coarse
0.5,0.5,177.04811364961893,coarse
0.5,0.6,177.78972400831714,coarse
0.5,0.7,178.48371955802486,coarse
0.5,0.8,179.13719965146376,coarse
0.5,0.9,179.7568843256723,coarse
0.5,1.0,180.3486421204546,coarse
1.0,0.0,178.18213180354442,coarse
1.0,0.1,178.56239384931627,coarse
1.0,0.2,178.97065590383747,coarse
1.0,0.3,179.40939202806072,coarse
1.0,0.4,179.8725850560302,coarse
1.0,0.5,180.35209752377088,coarse
1.0,0.6,180.84088806963246,coarse
1.0,0.7,181.3339382162114,coarse
1.0,0.8,181.82809477557993,coarse
1.0,0.9,182.32158279552885,coarse
1.0,1.0,182.8135250781341,coarse
