fold,model,lambda,alpha,train_negative_log_likelihood,test_negative_log_likelihood,train_actions,test_actions
0,Individual RL,,,955.5374233099769,227.03394303815472,196,58
0,Joint RL,,,348.1502060157183,57.610714873485186,196,58
0,Shared agency no commitment no signaling,0.0,0.0,184.64588771316562,35.903647251137144,196,58
0,Shared agency commitment no signaling,0.475,0.0,135.40462722041275,36.897459929975874,196,58
0,Shared agency commitment signaling,0.475,0.0,135.40462722041275,36.897459929975874,196,58
1,Individual RL,,,956.4290040757166,226.14236227241483,202,52
1,Joint RL,,,328.9797319554754,76.7811889337281,202,52
1,Shared agency no commitment no signaling,0.0,0.0,166.10509295845264,54.44444200584992,202,52
1,Shared agency commitment no signaling,0.475,0.0,116.22279876423536,56.079288386153344,202,52
1,Shared agency commitment signaling,0.475,0.0,116.22279876423536,56.079288386153344,202,52
2,Individual RL,,,878.8166763228251,303.75469002530656,208,46
2,Joint RL,,,299.8607277563477,105.90019313285592,208,46
2,Shared agency no commitment no signaling,0.0,0.0,175.19989292743477,45.349642036867884,208,46
2,Shared agency commitment no signaling,0.2375,0.0,141.57498613370294,29.606766949766925,208,46
2,Shared agency commitment signaling,0.2375,0.0,141.57498613370294,29.606766949766925,208,46
3,Individual RL,,,963.4888113079476,219.082555040184,202,52
3,Joint RL,,,306.62949228760397,99.13142860159974,202,52
3,Shared agency no commitment no signaling,0.0,0.0,175.51020200451427,45.03933295978845,202,52
3,Shared agency commitment no signaling,0.2375,0.0,145.01676570269012,26.164987380779827,202,52
3,Shared agency commitment signaling,0.2375,0.0,145.01676570269012,26.164987380779827,202,52
4,Individual RL,,,976.0135503760596,206.55781597207206,208,46
4,Joint RL,,,339.4235255416688,66.33739534753492,208,46
4,Shared agency no commitment no signaling,0.0,0.0,180.73706425364347,39.81247071065931,208,46
4,Shared agency commitment no signaling,0.3,0.0,139.40583520947936,30.708367565490168,208,46
4,Shared agency commitment signaling,0.3,0.0,139.40583520947936,30.708367565490168,208,46
