condition_scope,group,BToM Step 1 (%),Commitment (%),Coordination Efficiency (%),Signaling Move (%),Success Rate (%)
average,Individual RL,70.34505504998327,51.63690476190476,100.0,43.9781746031746,20.555555555555554
average,Joint RL,64.4511833023833,51.421957671957664,89.9642143020119,32.84722222222223,97.77777777777777
average,Shared agency no commitment no signaling,58.17106947000025,46.71296296296295,77.9306851715346,26.65145502645502,88.05555555555556
average,Shared agency commitment no signaling,66.46352603002202,79.85119047619048,89.21950885497513,35.489417989417994,92.5
average,Shared agency commitment signaling (Communicative Action Mixture (Legibility Over Alternatives)),67.4458272107554,78.23082010582011,88.1528453058682,38.379629629629626,93.05555555555556
average,Human-Human,73.75406679082373,64.97395833333334,81.57604663510541,52.5297619047619,100.0
equal_to_both,Individual RL,80.90033258610035,54.166666666666664,100.0,62.797619047619044,28.888888888888886
equal_to_both,Joint RL,67.0893473999747,41.666666666666664,98.66372053872053,41.388888888888886,98.88888888888889
equal_to_both,Shared agency no commitment no signaling,63.81570605837287,38.05555555555555,87.52699550813941,37.77777777777777,96.66666666666667
equal_to_both,Shared agency commitment no signaling,68.6622510863953,95.97701149425288,98.58784893267652,40.80459770114942,100.0
equal_to_both,Shared agency commitment signaling (Communicative Action Mixture (Legibility Over Alternatives)),75.39733323412855,95.27777777777777,98.16360455085945,56.666666666666664,100.0
equal_to_both,Human-Human,80.28227897014428,84.375,96.6397607022607,59.375,100.0
