lambda,rho,negative_log_likelihood,fit_stage
0.2,0.0,437.4377522635165,coarse
0.2,0.05,436.7004508703311,coarse
0.2,0.075,436.51409123338016,refine
0.2,0.1,436.44917471239285,coarse
0.2,0.125,436.50618373015686,refine
0.2,0.15,436.68604903693523,coarse
0.2,0.2,437.4204195936875,coarse
0.2,0.25,438.66949847221224,coarse
0.2,0.3,440.4594765554805,coarse
0.2,0.35,442.82724746172966,coarse
0.2,0.4,445.82298441499825,coarse
0.2,0.45,449.51396949295315,coarse
0.2,0.5,453.99034793714134,coarse
0.2,0.55,459.37397794743737,coarse
0.2,0.6,465.8325048092596,coarse
0.2,0.65,473.6027552553248,coarse
0.2,0.7,483.03190717398513,coarse
0.2,0.75,494.6555215687439,coarse
0.2,0.8,509.3608877039809,coarse
0.2,0.85,528.7802749284434,coarse
0.2,0.9,556.4639984200863,coarse
0.2,0.95,603.0388353193617,coarse
0.2,1.0,772.6109984189976,coarse
