lambda,alpha,negative_log_likelihood,fit_stage
0.0,0.0,567.5054724081664,coarse
0.0,0.1,580.9775964945056,coarse
0.0,0.2,594.8079353733011,coarse
0.0,0.3,607.569520031379,coarse
0.0,0.4,618.3368594458461,coarse
0.0,0.5,626.8504460748584,coarse
0.0,0.6,633.3127356473391,coarse
0.0,0.7,638.1266603489441,coarse
0.0,0.8,641.7158681194364,coarse
0.0,0.9,644.43875632256,coarse
0.0,1.0,646.5659639711535,coarse
0.05,0.0,494.206258871424,coarse
0.05,0.1,503.9566130018256,coarse
0.05,0.2,514.0615608864837,coarse
0.05,0.3,523.4439461384493,coarse
0.05,0.4,531.4191325816731,coarse
0.05,0.5,537.7940816084224,coarse
0.05,0.6,542.7111086865713,coarse
0.05,0.7,546.4555562266481,coarse
0.05,0.8,549.3258821381016,coarse
0.05,0.9,551.5735627891956,coarse
0.05,1.0,553.388549956752,coarse
0.1,0.0,460.030466064504,coarse
0.1,0.1,467.2534477647529,coarse
0.1,0.2,474.8379818134336,coarse
0.1,0.3,481.95270689129075,coarse
0.1,0.4,488.0673948917037,coarse
0.1,0.5,493.02398782504656,coarse
0.1,0.6,496.91800431911037,coarse
0.1,0.7,499.95301665069104,coarse
0.1,0.8,502.3433980034061,coarse
0.1,0.9,504.2702646698539,coarse
0.1,1.0,505.8711002103517,coarse
0.15,0.0,444.2415617348729,coarse
0.15,0.025,445.5491646710576,refine
0.15,0.05,446.90972036866515,refine
0.15,0.075,448.3136643779276,refine
0.15,0.1,449.75043634635534,coarse
0.15,0.2,455.60383099436314,coarse
0.15,0.3,461.1517471449985,coarse
0.15,0.4,465.9757892284016,coarse
0.15,0.5,469.94455692469387,coarse
0.15,0.6,473.12228508030216,coarse
0.15,0.7,475.6565739479862,coarse
0.15,0.8,477.70428674508605,coarse
0.15,0.9,479.3985929449933,coarse
0.15,1.0,480.84126920161407,coarse
0.2375,0.0,435.5344684339411,refine
0.2375,0.025,436.40987368956445,refine
0.2375,0.05,437.32213491456986,refine
0.2375,0.075,438.26498632039903,refine
0.2375,0.1,439.23155505925155,refine
0.3,0.0,435.68534247234805,coarse
0.3,0.1,438.604353383102,coarse
0.3,0.2,441.72047092605527,coarse
0.3,0.3,444.7242879732784,coarse
0.3,0.4,447.41645103430716,coarse
0.3,0.5,449.73109669425736,coarse
0.3,0.6,451.6915513066884,coarse
0.3,0.7,453.3586695017831,coarse
0.3,0.8,454.7984076790593,coarse
0.3,0.9,456.0678719058995,coarse
0.3,1.0,457.2118741196327,coarse
0.325,0.0,436.4493238404063,refine
0.325,0.025,437.0859964252543,refine
0.325,0.05,437.74719356009444,refine
0.325,0.075,438.42867290563186,refine
0.325,0.1,439.12586889901155,refine
0.4125,0.0,440.7249636668263,refine
0.4125,0.025,441.2041204576802,refine
0.4125,0.05,441.70050012688654,refine
0.4125,0.075,442.211095017324,refine
0.4125,0.1,442.7327481190686,refine
0.5,0.0,446.0231103278271,coarse
0.5,0.025,446.3875991046526,refine
0.5,0.05,446.7652230246472,refine
0.5,0.075,447.1538443916879,refine
0.5,0.1,447.55125637303297,coarse
0.5,0.2,449.1852660701555,coarse
0.5,0.3,450.80033819347415,coarse
0.5,0.4,452.31682821378064,coarse
0.5,0.5,453.7043333148344,coarse
0.5,0.6,454.96512034565757,coarse
0.5,0.7,456.1163704639323,coarse
0.5,0.8,457.178981225056,coarse
0.5,0.9,458.17233496746854,coarse
0.5,1.0,459.1125384023739,coarse
1.0,0.0,467.4111253032415,coarse
1.0,0.1,468.0404753270115,coarse
1.0,0.2,468.7209616126453,coarse
1.0,0.3,469.446673300206,coarse
1.0,0.4,470.205112541862,coarse
1.0,0.5,470.98391236927625,coarse
1.0,0.6,471.7738348292218,coarse
1.0,0.7,472.56900634878957,coarse
1.0,0.8,473.3660953774356,coarse
1.0,0.9,474.1633966050362,coarse
1.0,1.0,474.9601374369268,coarse
