fold,model,rho,lambda,n_params,train_negative_log_likelihood,test_negative_log_likelihood,train_actions,test_actions
0,"no signaling, lambda=.2",0.0,0.2,0,197.79860696431027,62.4740672222296,212,70
0,value-safe tie-break signaling,0.0,0.2,1,197.79860696431027,62.4740672222296,212,70
1,"no signaling, lambda=.2",0.0,0.2,0,204.85047963472357,55.422194551816226,228,54
1,value-safe tie-break signaling,0.0,0.2,1,204.85047963472357,55.422194551816226,228,54
2,"no signaling, lambda=.2",0.0,0.2,0,214.27542972537518,45.99724446116475,230,52
2,value-safe tie-break signaling,0.0,0.2,1,214.27542972537518,45.99724446116475,230,52
3,"no signaling, lambda=.2",0.0,0.2,0,204.46541941735393,55.807254769185995,230,52
3,value-safe tie-break signaling,0.0,0.2,1,204.46541941735393,55.807254769185995,230,52
4,"no signaling, lambda=.2",0.0,0.2,0,219.70076100439684,40.57191318214308,228,54
4,value-safe tie-break signaling,0.0,0.2,1,219.70076100439684,40.57191318214308,228,54
