fold,model,rho,lambda,n_params,train_negative_log_likelihood,test_negative_log_likelihood,train_actions,test_actions
0,"no signaling, lambda=.2",0.0,0.2,0,380.8410105571852,56.59674170633151,536,152
0,value-safe tie-break signaling,0.0,0.2,1,380.8410105571852,56.59674170633151,536,152
1,"no signaling, lambda=.2",0.0,0.2,0,317.31069767825187,120.1270545852654,554,134
1,value-safe tie-break signaling,0.0,0.2,1,317.31069767825187,120.1270545852654,554,134
2,"no signaling, lambda=.2",0.0,0.2,0,344.85338945122794,92.58436281228887,558,130
2,value-safe tie-break signaling,0.0,0.2,1,344.85338945122794,92.58436281228887,558,130
3,"no signaling, lambda=.2",0.0,0.2,0,351.8690862748514,85.56866598866544,538,150
3,value-safe tie-break signaling,0.0,0.2,1,351.8690862748514,85.56866598866544,538,150
4,"no signaling, lambda=.2",0.0,0.2,0,354.87682509255137,82.56092717096581,566,122
4,value-safe tie-break signaling,0.0,0.2,1,354.87682509255137,82.56092717096581,566,122
