rho,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_value_safe_mass,fit_stage
0.0,0.2,437.4377522635165,0.7429764933754364,0.881814832165695,0.9918090232519349,coarse
0.0125,0.2,437.89312478565586,0.7436470087048918,0.882145229335295,0.9919114104612546,refine
0.025,0.2,438.35624121393704,0.7443175240343473,0.882475626504895,0.9920137976705745,refine
0.0375,0.2,438.8271859172243,0.7449880393638025,0.8828060236744947,0.9921161848798943,refine
0.05,0.2,439.30604899687523,0.7456585546932577,0.8831364208440946,0.9922185720892142,coarse
0.1,0.2,441.3026972843386,0.7483406160110789,0.8844580095224939,0.9926281209264934,coarse
0.15,0.2,443.43486365691456,0.7510226773288992,0.8857795982008926,0.9930376697637725,coarse
0.2,0.2,445.711515649532,0.7537047386467189,0.8871011868792913,0.9934472186010512,coarse
0.25,0.2,448.143752314747,0.7563867999645382,0.8884227755576896,0.9938567674383303,coarse
0.3,0.2,450.7452625424581,0.7590688612823567,0.8897443642360876,0.994266316275609,coarse
0.35,0.2,453.532960794691,0.7617509226001749,0.8910659529144853,0.9946758651128877,coarse
0.4,0.2,456.527877785849,0.7644329839179922,0.8923875415928829,0.9950854139501664,coarse
0.45,0.2,459.75642998134896,0.767115045235809,0.8937091302712802,0.9954949627874446,coarse
0.5,0.2,463.2522720006874,0.7697971065536251,0.8950307189496772,0.9959045116247229,coarse
0.55,0.2,467.05908136730096,0.7724791678714407,0.8963523076280738,0.996314060462001,coarse
0.6,0.2,471.2349027188333,0.7751612291892558,0.8976738963064705,0.9967236092992793,coarse
0.65,0.2,475.8592433342759,0.7778432905070701,0.8989954849848665,0.9971331581365572,coarse
0.7,0.2,481.045351843182,0.780525351824884,0.9003170736632625,0.9975427069738351,coarse
0.75,0.2,486.96311010329754,0.7832074131426972,0.901638662341658,0.9979522558111129,coarse
0.8,0.2,493.8861901512137,0.7858894744605098,0.9029602510200536,0.9983618046483905,coarse
0.85,0.2,502.30395357418024,0.788571535778322,0.9042818396984486,0.998771353485668,coarse
0.9,0.2,513.2522419506286,0.7912535970961334,0.9056034283768434,0.9991809023229452,coarse
0.95,0.2,529.7870042517748,0.7939356584139442,0.906925017055238,0.9995904511602229,coarse
1.0,0.2,839.7876357068623,0.7966177197317542,0.9082466057336319,0.9999999999974999,coarse
