rho,lambda,negative_log_likelihood,expected_signal_move,expected_btom_legibility,expected_value_safe_mass,fit_stage
0.0,0.2,172.99541717331968,0.7342215611075029,0.8346094489116069,0.9924075805061855,coarse
0.0125,0.2,173.21261341051465,0.7351133723099469,0.8350865928673039,0.9925024857498276,refine
0.025,0.2,173.43314984638286,0.7360051835123906,0.8355637368230011,0.9925973909934693,refine
0.0375,0.2,173.65705499896868,0.7368969947148346,0.836040880778698,0.9926922962371113,refine
0.05,0.2,173.8843597162299,0.7377888059172782,0.836518024734395,0.9927872014807533,coarse
0.1,0.2,174.82827572929207,0.741356050727053,0.8384266005571829,0.993166822455321,coarse
0.15,0.2,175.82969839872393,0.7449232955368269,0.84033517637997,0.9935464434298882,coarse
0.2,0.2,176.89186659794174,0.7484905403465999,0.842243752202757,0.9939260644044554,coarse
0.25,0.2,178.01883780314836,0.7520577851563723,0.8441523280255434,0.9943056853790226,coarse
0.3,0.2,179.21564717470434,0.755625029966144,0.8460609038483295,0.9946853063535899,coarse
0.35,0.2,180.4885295820102,0.7591922747759148,0.8479694796711154,0.9950649273281569,coarse
0.4,0.2,181.84523082148073,0.762759519585685,0.8498780554939008,0.995444548302724,coarse
0.45,0.2,183.29544980904166,0.7663267643954542,0.8517866313166855,0.9958241692772904,coarse
0.5,0.2,184.85148012576386,0.7698940092052227,0.8536952071394701,0.9962037902518575,coarse
0.55,0.2,186.52916698335255,0.7734612540149906,0.8556037829622543,0.9965834112264239,coarse
0.6,0.2,188.34938575329008,0.7770284988247574,0.8575123587850382,0.9969630322009906,coarse
0.65,0.2,190.3404291500969,0.7805957436345237,0.8594209346078215,0.9973426531755569,coarse
0.7,0.2,192.542081968842,0.7841629884442892,0.8613295104306046,0.9977222741501232,coarse
0.75,0.2,195.01309467348847,0.7877302332540537,0.863238086253387,0.9981018951246894,coarse
0.8,0.2,197.8462775838744,0.7912974780638174,0.8651466620761693,0.9984815160992556,coarse
0.85,0.2,201.20345365988325,0.7948647228735808,0.8670552378989511,0.9988611370738216,coarse
0.9,0.2,205.41561038610982,0.7984319676833431,0.8689638137217326,0.9992407580483875,coarse
0.95,0.2,211.41064644226807,0.8019992124931046,0.8708723895445136,0.9996203790229532,coarse
1.0,0.2,295.96008704937356,0.8055664573028654,0.8727809653672942,0.9999999999975188,coarse
