rho_max,lambda,alpha,negative_log_likelihood,fit_stage
0.0,0.2,1.0,260.27267418654003,coarse
0.0125,0.2,1.0,260.3549587435766,refine
0.025,0.2,1.0,260.43789535446575,refine
0.0375,0.2,1.0,260.52148513485605,refine
0.05,0.2,1.0,260.60572923897024,coarse
0.1,0.2,1.0,260.94927332419337,coarse
0.15,0.2,1.0,261.3033889258339,coarse
0.2,0.2,1.0,261.6681683648696,coarse
0.25,0.2,1.0,262.0437138305153,coarse
0.3,0.2,1.0,262.4301374579424,coarse
0.35,0.2,1.0,262.8275614515238,coarse
0.4,0.2,1.0,263.23611825286304,coarse
0.45,0.2,1.0,263.6559507534178,coarse
0.5,0.2,1.0,264.087212552012,coarse
0.55,0.2,1.0,264.53006825804226,coarse
0.6,0.2,1.0,264.9846938416524,coarse
0.65,0.2,1.0,265.45127703264137,coarse
0.7,0.2,1.0,265.9300177703754,coarse
0.75,0.2,1.0,266.4211287074947,coarse
0.8,0.2,1.0,266.9248357707516,coarse
0.85,0.2,1.0,267.44137878295027,coarse
0.9,0.2,1.0,267.97101215056546,coarse
0.95,0.2,1.0,268.51400562238666,coarse
1.0,0.2,1.0,269.0706451253156,coarse
