rho_max,lambda,alpha,negative_log_likelihood,fit_stage
0.0,0.2,1.0,437.4377522635165,coarse
0.0125,0.2,1.0,437.50010631532933,refine
0.025,0.2,1.0,437.5627456855944,refine
0.0375,0.2,1.0,437.6256707250948,refine
0.05,0.2,1.0,437.6888818012626,coarse
0.1,0.2,1.0,437.94459440417575,coarse
0.15,0.2,1.0,438.2049173208987,coarse
0.2,0.2,1.0,438.46988207964273,coarse
0.25,0.2,1.0,438.7395245182625,coarse
0.3,0.2,1.0,439.01388483098077,coarse
0.35,0.2,1.0,439.29300763191225,coarse
0.4,0.2,1.0,439.57694203568894,coarse
0.45,0.2,1.0,439.8657417556528,coarse
0.5,0.2,1.0,440.15946522022864,coarse
0.55,0.2,1.0,440.4581757082616,coarse
0.6,0.2,1.0,440.76194150427506,coarse
0.65,0.2,1.0,441.07083607482826,coarse
0.7,0.2,1.0,441.3849382673059,coarse
0.75,0.2,1.0,441.70433253276934,coarse
0.8,0.2,1.0,442.0291091747124,coarse
0.85,0.2,1.0,442.35936462587404,coarse
0.9,0.2,1.0,442.6952017556024,coarse
0.95,0.2,1.0,443.0367302105978,coarse
1.0,0.2,1.0,443.3840667923466,coarse
