lambda,p_signal,negative_log_likelihood
0.0,0.0,4462.022202747144
0.0,0.05,4494.85929588684
0.0,0.1,4532.204343262382
0.0,0.15,4574.23164075124
0.0,0.2,4621.18487590085
0.0,0.25,4673.387326609832
0.0,0.3,4731.256811759589
0.0,0.35,4795.327059927597
0.0,0.4,4866.278138116802
0.0,0.45,4944.980170939814
0.0,0.5,5032.557284547155
0.0,0.55,5130.483522525164
0.0,0.6,5240.731479195956
0.0,0.65,5366.01219972319
0.0,0.7,5510.1825902117
0.0,0.75,5678.983304966422
0.0,0.8,5881.491804229351
0.0,0.85,6133.326978761024
0.0,0.9,6464.971667975578
0.0,0.95,6949.879222703429
0.0,1.0,7866.740960304309
0.05,0.0,4441.710285241887
0.05,0.05,4474.143825640612
0.05,0.1,4511.078718828779
0.05,0.15,4552.688584788703
0.05,0.2,4599.216414863632
0.05,0.25,4650.984759470107
0.05,0.3,4708.410667288204
0.05,0.35,4772.02704127468
0.05,0.4,4842.513052424297
0.05,0.45,4920.737840255038
0.05,0.5,5007.8244319775185
0.05,0.55,5105.245623579526
0.05,0.6,5214.972560923431
0.05,0.65,5339.71455585242
0.05,0.7,5483.326349992589
0.05,0.75,5651.545722963598
0.05,0.8,5853.445957108417
0.05,0.85,6104.63901971658
0.05,0.9,6435.593880474896
0.05,0.95,6919.727259070939
0.05,1.0,7835.605171571388
0.1,0.0,4421.907572979215
0.1,0.05,4453.969634574908
0.1,0.1,4490.534805437307
0.1,0.15,4531.776091779341
0.1,0.2,4577.9358867663905
0.1,0.25,4629.336144302626
0.1,0.3,4686.393301959487
0.1,0.35,4749.6396163414365
0.1,0.4,4819.753548650911
0.1,0.45,4897.603424245346
0.1,0.5,4984.311289226365
0.1,0.55,5081.348691218816
0.1,0.6,5190.685092052187
0.1,0.65,5315.027386703535
0.1,0.7,5458.226612200775
0.1,0.75,5626.014446616252
0.1,0.8,5827.45325855392
0.1,0.85,6078.13340753006
0.1,0.9,6408.474876059268
0.1,0.95,6891.759812907799
0.1,1.0,7806.26698820138
0.125,0.0,4411.772684675294
0.125,0.05,4443.671952669014
0.125,0.1,4480.076183648327
0.125,0.15,4521.157969399135
0.125,0.2,4567.159292117145
0.125,0.25,4618.401684073848
0.125,0.3,4675.301133457702
0.125,0.35,4738.3893975627525
0.125,0.4,4808.3443578472525
0.125,0.45,4886.033635437411
0.125,0.5,4972.578381341351
0.125,0.55,5069.448953135099
0.125,0.6,5178.613157570859
0.125,0.65,5302.775478891026
0.125,0.7,5445.783264686992
0.125,0.75,5613.362223094202
0.125,0.8,5814.564398918012
0.125,0.85,6064.960733003258
0.125,0.9,6394.930326288756
0.125,0.95,6877.655062485
0.125,1.0,7791.347525197164
0.15,0.0,4401.3470245221815
0.15,0.05,4433.095260293521
0.15,0.1,4469.3499143089575
0.15,0.15,4510.283065912137
0.15,0.2,4556.1361729157625
0.15,0.25,4607.230212027769
0.15,0.3,4663.98056112152
0.15,0.35,4726.918281821964
0.15,0.4,4796.720432878455
0.15,0.45,4874.253626532385
0.15,0.5,4960.637731716886
0.15,0.55,5057.341418088517
0.15,0.6,5166.33018879374
0.15,0.65,5290.305262989765
0.15,0.7,5433.109164252138
0.15,0.75,5600.460125059263
0.15,0.8,5801.397917886175
0.15,0.85,6051.471803410778
0.15,0.9,6381.018628175399
0.15,0.95,6863.126489061587
0.15,1.0,7776.083196488421
0.2,0.0,4379.30418222696
0.2,0.05,4410.765936782316
0.2,0.1,4446.734492680823
0.2,0.15,4487.380713476306
0.2,0.2,4532.944799455257
0.2,0.25,4583.746388492397
0.2,0.3,4640.19939137388
