group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
sampleJointGoal_afterNewGoal,session_0_player1,0,1,1,closer_to_player1,9,"[0.5, 0.6234402303769363, 0.9996814937362163, 0.9999998405669708, 0.9999999997841638, 0.9999999998920898, 0.9999999999460545, 0.9999999999730346, 0.9999999999866092]"
sampleJointGoal_afterNewGoal,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.5028816702504644, 0.5045821069736484, 0.5063973085690441, 0.5127851828417678, 0.5417222936795391, 0.543233992311721, 0.5438591712741471, 0.5440801660526089]"
sampleJointGoal_afterNewGoal,session_0_player1,0,5,1,closer_to_player1,13,"[0.5, 0.8572730129355463, 0.8506516049912219, 0.84534982265894, 0.8478829600752972, 0.9022313300611513, 0.9999428423544532, 0.9999219721216329, 0.9999999858147544, 0.999999989348187, 0.999999999998058, 0.9999999999990292, 0.9999999999995179]"
sampleJointGoal_afterNewGoal,session_0_player2,0,5,2,closer_to_player1,9,"[0.5, 0.5044483642990946, 0.5026973394280589, 0.5091558726676478, 0.522351756907991, 0.525557270761742, 0.5270757413419074, 0.5277038083034449, 0.5279258361962325]"
sampleJointGoal_afterNewGoal,session_0_player1,0,6,1,closer_to_player1,9,"[0.5, 0.5032200578718719, 0.6096668326003067, 0.9999012361595301, 0.9998684784210108, 0.9998329734644494, 0.9999999973833924, 0.9999999977577821, 0.9999999981171291]"
sampleJointGoal_afterNewGoal,session_0_player2,0,6,2,closer_to_player1,9,"[0.5, 0.5035279324580101, 0.5057103105047068, 0.5069278744775713, 0.5037104678128063, 0.3969502584694738, 0.5683532984217492, 0.7248314742522473, 0.8413806121060038]"
sampleJointGoal_afterNewGoal,session_0_player1,0,7,1,closer_to_player2,9,"[0.5, 0.5024478721186529, 0.5036336810910154, 0.511459642354227, 0.5259527935817682, 0.4355025475016374, 0.6294746480506676, 0.9991889550026516, 0.9988356442113989]"
sampleJointGoal_afterNewGoal,session_0_player2,0,7,2,closer_to_player2,9,"[0.5, 0.9996537651309405, 0.9999997146022817, 0.9999997993583996, 0.9999998563400008, 0.9999998952176153, 0.999999999975357, 0.9999999999925405, 0.9999999999999979]"
sampleJointGoal_afterNewGoal,session_0_player1,0,9,1,equal_to_both,9,"[0.5, 0.49958791452450624, 0.4917269811427831, 0.9994085866647155, 0.9999992565224742, 0.9999999980839362, 0.9999999999903808, 0.9999999999999085, 0.9999999999999982]"
sampleJointGoal_afterNewGoal,session_0_player2,0,9,2,equal_to_both,9,"[0.5, 0.9966362343657577, 0.999979159309071, 0.9999794386423874, 0.9999804893334743, 0.999999909138251, 0.9999999992190791, 0.999999999615994, 0.9999999999948472]"
sampleJointGoal_afterNewGoal,session_0_player1,0,10,1,closer_to_player2,9,"[0.5, 0.5034526368799835, 0.5057020704132458, 0.5065791828346065, 0.5077268791960884, 0.502474814874444, 0.49706755930820967, 0.5393822649523008, 0.4668376923395793]"
