group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,1,1,closer_to_player1,9,"[0.5, 0.6234402303769363, 0.9996814937362163, 0.9999998405669708, 0.9999998832134254, 0.9999999123040332, 0.9999999999840108, 0.9999999999920076, 0.9999999999960311]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.5028816702504644, 0.5056461712774001, 0.5023108827386915, 0.5087003336792317, 0.5376613119786025, 0.5391750110477245, 0.5398010391946197, 0.5400223372148486]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,3,1,equal_to_both,9,"[0.5, 0.9966358807253058, 0.9966591100401068, 0.9967965720674843, 0.9999925010819319, 0.9999957534898782, 0.9999999513238683, 0.999999999885867, 0.9999999999995096]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,3,2,equal_to_both,9,"[0.5, 0.9966464379246422, 0.9966583337253736, 0.9965914281668637, 0.9945579036285913, 0.9999970035588158, 0.9999999964509103, 0.9999999999916783, 0.9999999999999643]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,4,1,closer_to_player2,9,"[0.5, 0.5024452095994355, 0.5038691181797544, 0.9939616306766247, 0.9999358179478242, 0.9999988665057018, 0.9999991335124775, 0.9999999752477384, 0.9999999870293655]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,4,2,closer_to_player2,9,"[0.5, 0.9996442658746852, 0.9996682641825672, 0.9999998434196212, 0.9999999355460732, 0.9999999999279718, 0.9999999999999333, 0.9999999999999998, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,5,1,closer_to_player1,9,"[0.5, 0.5031806196535415, 0.9998315138367398, 0.999999922818589, 0.9999999999142342, 0.9999999999996956, 0.9999999999999143, 0.9999999999999997, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,5,2,closer_to_player1,9,"[0.5, 0.5034053482920104, 0.9896915340001541, 0.9898608693546315, 0.9998920184111016, 0.9999981492987704, 0.9999999336526338, 0.9999999680649783, 0.999999984442161]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,6,1,closer_to_player1,9,"[0.5, 0.9995411870855613, 0.9997347007971862, 0.9999998412610539, 0.9999999994095471, 0.999999999998479, 0.9999999999999947, 1.0, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,6,2,closer_to_player1,9,"[0.5, 0.9832206755072621, 0.9995558155730102, 0.9995726063603573, 0.999583563525904, 0.9999929668131369, 0.9999931471751909, 0.9999919102311662, 0.9999999573558205]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,7,1,closer_to_player2,9,"[0.5, 0.5051178755133631, 0.989740227343925, 0.9901466377736513, 0.999891732555416, 0.9999214271193707, 0.9999985379857091, 0.9999992558468798, 0.9999996268003178]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,7,2,closer_to_player2,9,"[0.5, 0.9996595314874033, 0.9999997282949608, 0.9999999995360185, 0.9999999999984056, 0.9999999999999815, 0.9999999999999908, 0.9999999999999954, 0.9999999999999987]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,9,1,equal_to_both,9,"[0.5, 0.49957261845372797, 0.9983458098143425, 0.998309883867309, 0.9999979305337527, 0.9999968325194544, 0.9999999972237913, 0.9999999999951715, 0.9999999999999845]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,9,2,equal_to_both,9,"[0.5, 0.5004282203356211, 0.5085325173561422, 0.9989429009313384, 0.9994021241482404, 0.9999991175915612, 0.9999999926774992, 0.999999999970411, 0.9999999999997224]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player1,0,10,1,closer_to_player2,9,"[0.5, 0.5034534642831692, 0.5056754646105867, 0.9940207317324704, 0.9999365862854314, 0.9999380709772488, 0.999999347242108, 0.9999999867531844, 0.9999999935564047]"
sampleJointGoalAndSignal_afterNewGoal,session_0_player2,0,10,2,closer_to_player2,11,"[0.5, 0.49804762350546294, 0.9991774857603545, 0.9999985561426884, 0.9999985829539971, 0.9999999975072639, 0.9999999976495485, 0.9999999986804889, 0.9999999999980408, 0.9999999999999922, 0.9999999999999999]"
sampleJointGoalAndSignal_afterNewGoal,session_1_player1,1,0,1,closer_to_player1,9,"[0.5, 0.5031065328624911, 0.6083712369296953, 0.9998988443501667, 0.9999999876446046, 0.9999999999907343, 0.9999999999999962, 1.0, 1.0]"
sampleJointGoalAndSignal_afterNewGoal,session_1_player2,1,0,2,closer_to_player1,9,"[0.5, 0.5039936110961619, 0.5062347968534642, 0.5074775251519437, 0.5043726823240375, 0.39879127454948576, 0.9993874661755403, 0.9999994628339551, 0.9999999990629465]"
sampleJointGoalAndSignal_afterNewGoal,session_1_player1,1,2,1,equal_to_both,9,"[0.5, 0.9955021312500496, 0.9976689101459146, 0.9999835417830625, 0.9999920966197935, 0.9999976678934676, 0.9999999890855219, 0.9999999999686395, 0.9999999999998835]"
