group,participantId,sessionIndex,trialIndex,playerIndex,distanceCondition,nSteps,posteriors
sampleJointGoalAndSignal_fromStart,session_0_player1,0,1,1,closer_to_player1,9,"[0.5, 0.5031806172921476, 0.9998315138358624, 0.9998981792999916, 0.9999999466374832, 0.9999999999757682, 0.9999999999999736, 0.9999999999999999, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,1,2,closer_to_player1,9,"[0.5, 0.9832163561978555, 0.9836352011198571, 0.9839024046160789, 0.9998275337475079, 0.9999970439058923, 0.9999998940243493, 0.9999999489906689, 0.9999999751496969]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,3,1,equal_to_both,10,"[0.5, 0.9938491073474991, 0.9999345546012633, 0.999998885029392, 0.9999999709824887, 0.9999999988744395, 0.9999999998899957, 0.9999999999495385, 0.9999999999766447, 0.9999999999891848]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,3,2,equal_to_both,11,"[0.5, 0.500117508192751, 0.996637446498049, 0.9999791638138041, 0.99999977943275, 0.9999999961613716, 0.9999999998249285, 0.9999999999186042, 0.9999999999632486, 0.9999999999632485, 0.9999999999894013]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,4,1,closer_to_player2,9,"[0.5, 0.5029861007063547, 0.4970753234409481, 0.3648762438189776, 0.9970798594071318, 0.9999909873027243, 0.99999995249733, 0.999999999595917, 0.9999999999946906]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,4,2,closer_to_player2,9,"[0.5, 0.9995416473925753, 0.9999994977639891, 0.9999999988105213, 0.9999999999943271, 0.9999999999999176, 0.9999999999999993, 1.0, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,5,1,closer_to_player1,2,"[0.5, 0.4204369108183446]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,5,2,closer_to_player1,6,"[0.5, 0.37722002256472154, 0.548467941335564, 0.7087135206332147, 0.8296883046915015, 0.908167790945104]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,6,1,closer_to_player1,3,"[0.5, 0.4490829210331466, 0.6233212675311348]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,6,2,closer_to_player1,15,"[0.5, 0.5036833289698082, 0.41926032617051295, 0.3472973385857077, 0.42456132616994874, 0.9999497646012286, 0.9999917701275155, 0.9999888674177229, 0.9999857537956217, 0.9999999997783877, 0.9999950528522424, 0.9999999999230436, 0.9999999999999966, 1.0, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,7,1,closer_to_player2,9,"[0.5, 0.983224035728164, 0.9995560646032309, 0.9995726953089065, 0.9995836581369575, 0.9995877681232306, 0.9994367378060282, 0.9999982626619843, 0.9999999907853899]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,7,2,closer_to_player2,11,"[0.5, 0.9995412114052852, 0.9999994966740249, 0.9999997154801002, 0.9983340055394337, 0.9999974742567261, 0.999999996963052, 0.999999999996056, 0.999999999999981, 0.9999999999999999, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,9,1,equal_to_both,9,"[0.5, 0.5005232781714297, 0.5083928016690625, 0.9989664422336864, 0.999406335757184, 0.9999965531252635, 0.9999999959173999, 0.9999999999904273, 0.9999999999999589]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,9,2,equal_to_both,9,"[0.5, 0.9966464451137753, 0.9999792864035042, 0.9999997815779691, 0.9999997852618199, 0.9999997866815059, 0.9999997204928478, 0.9999999993446275, 0.9999999999971841]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,10,1,closer_to_player2,6,"[0.5, 0.37720384685271996, 0.5484649664650286, 0.7089171286504152, 0.8331966164013881, 0.9430412385481322]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,10,2,closer_to_player2,6,"[0.5, 0.49753669793335575, 1.0, 1.0, 1.0, 1.0]"
sampleJointGoalAndSignal_fromStart,session_0_player1,0,11,1,equal_to_both,11,"[0.5, 0.988651041283758, 0.9893737723384306, 0.9998844330643353, 0.9998883470322558, 0.9999988162347946, 0.9999999797315989, 0.9999999805545028, 0.9999999996520353, 0.9999999999878098, 0.9999999999946607]"
sampleJointGoalAndSignal_fromStart,session_0_player2,0,11,2,equal_to_both,11,"[0.5, 0.9894609154160721, 0.999817790093705, 0.9998219327402192, 0.9998246949769005, 0.9998269012019774, 0.9998331853866825, 0.9998557405820337, 0.9999997607704603, 0.9999999991962516, 0.9999999999949795]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,0,1,closer_to_player1,9,"[0.5, 0.9996537453807988, 0.9999997145846817, 0.9999999991583033, 0.9999999995798156, 0.9999999997903358, 0.9999999998977205, 0.9999999999690397, 0.9999999999999915]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,0,2,closer_to_player1,9,"[0.5, 0.502979837933534, 0.5130531436680432, 0.507771972723203, 0.38432746323782613, 0.5557586245438271, 0.7194557698908446, 0.894425837466691, 0.9999674945890069]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,2,1,equal_to_both,9,"[0.5, 0.9966358805479075, 0.9966591100952295, 0.999988336614681, 0.9999889326737247, 0.9999999484595361, 0.9999999995570298, 0.9999999997821762, 0.9999999999936333]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,2,2,equal_to_both,9,"[0.5, 0.9966464403806776, 0.9966583341311462, 0.9965914281904625, 0.9999957029198594, 0.9999936703121599, 0.9999999925028716, 0.9999999999824212, 0.9999999999999245]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,3,1,closer_to_player2,9,"[0.5, 0.9832211983096085, 0.9995559646050238, 0.9999831598112383, 0.9999842896605462, 0.9999849918899386, 0.9999996030906262, 0.9999999769243304, 0.999999988843905]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,3,2,closer_to_player2,12,"[0.5, 0.9995401969358769, 0.999999493765358, 0.999999998763214, 0.999999999505587, 0.999999999996971, 0.9999999999999782, 0.9999999999999999, 0.9999999999757666, 0.9999999999998765, 0.9999999999998765, 0.9999999999999992]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,5,1,closer_to_player2,9,"[0.5, 0.9830741697987884, 0.9995342864731136, 0.9999703177475278, 0.9999860826598501, 0.9999932816520644, 0.9999967184274463, 0.9999983838186067, 0.9999991998235912]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,5,2,closer_to_player2,10,"[0.5, 0.4982434568848394, 0.49748769737463905, 0.9998670191433037, 0.9999999541931152, 0.9999999999621941, 0.9999999999725377, 0.9999999999874313, 0.9999999999999835, 1.0]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,6,1,closer_to_player1,8,"[0.5, 0.9998293222017528, 0.9999999201265243, 0.9999999998604723, 0.9999999999998188, 0.9999999999999997, 1.0, 1.0]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,6,2,closer_to_player1,8,"[0.5, 0.9889825991659797, 0.9998097103383046, 0.9998145391650869, 0.9998162676688114, 0.9999984857705997, 0.999999977905829, 0.999999978364789]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,7,1,closer_to_player2,11,"[0.5, 0.503405204987075, 0.5056594996794954, 0.5064899527840465, 0.5076711881612692, 0.5145510248528308, 0.05089596663952546, 0.04808074249447585, 0.043314509604860316, 0.03627151044882064, 0.05524427847922847]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,7,2,closer_to_player2,5,"[0.5, 0.5748098569161245, 0.6333004013692488, 0.5873622550354429, 0.7414868569054613]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,8,1,closer_to_player1,7,"[0.5, 0.9999426304091217, 0.9999999923445787, 0.9999999999980479, 0.9999999999999988, 1.0, 1.0]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,8,2,closer_to_player1,9,"[0.5, 0.4899520504913271, 0.5132324715502197, 0.4204463235465777, 0.6436811341386386, 0.9966065541739061, 0.9999861849547665, 0.9999827622993749, 0.9999999697516054]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,9,1,equal_to_both,6,"[0.5, 0.6228252103842418, 0.9996640536390885, 0.9996303022130621, 0.9999998579115805, 0.9999999119468348]"
sampleJointGoalAndSignal_fromStart,session_1_player2,1,9,2,equal_to_both,6,"[0.5, 0.6629412245550392, 0.796086017686099, 0.8864521445698507, 0.9491088489814609, 0.9999998080896024]"
sampleJointGoalAndSignal_fromStart,session_1_player1,1,10,1,equal_to_both,10,"[0.5, 0.9938418946929255, 0.993898470472571, 0.9939314931983052, 0.999979437894062, 0.9999998713252728, 0.9999999046161481, 0.9999999991694078, 0.9999999996097085, 0.9999999998894553]"
