lambda,alpha,negative_log_likelihood,fit_stage
0.0,0.0,3827.1297489322887,coarse
0.0,0.5,4139.434385053442,coarse
0.0,1.0,4414.475629138792,coarse
0.0,2.0,5022.959512924537,coarse
0.0,3.0,5726.529227885272,coarse
0.0,5.0,7294.253700259239,coarse
0.0,8.0,9783.006453886457,coarse
0.05,0.0,3667.328463972874,coarse
0.05,0.5,3941.07267692142,coarse
0.05,1.0,4207.849666963834,coarse
0.05,2.0,4814.779025670619,coarse
0.05,3.0,5518.216408966689,coarse
0.05,5.0,7086.451519907464,coarse
0.05,8.0,9577.687643267545,coarse
0.1,0.0,3607.8675909811127,coarse
0.1,0.125,3668.4327150895824,refine
0.1,0.25,3731.7852872632984,refine
0.1,0.375,3795.642302473923,refine
0.1,0.5,3859.333026717472,coarse
0.1,1.0,4121.411207955533,coarse
0.1,2.0,4727.311433521266,coarse
0.1,3.0,5430.504562521914,coarse
0.1,5.0,6998.703319753656,coarse
0.1,8.0,9490.801374925904,coarse
0.15,0.0,3587.3324755238614,coarse
0.15,0.125,3643.5097464118444,refine
0.15,0.25,3702.8462323848244,refine
0.15,0.375,3763.6041731541827,refine
0.15,0.5,3825.1769812145335,coarse
0.15,1.0,4084.249289760454,coarse
0.15,2.0,4689.350417010498,coarse
0.15,3.0,5392.284977148441,coarse
0.15,5.0,6960.297718646408,coarse
0.15,8.0,9452.592531932343,coarse
0.2,0.0,3582.266614326494,refine
0.2,0.125,3635.69196667605,refine
0.2,0.25,3692.4431676333265,refine
0.2,0.375,3751.1706760527522,refine
0.2,0.5,3811.3323834432763,refine
0.25,0.0,3583.8778227487046,refine
0.25,0.125,3635.512310333857,refine
0.25,0.25,3690.530118339084,refine
0.25,0.375,3747.865963123801,refine
0.25,0.5,3807.040494357913,refine
0.3,0.0,3588.4049937023415,coarse
0.3,0.125,3638.8311546576274,refine
0.3,0.25,3692.6435147259717,refine
0.3,0.375,3748.989847750404,refine
0.3,0.5,3807.4482569082934,coarse
0.3,1.0,4061.7026472665757,coarse
0.3,2.0,4665.0557416449055,coarse
0.3,3.0,5367.318573001224,coarse
0.3,5.0,6934.756781023736,coarse
0.3,8.0,9427.003814154237,coarse
0.5,0.0,3609.9240341737673,coarse
0.5,0.5,3820.9768810206933,coarse
0.5,1.0,4072.5929643101053,coarse
0.5,2.0,4674.660923490521,coarse
0.5,3.0,5376.445849468486,coarse
0.5,5.0,6943.534111247062,coarse
0.5,8.0,9435.854528157814,coarse
1.0,0.0,3632.9340994162844,coarse
1.0,0.5,3840.924271602337,coarse
1.0,1.0,4091.2628183837487,coarse
1.0,2.0,4694.0116697705225,coarse
1.0,3.0,5397.965450043174,coarse
1.0,5.0,6969.475141541274,coarse
1.0,8.0,9465.504257172955,coarse
2.0,0.0,3633.166244455422,coarse
2.0,0.5,3840.8157957594085,coarse
2.0,1.0,4090.301942103393,coarse
2.0,2.0,4693.860196078013,coarse
2.0,3.0,5401.129695037609,coarse
2.0,5.0,6983.152832635737,coarse
2.0,8.0,9499.867404526412,coarse
5.0,0.0,3682.863009208691,coarse
5.0,0.5,3905.0928978798806,coarse
5.0,1.0,4159.541448776861,coarse
5.0,2.0,4765.999084461988,coarse
5.0,3.0,5476.573247519289,coarse
5.0,5.0,7068.180862356367,coarse
5.0,8.0,9600.417888883198,coarse
10.0,0.0,3791.1823383457904,coarse
10.0,0.5,4048.6465048122063,coarse
10.0,1.0,4328.249642257716,coarse
10.0,2.0,4975.904141708215,coarse
10.0,3.0,5712.951832266441,coarse
10.0,5.0,7333.8246666547775,coarse
10.0,8.0,9893.436143542489,coarse
20.0,0.0,3830.006293672384,coarse
20.0,0.5,4170.798210372506,coarse
20.0,1.0,4543.301588094581,coarse
20.0,2.0,5277.086284318033,coarse
20.0,3.0,6053.137074538629,coarse
20.0,5.0,7757.977076389628,coarse
20.0,8.0,10344.352733082122,coarse
50.0,0.0,3829.99373222305,coarse
50.0,0.5,4171.8210057632205,coarse
50.0,1.0,4556.492656455294,coarse
50.0,2.0,5434.632956853625,coarse
50.0,3.0,6422.894566201255,coarse
50.0,5.0,8388.759953759436,coarse
50.0,8.0,10974.840752970491,coarse
