lambda,p_signal,negative_log_likelihood
0.0,0.0,1728.9696168565793
0.0,0.05,1738.7073684186603
0.0,0.1,1750.479803754104
0.0,0.15,1764.3674587873231
0.0,0.2,1780.4856520856727
0.0,0.25,1798.9898610092696
0.0,0.3,1820.0837120740055
0.0,0.35,1844.0305618493937
0.0,0.4,1871.1702451042615
0.0,0.45,1901.943570421211
0.0,0.5,1936.9289028497708
0.0,0.55,1976.8984127778988
0.0,0.6,2022.9078720870773
0.0,0.65,2076.4469539847028
0.0,0.7,2139.7063339213323
0.0,0.75,2216.090536652797
0.0,0.8,2311.30997636159
0.0,0.85,2436.0725519271614
0.0,0.9,2614.40378084617
0.0,0.95,2922.81782616748
0.0,1.0,11839.977373534195
0.05,0.0,1705.5076809053264
0.05,0.05,1714.751291801361
0.05,0.1,1726.0181290085873
0.05,0.15,1739.3878509410897
0.05,0.2,1754.9748299333564
0.05,0.25,1772.9335131998437
0.05,0.3,1793.4663949643393
0.05,0.35,1816.835574491323
0.05,0.4,1843.3794743023561
0.05,0.45,1873.5372948325294
0.05,0.5,1907.8855382330994
0.05,0.55,1947.1941678984867
0.05,0.6,1992.5162601140205
0.05,0.65,2045.3380522598268
0.05,0.7,2107.8455655830735
0.05,0.75,2183.436442019411
0.05,0.8,2277.8095425761358
0.05,0.85,2401.6494590976326
0.05,0.9,2578.9195648698847
0.05,0.95,2885.8603117606917
0.05,1.0,11796.560350949358
0.1,0.0,1682.8370801109952
0.1,0.05,1691.6302550591843
0.1,0.1,1702.4447812671767
0.1,0.15,1715.3594763037124
0.1,0.2,1730.4878482042025
0.1,0.25,1747.9834358611117
0.1,0.3,1768.0477552229295
0.1,0.35,1790.941822577554
0.1,0.4,1817.0028236131475
0.1,0.45,1846.668495021062
0.1,0.5,1880.51353447098
0.1,0.55,1919.305574025795
0.1,0.6,1964.0945112362363
0.1,0.65,2016.3619715735492
0.1,0.7,2078.2867826644438
0.1,0.75,2153.2543530662642
0.1,0.8,2246.9403735732217
0.1,0.85,2369.9787530844305
0.1,0.9,2546.195388153054
0.1,0.95,2851.2787790730185
0.1,1.0,11758.32612947163
0.125,0.0,1671.3628117913638
0.125,0.05,1679.9586782021984
0.125,0.1,1690.5760599494106
0.125,0.15,1703.293222595302
0.125,0.2,1718.2231027270088
0.125,0.25,1735.5186288460923
0.125,0.3,1755.3806429209417
0.125,0.35,1778.0693906538913
0.125,0.4,1803.9211440616316
0.125,0.45,1833.3725146924876
0.125,0.5,1866.9967586915807
0.125,0.55,1905.5595822664336
0.125,0.6,1950.108191159871
0.125,0.65,2002.1202551015015
0.125,0.7,2063.768443757589
0.125,0.75,2138.4278922792314
0.125,0.8,2231.7555795968296
0.125,0.85,2354.3470148882857
0.125,0.9,2529.933826165763
0.125,0.95,2833.884918571304
0.125,1.0,11740.49695733879
0.15,0.0,1659.6605318102716
0.15,0.05,1668.073512191983
0.15,0.1,1678.5077518118662
0.15,0.15,1691.040846555067
0.15,0.2,1705.7850245484656
0.15,0.25,1722.8924409500037
0.15,0.3,1742.563066442863
0.15,0.35,1765.0561334924132
0.15,0.4,1790.7066977942427
0.15,0.45,1819.9498632743237
0.15,0.5,1853.3569550861623
0.15,0.55,1891.6911196958688
0.15,0.6,1935.9960413252063
0.15,0.65,1987.744339665552
0.15,0.7,2049.101083633391
0.15,0.75,2123.429273831985
0.15,0.8,2216.36498717943
0.15,0.85,2338.4637323052766
0.15,0.9,2513.3670860116335
0.15,0.95,2816.1688724965666
0.15,1.0,11723.30499644285
0.2,0.0,1635.2629995270186
0.2,0.05,1643.331752657365
0.2,0.1,1653.4186096793435
0.2,0.15,1665.5996121878313
0.2,0.2,1679.985334300511
0.2,0.25,1696.7261232495027
0.2,0.3,1716.0199213252233
0.2,0.35,1738.12362656075
0.2,0.4,1763.3695396578614
0.2,0.45,1792.189430021466
0.2,0.5,1825.1504800761643
0.2,0.55,1863.0105438194523
0.2,0.6,1906.8063313950488
0.2,0.65,1958.000936784406
0.2,0.7,2018.7458398999183
0.2,0.75,2092.383551990395
0.2,0.8,2184.5168579160627
0.2,0.85,2305.6409694524295
0.2,0.9,2479.267473058818
0.2,0.95,2780.100051195173
0.2,1.0,11689.661628308655
0.3,0.0,1582.8365652388554
0.3,0.05,1590.3478107746919
0.3,0.1,1599.8703541970297
0.3,0.15,1611.4781272493835
0.3,0.2,1625.2795103062194
0.3,0.25,1641.422502059422
0.3,0.3,1660.1024572973893
0.3,0.35,1681.5733414756085
0.3,0.4,1706.1640367608973
0.3,0.45,1734.302212359491
0.3,0.5,1766.5499853268498
0.3,0.55,1803.6587509609976
0.3,0.6,1846.6566914760963
0.3,0.65,1896.9951820962542
0.3,0.7,1956.8088188008674
0.3,0.75,2029.4143255775077
0.3,0.8,2120.372019520026
0.3,0.85,2240.0995469769196
0.3,0.9,2411.9427981069757
0.3,0.95,2710.1334936237718
0.3,1.0,11626.898435898973
0.5,0.0,1499.5060370637711
0.5,0.05,1506.3258920406236
0.5,0.1,1515.1421899421346
0.5,0.15,1526.0266549173944
0.5,0.2,1539.085280118927
0.5,0.25,1554.4634241991976
0.5,0.3,1572.3534609247492
0.5,0.35,1593.0059223216233
0.5,0.4,1616.745658026226
0.5,0.45,1643.9955052211208
0.5,0.5,1675.3116656201025
0.5,0.55,1711.4381182067166
0.5,0.6,1753.3934862434032
0.5,0.65,1802.6164057793653
0.5,0.7,1861.2237658845397
0.5,0.75,1932.5062750577576
0.5,0.8,2021.9829617621372
0.5,0.85,2139.99797073709
0.5,0.9,2309.7393271015258
0.5,0.95,2604.9519203131213
0.5,1.0,11542.577814015072
0.75,0.0,1468.9558734862555
0.75,0.05,1475.2305798214124
0.75,0.1,1483.4904461071733
0.75,0.15,1493.805517827258
0.75,0.2,1506.2798422501278
0.75,0.25,1521.056488915513
0.75,0.3,1538.325097990625
0.75,0.35,1558.332885800084
0.75,0.4,1581.400613142993
0.75,0.45,1607.9459838338798
0.75,0.5,1638.5186260194355
0.75,0.55,1673.8539107581694
0.75,0.6,1714.9588955125514
0.75,0.65,1763.2561970928214
0.75,0.7,1820.839685842887
0.75,0.75,1890.9654376983638
0.75,0.8,1979.097163453876
0.75,0.85,2095.4830734956327
0.75,0.9,2263.1229685634803
0.75,0.95,2555.301770919801
0.75,1.0,11502.237426533873
1.0,0.0,1469.3895303364086
1.0,0.05,1475.3806700360085
1.0,0.1,1483.3462828765062
1.0,0.15,1493.3562436211407
1.0,0.2,1505.514333507507
1.0,0.25,1519.9632637025288
1.0,0.3,1536.8922248484369
1.0,0.35,1556.5478927186618
1.0,0.4,1579.250396552123
1.0,0.45,1605.4167189999412
1.0,0.5,1635.5956828166131
1.0,0.55,1670.5217834785046
1.0,0.6,1711.201164256681
1.0,0.65,1759.0555556576694
1.0,0.7,1816.1781062928683
1.0,0.75,1885.824616156367
1.0,0.8,1973.4595525425666
1.0,0.85,2089.3341368761076
1.0,0.9,2256.4555231437535
1.0,0.95,2548.112412886892
1.0,1.0,11480.858888258621
1.5,0.0,1463.0403204846955
1.5,0.05,1468.9609584175319
1.5,0.1,1476.883518696889
1.5,0.15,1486.8793494800873
1.5,0.2,1499.0541447153157
1.5,0.25,1513.5530411495033
1.5,0.3,1530.5682696385172
1.5,0.35,1550.3503004058064
1.5,0.4,1573.2240034504523
1.5,0.45,1599.6123155022515
1.5,0.5,1630.0716038016608
1.5,0.55,1665.3460422643948
1.5,0.6,1706.4543896993719
1.5,0.65,1754.835151046185
1.5,0.7,1812.6043299026753
