lambda,p_signal,negative_log_likelihood,fit_stage
0.0,0.0,4323.786019547783,coarse
0.0,0.1,4491.483609922374,coarse
0.0,0.25,4816.555043601667,coarse
0.0,0.375,5171.914038795225,coarse
0.0,0.5,5634.107862643961,coarse
0.0,0.75,7174.444597020356,coarse
0.0,1.0,66132.14931935922,coarse
0.05,0.0,4302.390995046392,coarse
0.05,0.1,4469.243794523932,coarse
0.05,0.25,4792.974538181085,coarse
0.05,0.375,5147.1348417751515,coarse
0.05,0.5,5608.038263627825,coarse
0.05,0.75,7145.402883521818,coarse
0.05,1.0,66098.54369503357,coarse
0.1,0.0,4281.681721688424,coarse
0.1,0.1,4447.769129583386,coarse
0.1,0.25,4770.348828261019,coarse
0.1,0.375,5123.535909888543,coarse
0.1,0.5,5583.439344184072,coarse
0.1,0.75,7118.591915781514,coarse
0.1,1.0,66069.86778069456,coarse
0.15,0.0,4260.3389544900065,coarse
0.15,0.1,4425.781413244758,coarse
0.15,0.25,4747.400285374984,coarse
0.15,0.375,5099.77368593991,coarse
0.15,0.5,5558.8248113785,coarse
0.15,0.75,7091.884158364912,coarse
0.15,1.0,66044.19752709244,coarse
0.3,0.0,4187.751254623967,coarse
0.3,0.1,4351.636596289153,coarse
0.3,0.25,4670.869532357815,coarse
0.3,0.375,5021.154641501806,coarse
0.3,0.5,5477.957274560999,coarse
0.3,0.75,7005.472776612583,coarse
0.3,1.0,65974.41474980905,coarse
0.5,0.0,4106.964736997565,coarse
0.5,0.1,4269.682758943443,coarse
0.5,0.25,4587.077702920062,coarse
0.5,0.375,4935.721941183838,coarse
0.5,0.5,5390.750172766176,coarse
0.5,0.75,6914.131085729203,coarse
0.5,1.0,65922.13897107345,coarse
1.0,0.0,4076.3557767064826,coarse
1.0,0.1,4237.629869223483,coarse
1.0,0.25,4552.680092597196,coarse
1.0,0.375,4899.168493315285,coarse
1.0,0.5,5351.800737054747,coarse
1.0,0.75,6869.263748090564,coarse
1.0,1.0,65908.54629894867,coarse
2.0,0.0,4058.2058409548417,coarse
2.0,0.1,4219.194296549707,coarse
2.0,0.25,4534.064716196005,coarse
2.0,0.375,4880.692864467869,coarse
2.0,0.5,5333.835332912665,coarse
2.0,0.75,6854.441016785975,coarse
2.0,1.0,66013.25336151455,coarse
5.0,0.0,4000.033209723878,coarse
5.0,0.1,4159.855185015418,coarse
5.0,0.25,4473.191355529003,coarse
5.0,0.375,4818.720930982138,coarse
5.0,0.5,5270.931760639894,coarse
5.0,0.75,6790.3912043456085,coarse
5.0,1.0,66160.9501535268,coarse
10.0,0.0,3943.6574938057315,coarse
10.0,0.1,4103.605439460556,coarse
10.0,0.25,4417.199331471474,coarse
10.0,0.375,4763.001133435146,coarse
10.0,0.5,5215.535355043181,coarse
10.0,0.75,6735.821216051585,coarse
10.0,1.0,66102.9643141863,coarse
20.0,0.0,3878.210514686175,coarse
20.0,0.025,3914.283602237577,refine
20.0,0.05,3952.5264497834264,refine
20.0,0.075,3992.994517221739,refine
20.0,0.1,4035.7521777589827,coarse
20.0,0.25,4345.287311229142,coarse
20.0,0.375,4687.130184482512,coarse
20.0,0.5,5134.915903065246,coarse
20.0,0.75,6640.824808036517,coarse
20.0,1.0,65979.21349211538,coarse
27.5,0.0,3776.9685725783484,refine
27.5,0.025,3812.7062607721678,refine
27.5,0.05,3850.6099280416893,refine
27.5,0.075,3890.7345381162627,refine
27.5,0.1,3933.1439531789147,refine
35.0,0.0,3772.103701035921,refine
35.0,0.025,3807.922004990484,refine
35.0,0.05,3845.9112132355995,refine
35.0,0.075,3886.1263317865196,refine
35.0,0.1,3928.6312810309896,refine
42.5,0.0,3805.833677030091,refine
42.5,0.025,3841.875161156142,refine
42.5,0.05,3880.095126747473,refine
42.5,0.075,3920.5489361718437,refine
42.5,0.1,3963.300902144792,refine
50.0,0.0,3812.5016496731996,coarse
50.0,0.025,3848.7224597830163,refine
50.0,0.05,3887.129635259858,refine
50.0,0.075,3927.7789401258938,refine
50.0,0.1,3970.735128824759,coarse
50.0,0.25,4281.856865962055,coarse
50.0,0.375,4625.643391547678,coarse
50.0,0.5,5076.162533655655,coarse
50.0,0.75,6592.279028286792,coarse
50.0,1.0,66335.27876448388,coarse
