lambda,negative_log_likelihood
0.0,1728.9696168565793
0.05,1705.5076809053264
0.1,1682.8370801109952
0.125,1671.3628117913638
0.15,1659.6605318102716
0.2,1635.2629995270186
0.3,1582.8365652388554
0.5,1499.5060370637711
0.75,1468.9558734862555
1.0,1469.3895303364086
1.5,1463.0403204846955
2.0,1444.4787722957842
3.0,1407.4316233901163
5.0,1370.8080134377165
7.5,1340.3128859584433
10.0,1320.5281992253629
15.0,1206.6250952754128
18.145549,1165.7949227455683
20.0,1168.1853732147574
30.0,1213.9814173901582
32.885638,1214.627532525568
40.0,1213.8361398719974
50.0,1215.790305574586
