lambda,negative_log_likelihood
0.0,4323.786019547783
0.05,4302.390995046392
0.1,4281.681721688424
0.125,4271.143149555315
0.15,4260.3389544900065
0.2,4237.5928442204695
0.3,4187.751254623967
0.5,4106.964736997565
0.75,4075.5186097654305
1.0,4076.3557767064826
1.5,4075.2115041209004
2.0,4058.2058409548417
3.0,4025.6985664715467
5.0,4000.033209723878
7.5,3965.7098356715346
10.0,3943.6574938057315
15.0,3931.248944807826
18.145549,3906.47458859662
20.0,3878.210514686175
30.0,3771.2715215863063
32.885638,3769.72787522523
40.0,3795.7513270522254
50.0,3812.5016496731996
