lambda,p_signal,negative_log_likelihood,fit_stage
0.0,0.0,4905.1715244794,coarse
0.0,0.1,5069.563025210986,coarse
0.0,0.25,5387.068274166458,coarse
0.0,0.375,5732.6946648449575,coarse
0.0,0.5,6180.298203335643,coarse
0.0,0.75,7660.0253249035,coarse
0.0,1.0,64887.376152847806,coarse
0.05,0.0,4125.906504160224,coarse
0.05,0.1,4279.219808099744,coarse
0.05,0.25,4579.845838878968,coarse
0.05,0.375,4911.026824026354,coarse
0.05,0.5,5343.707846964161,coarse
0.05,0.75,6791.625396638149,coarse
0.05,1.0,64057.48303995088,coarse
0.1,0.0,3775.9025051980548,coarse
0.1,0.1,3924.467078715494,coarse
0.1,0.25,4218.465368669453,coarse
0.1,0.375,4544.517471245905,coarse
0.1,0.5,4972.407141517758,coarse
0.1,0.75,6411.882969171228,coarse
0.1,1.0,63698.18094031465,coarse
0.15,0.0,3643.743917172346,coarse
0.15,0.025,3677.315344895176,refine
0.15,0.05,3713.016280230378,refine
0.15,0.075,3750.897697504815,refine
0.15,0.1,3791.019225970092,coarse
0.15,0.25,4083.3891360661514,coarse
0.15,0.375,4408.367742484748,coarse
0.15,0.5,4835.487686634541,coarse
0.15,0.75,6274.885061706097,coarse
0.15,1.0,63571.03800101312,coarse
0.2375,0.0,3583.278913966405,refine
0.2375,0.025,3616.8672485144016,refine
0.2375,0.05,3652.591984337175,refine
0.2375,0.075,3690.5042921341055,refine
0.2375,0.1,3730.66404373618,refine
0.3,0.0,3579.1931508111584,coarse
0.3,0.1,3727.034593457392,coarse
0.3,0.25,4020.570982774135,coarse
0.3,0.375,4346.934965208837,coarse
0.3,0.5,4776.033193826358,coarse
0.3,0.75,6223.364881192742,coarse
0.3,1.0,63558.66329988681,coarse
0.325,0.0,3580.666178112688,refine
0.325,0.025,3614.414576834546,refine
0.325,0.05,3650.3016410947785,refine
0.325,0.075,3688.378839656442,refine
0.325,0.1,3728.7063635624577,refine
0.4125,0.0,3590.819290679166,refine
0.4125,0.025,3624.7258876911333,refine
0.4125,0.05,3660.7732266669846,refine
0.4125,0.075,3699.01306123205,refine
0.4125,0.1,3739.5058801187392,refine
0.5,0.0,3601.299696339894,coarse
0.5,0.025,3635.342001176338,refine
0.5,0.05,3671.5262382352375,refine
0.5,0.075,3709.9044091722426,refine
0.5,0.1,3750.5372622375553,coarse
0.5,0.25,4046.3580523119126,coarse
0.5,0.375,4374.922337117921,coarse
0.5,0.5,4806.678274526403,coarse
0.5,0.75,6262.450020583013,coarse
0.5,1.0,63706.21818771561,coarse
1.0,0.0,3637.236472494456,coarse
1.0,0.1,3789.059272287978,coarse
1.0,0.25,4089.065338689952,coarse
1.0,0.375,4421.582612153043,coarse
1.0,0.5,4857.993016422549,coarse
1.0,0.75,6327.701747053239,coarse
1.0,1.0,64189.6284624876,coarse
2.0,0.0,3657.6284326726523,coarse
2.0,0.1,3810.828455129334,coarse
2.0,0.25,4113.381126144664,coarse
2.0,0.375,4448.64898314945,coarse
2.0,0.5,4888.686518290361,coarse
2.0,0.75,6371.191986109716,coarse
2.0,1.0,64834.832169437585,coarse
5.0,0.0,3727.230408435096,coarse
5.0,0.1,3881.7161092475785,coarse
5.0,0.25,4186.497939265526,coarse
5.0,0.375,4524.045388759499,coarse
5.0,0.5,4966.975880006588,coarse
5.0,0.75,6459.204910825215,coarse
5.0,1.0,65456.02314394449,coarse
10.0,0.0,3799.6906922841267,coarse
10.0,0.1,3956.9344554400036,coarse
10.0,0.25,4266.326715131462,coarse
10.0,0.375,4608.303843882409,coarse
10.0,0.5,5056.4328083335695,coarse
10.0,0.75,6563.406392701677,coarse
10.0,1.0,65767.3940139762,coarse
20.0,0.0,3807.9337551001063,coarse
20.0,0.1,3965.9772126451235,coarse
20.0,0.25,4276.9064440102475,coarse
20.0,0.375,4620.627957273687,coarse
20.0,0.5,5071.194758228942,coarse
20.0,0.75,6588.056170029304,coarse
20.0,1.0,66209.13468062913,coarse
50.0,0.0,3807.8748990120216,coarse
50.0,0.1,3965.9189870535165,coarse
50.0,0.25,4276.849902691106,coarse
50.0,0.375,4620.5737653524675,coarse
50.0,0.5,5071.144352184997,coarse
50.0,0.75,6588.025733309036,coarse
50.0,1.0,66887.20498559864,coarse
