group,scope,ci95_percent_Commitment (%),ci95_percent_Coordination Efficiency (%),ci95_percent_Signaling Move (%),ci95_percent_Success Rate (%),mean_percent_Commitment (%),mean_percent_Coordination Efficiency (%),mean_percent_Signaling Move (%),mean_percent_Success Rate (%),n_Commitment (%),n_Coordination Efficiency (%),n_Signaling Move (%),n_Success Rate (%)
Human-Human,Average all 2P3G,10.970724409578962,3.0088168401228863,7.596550149484699,0.0,64.97395833333334,81.57604663510541,52.5297619047619,100.0,32,32,32,189
Human-Human,Equal-to-both,10.155508485475568,1.9427338715409046,12.697364383051536,0.0,84.375,96.6397607022607,59.375,100.0,32,32,32,47
TwoStageSignalAgent_sigmoidThreshold,Average all 2P3G,3.074929758138208,1.0954405702136556,4.3661929210595085,2.194208368137532,85.75066137566138,89.20043391223363,41.12103174603175,95.27777777777777,60,60,60,360
TwoStageSignalAgent_sigmoidThreshold,Equal-to-both,2.70834504319261,0.7543928702254372,10.162166478519314,0.0,97.22222222222221,99.04820451879274,51.388888888888886,100.0,60,60,60,90
sampleJointGoalAndRSASignal_fromStart,Average all 2P3G,3.7781301686266,1.2468000595576139,4.050231930509199,2.254528096062045,74.95370370370371,82.28089208163551,35.61177248677249,95.0,60,60,60,360
sampleJointGoalAndRSASignal_fromStart,Equal-to-both,8.570110030710275,1.8509148338668273,8.264511165227342,2.177777777777778,64.16666666666667,90.59554146748476,34.72222222222222,98.88888888888889,60,60,60,90
sampleJointGoalAndSignal_afterNewGoal,Average all 2P3G,2.7102764207002314,0.9413399317611331,3.83867713893748,2.7246476350853226,85.73875661375662,90.14445332004857,34.340608465608454,92.5,60,60,60,360
sampleJointGoalAndSignal_afterNewGoal,Equal-to-both,1.689655172413793,0.37047433612410857,9.554930158404437,0.0,99.13793103448276,99.6740615706133,50.86206896551724,100.0,58,58,58,90
sampleJointGoalAndSignal_fromStart,Average all 2P3G,2.3417737459870356,0.980829853623298,3.915523355809781,2.254528096062045,89.3551587301587,89.87081731099588,42.42063492063492,95.0,60,60,60,360
sampleJointGoalAndSignal_fromStart,Equal-to-both,1.5268154819094166,0.39203426671640784,9.110298066704377,0.0,98.88888888888889,99.43210955710956,55.55555555555555,100.0,60,60,60,90
sampleJointGoal_afterNewGoal,Average all 2P3G,2.6818756256579066,0.8672468960490475,3.823292343518217,2.5803677529835887,86.07804232804234,89.75012745191317,36.984126984126995,93.33333333333333,60,60,60,360
sampleJointGoal_afterNewGoal,Equal-to-both,2.515472836431367,0.3397956935230666,8.848527692293642,0.0,97.41379310344827,99.52475685234306,51.43678160919541,100.0,58,58,58,90
sampleJointGoal_fromStart,Average all 2P3G,3.280128049683407,0.8931319389488886,4.325037018265282,2.7246476350853226,85.26984126984127,90.36593292620077,36.98677248677249,92.5,60,60,60,360
sampleJointGoal_fromStart,Equal-to-both,3.9439194897486916,0.2454629099406966,7.849529675915763,0.0,96.66666666666667,99.71885521885521,40.0,100.0,60,60,60,90
samplePosteriorOnlyGoalAndSignal_fromStart,Average all 2P3G,3.8934004992141413,1.8497602197048368,4.964186317716672,2.6777267287738984,72.8260582010582,85.3344403743631,33.389550264550266,92.77777777777779,60,60,60,360
samplePosteriorOnlyGoalAndSignal_fromStart,Equal-to-both,4.1255394504932035,1.3755738520353946,9.552169355384116,0.0,93.75,97.06837722462721,43.45238095238094,100.0,56,56,56,90
